#delta,gap,coarse,fine
0.000000000000000000e+00,6.039613253960851580e-14,9.659297529845412011e-02,2.378242353686053356e-01
4.000000000000000083e-03,2.832591686704688527e-03,1.910712721474900626e-17,1.827450328534804547e-01
8.000000000000000167e-03,5.678464932021398681e-03,6.524573787993125118e-18,1.821903884740670998e-01
1.200000000000000025e-02,8.537643616648438183e-03,7.213816597644624805e-18,1.816350146878948080e-01
1.600000000000000033e-02,1.141015071729611918e-02,1.520980761972521847e-17,1.810789727009052275e-01
2.000000000000000042e-02,1.429600828990729156e-02,1.097754699641573239e-18,1.805223250001826152e-01
2.400000000000000050e-02,1.719523745414264226e-02,6.580719971925409728e-18,1.799651353599452663e-01
2.800000000000000058e-02,2.010785837667583564e-02,2.435582737476365428e-18,1.794074688469884382e-01
3.200000000000000067e-02,2.303389025514235300e-02,6.911788849595090767e-19,1.788493918255267545e-01
3.600000000000000422e-02,2.597335130179700968e-02,6.054107488146736476e-18,1.782909719614280963e-01
4.000000000000000083e-02,2.892625872770793194e-02,8.931115395849342775e-18,1.777322782258164147e-01
4.399999999999999745e-02,3.189262872592379949e-02,6.317413730036073488e-18,1.771733808979993052e-01
4.800000000000000100e-02,3.487247645622559844e-02,1.000757326710280811e-17,1.766143515677062459e-01
5.200000000000000455e-02,3.786581602853189565e-02,3.988315134500248344e-18,1.760552631366076592e-01
5.600000000000000117e-02,4.087266048719229161e-02,1.726979174744767689e-17,1.754961898190720015e-01
5.999999999999999778e-02,4.389302179502152512e-02,1.725043099436758030e-18,1.749372071421615993e-01
6.400000000000000133e-02,4.692691081717370594e-02,9.322202608067328743e-18,1.743783919447957076e-01
6.800000000000000488e-02,4.997433730649802897e-02,9.761691702985560225e-18,1.738198223760942240e-01
7.200000000000000844e-02,5.303530988594928886e-02,1.258448950206389130e-18,1.732615778928308370e-01
7.599999999999999811e-02,5.610983603494545946e-02,8.040520754164821936e-18,1.727037392560015483e-01
8.000000000000000167e-02,5.919792207320995203e-02,1.693291464385396614e-17,1.721463885264460647e-01
8.400000000000000522e-02,6.229957314528178358e-02,1.038123580154870496e-17,1.715896090595078749e-01
8.799999999999999489e-02,6.541479320524601349e-02,1.251866294159155589e-17,1.710334854986909070e-01
9.199999999999999845e-02,6.854358500213919569e-02,3.010597103955284579e-18,1.704781037682934763e-01
9.600000000000000200e-02,7.168595006512390455e-02,1.562412773563932365e-18,1.699235510649662884e-01
1.000000000000000056e-01,7.484188868783547832e-02,1.224374024785416101e-17,1.693699158481802303e-01
1.040000000000000091e-01,7.801139991482131109e-02,2.787948443534154369e-18,1.688172878295550738e-01
1.079999999999999988e-01,8.119448152636721261e-02,1.628239334036266425e-18,1.682657579610280230e-01
1.120000000000000023e-01,8.439113002484077697e-02,3.897319595023786254e-18,1.677154184218239974e-01
1.160000000000000059e-01,8.760134062020341617e-02,1.095818624333563465e-18,1.671663626041843265e-01
1.199999999999999956e-01,9.082510721610503879e-02,7.076355250775925821e-18,1.666186850978347289e-01
1.239999999999999991e-01,9.406242239650453030e-02,2.381372628852090206e-18,1.660724816731525555e-01
1.280000000000000027e-01,9.731327741226891703e-02,6.212865663403542593e-18,1.655278492629959075e-01
1.320000000000000062e-01,1.005776621676801597e-01,2.104513859806684390e-18,1.649848859431662651e-01
1.360000000000000098e-01,1.038555652071444513e-01,9.329946909299367841e-18,1.644436909114702361e-01
1.400000000000000133e-01,1.071469737032408887e-01,8.015351775160693907e-19,1.639043644653488951e-01
1.440000000000000169e-01,1.104518734435089300e-01,5.800481622797448722e-18,1.633670079780406570e-01
1.479999999999999927e-01,1.137702488186285166e-01,1.133765700370556043e-17,1.628317238732477357e-01
1.519999999999999962e-01,1.171020828099287314e-01,1.209466244913740415e-17,1.622986155982734657e-01
1.559999999999999998e-01,1.204473569782464892e-01,9.293161478447180588e-19,1.617677875956039235e-01
1.600000000000000033e-01,1.238060514521706068e-01,7.431625069795730387e-18,1.612393452729097287e-01
1.640000000000000069e-01,1.271781449163817967e-01,2.135491064734841934e-18,1.607133949714154852e-01
1.680000000000000104e-01,1.305636146019963917e-01,4.261301752929634612e-18,1.601900439326547632e-01
1.720000000000000140e-01,1.339624362748708108e-01,4.491694714582804304e-18,1.596694002635369591e-01
1.759999999999999898e-01,1.373745842260767347e-01,7.647497466638826194e-19,1.591515728997440204e-01
1.799999999999999933e-01,1.408000312614277050e-01,1.970924663554006110e-18,1.586366715673981909e-01
1.839999999999999969e-01,1.442387486924090467e-01,5.678508878392829473e-18,1.581248067430180426e-01
1.880000000000000004e-01,1.476907063264718545e-01,4.255493527005604903e-18,1.576160896117103083e-01
1.920000000000000040e-01,1.511558724585704283e-01,2.943802505828945631e-18,1.571106320236088094e-01
1.960000000000000075e-01,1.546342138624545726e-01,5.391969732807374592e-19,1.566085464485270917e-01
2.000000000000000111e-01,1.581256957818553133e-01,1.496586213091598112e-18,1.561099459288291247e-01
2.040000000000000147e-01,1.616302819238413235e-01,1.649148947362772681e-17,1.556149440304958886e-01
2.080000000000000182e-01,1.651479344505268898e-01,8.448064606500890793e-18,1.551236547923997289e-01
2.119999999999999940e-01,1.686786139720410915e-01,7.537141174082265205e-18,1.546361926737594428e-01
2.159999999999999976e-01,1.722222795401293638e-01,4.592370630599314880e-18,1.541526724998078246e-01
2.200000000000000011e-01,1.757788886417941399e-01,1.384100237696227066e-17,1.536732094056439957e-01
2.240000000000000047e-01,1.793483971933618193e-01,1.127860670681126020e-17,1.531979187783110707e-01
2.280000000000000082e-01,1.829307595351679083e-01,1.339086486784998445e-17,1.527269161970782607e-01
2.320000000000000118e-01,1.865259284259295214e-01,8.267041565201971309e-18,1.522603173719687952e-01
2.360000000000000153e-01,1.901338550390612170e-01,9.041471688405902222e-19,1.517982380805433518e-01
2.399999999999999911e-01,1.937544889574596141e-01,6.346454859656220488e-18,1.513407941029633330e-01
2.439999999999999947e-01,1.973877781704231893e-01,2.323290369611795147e-19,1.508881011553621643e-01
2.479999999999999982e-01,2.010336690701812756e-01,8.470329472543003391e-18,1.504402748215662722e-01
2.520000000000000018e-01,2.046921064488316233e-01,3.545921926620002778e-18,1.499974304831901417e-01
2.560000000000000053e-01,2.083630334956048102e-01,5.244828009398627700e-18,1.495596832481669858e-01
2.600000000000000089e-01,2.120463917954218402e-01,4.410379551646391471e-18,1.491271478777463078e-01
2.640000000000000124e-01,2.157421213272598948e-01,3.368771035937103132e-19,1.486999387120289950e-01
2.680000000000000160e-01,2.194501604628840141e-01,1.262321100822408679e-18,1.482781695940843247e-01
2.720000000000000195e-01,2.231704459659837880e-01,6.993104012531503599e-18,1.478619537927231276e-01
2.760000000000000231e-01,2.269029129923545440e-01,9.670696163509098136e-19,1.474514039240009677e-01
2.800000000000000266e-01,2.306474950902881460e-01,7.326108965509194027e-18,1.470466318715195897e-01
2.840000000000000302e-01,2.344041242010419523e-01,1.314595134138674126e-18,1.466477487056113416e-01
2.880000000000000338e-01,2.381727306601639782e-01,6.892428096514992061e-19,1.462548646014980025e-01
2.919999999999999818e-01,2.419532431997630795e-01,1.254286388294167942e-17,1.458680887565179662e-01
2.959999999999999853e-01,2.457455889496280577e-01,2.574980159653073031e-19,1.454875293065162611e-01
2.999999999999999889e-01,2.495496934409260348e-01,5.479093121667817326e-19,1.451132932415049037e-01
3.039999999999999925e-01,2.533654806091583112e-01,4.189666966533271036e-18,1.447454863207117692e-01
3.079999999999999960e-01,2.571928727974466256e-01,2.375564402928060498e-18,1.443842129871223123e-01
3.119999999999999996e-01,2.610317907609562837e-01,1.625335221074251764e-18,1.440295762816470870e-01
3.160000000000000031e-01,2.648821536717811398e-01,5.259348574208701200e-18,1.436816777570320280e-01
3.200000000000000067e-01,2.687438791234590951e-01,7.103460305088063432e-18,1.433406173916570159e-01
3.240000000000000102e-01,2.726168831372781653e-01,5.258380536554696505e-18,1.430064935033445173e-01
3.280000000000000138e-01,2.765010801680816144e-01,8.497434526855141002e-18,1.426794026633346757e-01
3.320000000000000173e-01,2.803963831107019189e-01,3.217757161912336209e-18,1.423594396105570536e-01
3.360000000000000209e-01,2.843027033069098763e-01,3.717264591378872139e-19,1.420466971663674749e-01
3.400000000000000244e-01,2.882199505539624340e-01,4.985393918125310430e-19,1.417412661498854143e-01
3.440000000000000280e-01,2.921480331114629792e-01,4.098671427056808947e-18,1.414432352941035198e-01
3.480000000000000315e-01,2.960868577105912891e-01,3.678543085218675689e-19,1.411526911629153169e-01
3.519999999999999796e-01,3.000363295628396543e-01,6.669779436093862236e-19,1.408697180692338735e-01
3.559999999999999831e-01,3.039963523696869174e-01,8.189114534054575678e-18,1.405943979943584110e-01
3.599999999999999867e-01,3.079668283325069922e-01,2.844094627466439365e-18,1.403268105087588646e-01
3.639999999999999902e-01,3.119476581631097645e-01,6.694948415097989880e-18,1.400670326944360999e-01
3.679999999999999938e-01,3.159387410944276553e-01,9.055992253215976108e-18,1.398151390690365314e-01
3.719999999999999973e-01,3.199399748922076014e-01,1.119535546856683875e-18,1.395712015118668603e-01
3.760000000000000009e-01,3.239512558665040842e-01,4.278726430701723062e-19,1.393352891920005832e-01
3.800000000000000044e-01,3.279724788845364003e-01,1.374032646094575931e-17,1.391074684986133292e-01
3.840000000000000080e-01,3.320035373829206549e-01,1.418804387592303147e-17,1.388878029737230790e-01
3.880000000000000115e-01,3.360443233813121822e-01,4.070598335090665871e-18,1.386763532474886151e-01
3.920000000000000151e-01,3.400947274956784838e-01,2.967035409525063308e-18,1.384731769762246600e-01
3.960000000000000187e-01,3.441546389529648309e-01,8.371589631834501434e-18,1.382783287832730357e-01
4.000000000000000222e-01,3.482239456049462945e-01,2.043043468777372418e-18,1.380918602028942954e-01
4.040000000000000258e-01,3.523025339440017945e-01,1.070843252860236567e-17,1.379138196273012318e-01
4.080000000000000293e-01,3.563902891180319443e-01,4.854708834834647196e-18,1.377442522569798100e-01
4.120000000000000329e-01,3.604870949460980967e-01,7.313524476007129916e-18,1.375832000544199851e-01
4.160000000000000364e-01,3.645928339357169534e-01,4.901658661053885668e-18,1.374307017013878252e-01
4.199999999999999845e-01,3.687073872980555223e-01,6.801432557038530164e-18,1.372867925598268146e-01
4.239999999999999880e-01,3.728306349662240393e-01,1.171083551932445570e-17,1.371515046365297530e-01
4.279999999999999916e-01,3.769624556122543879e-01,1.145866171045617499e-17,1.370248665516348441e-01
4.319999999999999951e-01,3.811027266648565615e-01,5.013467010091453313e-18,1.369069035110725696e-01
4.359999999999999987e-01,3.852513243276938226e-01,2.230358754827323572e-18,1.367976372830045084e-01
4.400000000000000022e-01,3.894081235983826161e-01,3.420077031599363596e-18,1.366970861783525226e-01
4.440000000000000058e-01,3.935729982871443156e-01,8.131516293641283255e-19,1.366052650354445119e-01
4.480000000000000093e-01,3.977458210359650082e-01,2.071600579570517504e-19,1.365221852088490118e-01
4.520000000000000129e-01,4.019264633388104357e-01,3.332953642738921055e-18,1.364478545624095984e-01
4.560000000000000164e-01,4.061147955610913129e-01,3.701775988914794041e-18,1.363822774665175153e-01
4.600000000000000200e-01,4.103106869600487983e-01,1.902678008946659735e-18,1.363254547996303745e-01
4.640000000000000235e-01,4.145140057067600026e-01,6.752062636684279330e-20,1.362773839540350473e-01
4.680000000000000271e-01,4.187246189049851353e-01,5.445211803777644927e-18,1.362380588458421971e-01
4.720000000000000306e-01,4.229423926142210632e-01,5.592353527186392397e-18,1.362074699291926094e-01
4.760000000000000342e-01,4.271671918703034976e-01,5.950527459168210276e-18,1.361856042146419032e-01
4.799999999999999822e-01,4.313988807085493704e-01,1.395958698957787116e-17,1.361724452916802941e-01
4.839999999999999858e-01,4.356373221839895393e-01,6.873067343434893836e-20,1.361679733553161908e-01
4.879999999999999893e-01,4.398823783962093614e-01,7.817146065503187435e-18,1.361721652366806312e-01
4.919999999999999929e-01,4.441339105099366691e-01,9.479508726843126277e-18,1.361849944375533306e-01
4.959999999999999964e-01,4.483917787796691812e-01,1.405953687735387860e-17,1.362064311687362639e-01
5.000000000000000000e-01,4.526558425718683054e-01,6.081696561285876435e-18,1.362364423921693934e-01
5.040000000000000036e-01,4.569259603892348309e-01,9.820984009293361249e-18,1.362749918666837645e-01
5.080000000000000071e-01,4.612019898934498485e-01,1.689479816122752263e-17,1.363220401972776441e-01
5.120000000000000107e-01,4.654837879302959891e-01,6.589069296691202338e-18,1.363775448877944940e-01
5.160000000000000142e-01,4.697712105525937432e-01,8.918167892227027482e-18,1.364414603968588657e-01
5.200000000000000178e-01,4.740641130456886287e-01,5.203928418516919724e-18,1.365137381969470931e-01
5.240000000000000213e-01,4.783623499508387056e-01,6.612665214507572353e-18,1.365943268364363250e-01
5.280000000000000249e-01,4.826657750905205546e-01,1.195683808814845398e-17,1.366831720044825449e-01
5.320000000000000284e-01,4.869742415938844715e-01,1.232723349551208402e-17,1.367802165985783358e-01
5.360000000000000320e-01,4.912876019202698785e-01,1.123214089941902561e-17,1.368854007946123663e-01
5.400000000000000355e-01,4.956057078859252840e-01,9.383915008510141889e-19,1.369986621192838538e-01
5.440000000000000391e-01,4.999284106880672596e-01,3.723072817302901943e-18,1.371199355246930651e-01
5.480000000000000426e-01,5.042555609318171150e-01,7.370275683473168039e-18,1.372491534649376843e-01
5.520000000000000462e-01,5.085870086537376267e-01,1.505734168921944440e-17,1.373862459745395503e-01
5.560000000000000497e-01,5.129226033491498526e-01,2.473336205982556990e-18,1.375311407485373949e-01
5.600000000000000533e-01,5.172621939976025374e-01,1.431872895921369451e-17,1.376837632240618947e-01
5.640000000000000568e-01,5.216056290882598034e-01,5.888603300488583941e-18,1.378440366632140146e-01
5.680000000000000604e-01,5.259527566460953096e-01,7.006233023213945255e-18,1.380118822370835496e-01
5.720000000000000639e-01,5.303034242576885049e-01,4.285018675452755021e-18,1.381872191107306469e-01
5.760000000000000675e-01,5.346574790983211756e-01,6.567651463596343270e-18,1.383699645289557800e-01
5.799999999999999600e-01,5.390147679561962946e-01,1.854155121539663442e-18,1.385600339026838990e-01
5.839999999999999636e-01,5.433751372605364338e-01,6.015083470219663464e-18,1.387573408958222287e-01
5.879999999999999671e-01,5.477384331065380252e-01,1.200941463323159657e-17,1.389617975123887961e-01
5.919999999999999707e-01,5.521045012823293519e-01,1.542325992243330331e-18,1.391733141837905585e-01
5.959999999999999742e-01,5.564731872945110069e-01,4.219434124393921942e-18,1.393917998560766369e-01
5.999999999999999778e-01,5.608443363947870353e-01,1.480353431681003260e-17,1.396171620770181032e-01
6.039999999999999813e-01,5.652177936066351549e-01,1.016645244706636385e-17,1.398493070828738527e-01
6.079999999999999849e-01,5.695934037505949732e-01,4.144653215622041953e-18,1.400881398847036441e-01
6.119999999999999885e-01,5.739710114707641253e-01,9.237499313341898709e-18,1.403335643540851163e-01
6.159999999999999920e-01,5.783504612616603424e-01,1.375932419990560510e-17,1.405854833081182642e-01
6.199999999999999956e-01,5.827315974935345366e-01,2.370966224071537428e-18,1.408437985935904191e-01
6.239999999999999991e-01,5.871142644384406140e-01,2.524158182817815010e-19,1.411084111701781385e-01
6.280000000000000027e-01,5.914983062970620153e-01,4.893188331581342665e-18,1.413792211925929687e-01
6.320000000000000062e-01,5.958835672233213643e-01,8.787361804229612121e-19,1.416561280915425158e-01
6.360000000000000098e-01,6.002698913516617552e-01,8.043182857713335231e-18,1.419390306534423218e-01
6.400000000000000133e-01,6.046571228217878513e-01,4.272192176537189351e-18,1.422278270987576421e-01
6.440000000000000169e-01,6.090451058049808353e-01,1.724075061782752950e-18,1.425224151589112309e-01
6.480000000000000204e-01,6.134336845292516216e-01,8.281078111185043232e-18,1.428226921516652093e-01
6.520000000000000240e-01,6.178227033050340822e-01,6.080244504804869393e-18,1.431285550549286079e-01
6.560000000000000275e-01,6.222120065503524700e-01,5.104462549567915402e-18,1.434399005788883075e-01
6.600000000000000311e-01,6.266014388165253024e-01,8.109735446426172812e-19,1.437566252364527175e-01
6.640000000000000346e-01,6.309908448126613223e-01,2.119470041561060387e-17,1.440786254119139631e-01
6.680000000000000382e-01,6.353800694310898223e-01,3.656278219176562611e-18,1.444057974278076806e-01
6.720000000000000417e-01,6.397689577718814746e-01,9.752979364099514507e-19,1.447380376099249855e-01
6.760000000000000453e-01,6.441573551676142984e-01,3.590209649290727184e-18,1.450752423504320099e-01
6.800000000000000488e-01,6.485451072078447510e-01,3.416204880983344047e-18,1.454173081690853797e-01
6.840000000000000524e-01,6.529320597636427692e-01,2.909437169111770885e-18,1.457641317725124341e-01
6.880000000000000560e-01,6.573180590113700816e-01,4.377950290237226500e-18,1.461156101115281269e-01
6.920000000000000595e-01,6.617029514567391857e-01,1.666476821369460527e-18,1.464716404364938829e-01
6.960000000000000631e-01,6.660865839591743054e-01,4.951028581408135876e-18,1.468321203506989248e-01
7.000000000000000666e-01,6.704688037543924395e-01,2.110806104557716445e-17,1.471969478617590199e-01
7.039999999999999591e-01,6.748494584786861594e-01,1.685184149033105718e-17,1.475660214310433038e-01
7.079999999999999627e-01,6.792283961915650536e-01,5.640513400473136352e-18,1.479392400211187453e-01
7.119999999999999662e-01,6.836054653993528518e-01,8.558178889643949837e-18,1.483165031412382318e-01
7.159999999999999698e-01,6.879805150767275279e-01,9.929162217128409363e-18,1.486977108908657808e-01
7.199999999999999734e-01,6.923533946907198811e-01,1.846435021248974116e-17,1.490827640012700184e-01
7.239999999999999769e-01,6.967239542219054727e-01,1.855244163900418916e-18,1.494715638751974995e-01
7.279999999999999805e-01,7.010920441872627862e-01,4.591402592945310185e-18,1.498640126246472970e-01
7.319999999999999840e-01,7.054575156611591069e-01,2.047883657047397046e-18,1.502600131067692579e-01
7.359999999999999876e-01,7.098202202976509056e-01,1.691161781546585978e-17,1.506594689579177082e-01
7.399999999999999911e-01,7.141800103517716991e-01,4.763713295358185107e-18,1.510622846258911356e-01
7.439999999999999947e-01,7.185367386998748884e-01,9.901573143989270175e-18,1.514683654003789459e-01
7.479999999999999982e-01,7.228902588611845204e-01,4.385210572642263057e-19,1.518776174416572033e-01
7.520000000000000018e-01,7.272404250181310204e-01,6.385660384643419862e-18,1.522899478075641078e-01
7.560000000000000053e-01,7.315870920366904784e-01,1.876056973461524472e-18,1.527052644788013946e-01
7.600000000000000089e-01,7.359301154861483951e-01,1.060049633018081835e-17,1.531234763825717049e-01
7.640000000000000124e-01,7.402693516592755429e-01,9.987970504609208810e-18,1.535444934146299456e-01
7.680000000000000160e-01,7.446046575909690546e-01,1.559121445540315441e-17,1.539682264597574679e-01
7.720000000000000195e-01,7.489358910785917089e-01,6.234162491791650496e-19,1.543945874107071348e-01
7.760000000000000231e-01,7.532629106996040491e-01,4.593096658839818786e-18,1.548234891856715978e-01
7.800000000000000266e-01,7.575855758318184030e-01,4.982973823990298693e-19,1.552548457443069796e-01
7.840000000000000302e-01,7.619037466690734561e-01,1.851710826463301165e-17,1.556885721023402169e-01
7.880000000000000338e-01,7.662172842423196073e-01,3.338277849835948416e-18,1.561245843448485771e-01
7.920000000000000373e-01,7.705260504349595863e-01,1.591937922011082136e-17,1.565627996381846743e-01
7.960000000000000409e-01,7.748299080013580920e-01,1.511566595787324227e-17,1.570031362406627551e-01
8.000000000000000444e-01,7.791287205834791507e-01,6.132518538121134455e-19,1.574455135119861848e-01
8.040000000000000480e-01,7.834223527282446753e-01,9.612613904268803365e-18,1.578898519215098106e-01
8.080000000000000515e-01,7.877106699033262771e-01,4.766133389493197614e-18,1.583360730553391993e-01
8.120000000000000551e-01,7.919935385139069695e-01,8.858754581212476064e-18,1.587840996223233714e-01
8.160000000000000586e-01,7.962708259176523029e-01,5.637367278097620710e-18,1.592338554590087274e-01
8.200000000000000622e-01,8.005424004415999661e-01,1.549029652997314381e-17,1.596852655335403437e-01
8.240000000000000657e-01,8.048081313957631266e-01,9.290015356071665330e-18,1.601382559486001222e-01
8.280000000000000693e-01,8.090678890894658082e-01,4.259849696448626799e-18,1.605927539433992524e-01
8.320000000000000728e-01,8.133215448448716245e-01,6.621861572220618492e-18,1.610486878947676725e-01
8.359999999999999654e-01,8.175689710119584674e-01,2.793998678871684866e-18,1.615059873173829430e-01
8.399999999999999689e-01,8.218100409816813112e-01,6.062819827032780268e-18,1.619645828631644524e-01
8.439999999999999725e-01,8.260446292003962299e-01,2.434130680995358001e-18,1.624244063198968802e-01
8.479999999999999760e-01,8.302726111826537192e-01,5.820810413531551930e-18,1.628853906090756976e-01
8.519999999999999796e-01,8.344938635235763513e-01,3.531522366516679672e-18,1.633474697830646083e-01
8.559999999999999831e-01,8.387082639130092332e-01,1.112517273865148106e-18,1.638105790215547419e-01
8.599999999999999867e-01,8.429156911460076174e-01,6.878875569358923448e-18,1.642746546273693153e-01
8.639999999999999902e-01,8.471160251360458915e-01,1.114078234582231157e-17,1.647396340216803201e-01
8.679999999999999938e-01,8.513091469261304667e-01,3.713634450176354245e-18,1.652054557386136435e-01
8.719999999999999973e-01,8.554949387000903016e-01,1.542580102127506505e-17,1.656720594193179241e-01
8.760000000000000009e-01,8.596732837933700466e-01,4.213141879642889887e-18,1.661393858055139616e-01
8.800000000000000044e-01,8.638440667040896415e-01,5.396567911663897854e-18,1.666073767325480237e-01
8.840000000000000080e-01,8.680071731032121818e-01,6.248804061308475160e-18,1.670759751219818845e-01
8.880000000000000115e-01,8.721624898438022910e-01,7.049734215290791328e-18,1.675451249737522352e-01
8.920000000000000151e-01,8.763099049714746513e-01,6.255580324886509563e-18,1.680147713579159263e-01
8.960000000000000187e-01,8.804493077333219730e-01,1.145406353159965230e-17,1.684848604060255051e-01
9.000000000000000222e-01,8.845805885870170471e-01,6.157929526538763465e-19,1.689553393021306082e-01
9.040000000000000258e-01,8.887036392089164849e-01,4.379160337304732753e-19,1.694261562734658000e-01
9.080000000000000293e-01,8.928183525034150136e-01,4.031150800689965708e-18,1.698972605808077296e-01
9.120000000000000329e-01,8.969246226096032615e-01,3.088524135102680210e-18,1.703686025085676681e-01
9.160000000000000364e-01,9.010223449096841364e-01,5.275502702559908103e-18,1.708401333546024636e-01
9.200000000000000400e-01,9.051114160362949690e-01,3.080779833870641016e-19,1.713118054197919626e-01
9.240000000000000435e-01,9.091917338790658221e-01,6.437147887365805821e-18,1.717835719973822284e-01
9.280000000000000471e-01,9.132631975914407008e-01,2.130203159049839923e-17,1.722553873621375520e-01
9.320000000000000506e-01,9.173257075973495489e-01,5.881917790440611949e-18,1.727272067592945937e-01
9.360000000000000542e-01,9.213791655962459970e-01,1.970803658847255715e-18,1.731989863933492690e-01
9.400000000000000577e-01,9.254234745701239717e-01,1.213861740886456458e-17,1.736706834167050240e-01
9.440000000000000613e-01,9.294585387876210802e-01,1.552006368783379395e-18,1.741422559181688978e-01
9.480000000000000648e-01,9.334842638096461087e-01,1.097370509697640083e-17,1.746136629113362315e-01
9.520000000000000684e-01,9.375005564941503167e-01,1.332328373912976679e-17,1.750848643228778145e-01
9.560000000000000719e-01,9.415073250003409555e-01,1.207853857196288523e-17,1.755558209807234760e-01
9.599999999999999645e-01,9.455044787927633365e-01,1.984356186003324521e-18,1.760264946021774246e-01
9.639999999999999680e-01,9.494919286450311802e-01,9.969638291536490958e-18,1.764968477819732484e-01
9.679999999999999716e-01,9.534695866435143330e-01,1.678736110722132280e-18,1.769668439802658810e-01
9.719999999999999751e-01,9.574373661899358012e-01,3.584567804838480231e-18,1.774364475105986994e-01
9.759999999999999787e-01,9.613951820049493335e-01,3.905022300887880048e-18,1.779056235278322073e-01
9.799999999999999822e-01,9.653429501301467042e-01,5.935734633767948004e-18,1.783743380160609793e-01
9.839999999999999858e-01,9.692805879306867212e-01,8.678714703155904881e-18,1.788425577765191954e-01
9.879999999999999893e-01,9.732080140964676218e-01,6.250740136616484549e-18,1.793102504154959476e-01
9.919999999999999929e-01,9.771251486447027901e-01,9.416646781686183231e-18,1.797773843322530152e-01
9.959999999999999964e-01,9.810319129206099831e-01,1.015386795756430128e-17,1.802439287069662888e-01
1.000000000000000000e+00,9.849282295989354452e-01,1.481164163216232288e-17,1.807098534887047747e-01
1.004000000000000004e+00,9.888140226843518121e-01,5.465026324508057804e-18,1.811751293834301946e-01
1.008000000000000007e+00,9.926892175116570627e-01,9.228181950922101406e-18,1.816397278420476546e-01
1.012000000000000011e+00,9.965537407468154640e-01,5.266215591316798783e-18,1.821036210485132700e-01
1.016000000000000014e+00,1.000407520386495719e+00,1.406555686151472343e-17,1.825667819079832832e-01
1.020000000000000018e+00,1.004250485756944755e+00,2.360922833411236219e-18,1.830291840350421473e-01
1.024000000000000021e+00,1.008082567514470895e+00,7.059414591830839814e-18,1.834908017419894510e-01
1.028000000000000025e+00,1.011903697643838029e+00,9.491367188104686482e-18,1.839516100272008126e-01
1.032000000000000028e+00,1.015713809457302830e+00,1.121507923576718767e-17,1.844115845635753148e-01
1.036000000000000032e+00,1.019512837593094190e+00,7.878676958885874604e-18,1.848707016870550779e-01
1.040000000000000036e+00,1.023300718013803845e+00,1.139555775588572961e-17,1.853289383852444183e-01
1.044000000000000039e+00,1.027077388003853287e+00,7.682951845716755258e-18,1.857862722861141902e-01
1.048000000000000043e+00,1.030842786168438607e+00,4.653357002801624504e-18,1.862426816468030211e-01
1.052000000000000046e+00,1.034596852429718439e+00,1.704181887992952125e-17,1.866981453425165804e-01
1.056000000000000050e+00,1.038339528025037595e+00,4.828511315823139083e-18,1.871526428555385646e-01
1.060000000000000053e+00,1.042070755503079482e+00,4.015541193519136349e-18,1.876061542643307767e-01
