#delta,gap,coarse,fine
0.000000000000000000e+00,9.849282295988501801e-01,7.639753165406785941e-18,2.266510793924511880e-01
4.000000000000000083e-03,9.860254155856900127e-01,1.800550036449141347e-18,2.261743280289522928e-01
8.000000000000000167e-03,9.871249548012066555e-01,9.378348791999613354e-18,2.256940493712515372e-01
1.200000000000000025e-02,9.882268340609314805e-01,1.481484825689121372e-17,2.252102242639096030e-01
1.600000000000000033e-02,9.893310397949086621e-01,3.566250717354105986e-18,2.247228336172628904e-01
2.000000000000000042e-02,9.904375580419291225e-01,3.755986097539069262e-18,2.242318584119294134e-01
2.400000000000000050e-02,9.915463744449795058e-01,2.997044576799215773e-18,2.237372797033940486e-01
2.800000000000000058e-02,9.926574742453411204e-01,6.164463780703296309e-18,2.232390786266605642e-01
3.200000000000000067e-02,9.937708422779714112e-01,2.896368660782704812e-18,2.227372364009988226e-01
3.600000000000000422e-02,9.948864629659475156e-01,6.408409269512534807e-18,2.222317343347489371e-01
4.000000000000000083e-02,9.960043203160218184e-01,1.431921297804069917e-17,2.217225538302233234e-01
4.399999999999999745e-02,9.971243979120494316e-01,8.116027691177205060e-18,2.212096763886694240e-01
4.800000000000000100e-02,9.982466789115598260e-01,2.636934569509387735e-18,2.206930836153231656e-01
5.200000000000000455e-02,9.993711460386691670e-01,4.209027719613368779e-18,2.201727572245263387e-01
5.600000000000000117e-02,1.000497781580566681e+00,7.480994990149980595e-18,2.196486790449317106e-01
5.999999999999999778e-02,1.001626567381276089e+00,1.460187997301013161e-17,2.191208310247789448e-01
6.400000000000000133e-02,1.002757484836845236e+00,4.875037625568750404e-18,2.185891952372528146e-01
6.800000000000000488e-02,1.003890514889789642e+00,4.189666966533271036e-18,2.180537538859036450e-01
7.200000000000000844e-02,1.005025638024715562e+00,1.215080863306968876e-17,2.175144893101660926e-01
7.599999999999999811e-02,1.006162834262227079e+00,1.986413266018085075e-18,2.169713839909222231e-01
8.000000000000000167e-02,1.007302083154421268e+00,6.408409269512534807e-18,2.164244205561755841e-01
8.400000000000000522e-02,1.008443363779189639e+00,2.009646169714202752e-18,2.158735817867554196e-01
8.799999999999999489e-02,1.009586654735741718e+00,2.195509399283146479e-18,2.153188506221432319e-01
9.199999999999999845e-02,1.010731934139244004e+00,1.974796814170025899e-19,2.147602101663300123e-01
9.600000000000000200e-02,1.011879179615483793e+00,5.552663983372190676e-18,2.141976436937642336e-01
1.000000000000000056e-01,1.013028368296094328e+00,9.808157510377794809e-18,2.136311346553693424e-01
1.040000000000000091e-01,1.014179476813751535e+00,2.633062418893367801e-18,2.130606666846282526e-01
1.079999999999999988e-01,1.015332481296514544e+00,9.448047503087966770e-18,2.124862236037361463e-01
1.120000000000000023e-01,1.016487357363946131e+00,9.417070298159810381e-18,2.119077894298251052e-01
1.160000000000000059e-01,1.017644080121339556e+00,2.857647154622508170e-18,2.113253483812445044e-01
