#delta,gap,coarse,fine
0.000000000000000000e+00,2.021730106492015011e+00,8.874969211917058164e-18,2.643987511644838584e-01
4.000000000000000083e-03,2.021969941239635915e+00,1.827655090761278958e-18,2.643784301699104722e-01
8.000000000000000167e-03,2.022210676980442656e+00,4.305831485013860577e-18,2.643580342448803022e-01
1.200000000000000025e-02,2.022452318258217474e+00,1.192622389734054877e-18,2.643375630613652993e-01
1.600000000000000033e-02,2.022694869635760284e+00,1.651085022670782379e-17,2.643170162901929410e-01
2.000000000000000042e-02,2.022938335695094736e+00,5.297102042714892762e-18,2.642963936010621628e-01
2.400000000000000050e-02,2.023182721037191101e+00,1.304140327475421114e-17,2.642756946625431369e-01
2.800000000000000058e-02,2.023428030282328649e+00,4.956352788505162852e-19,2.642549191420885957e-01
3.200000000000000067e-02,2.023674268068386795e+00,4.646580739223590174e-20,2.642340667060361636e-01
3.600000000000000422e-02,2.023921439052767113e+00,9.184741261198629759e-18,2.642131370196226792e-01
4.000000000000000083e-02,2.024169547909593803e+00,6.629121854625656012e-18,2.641921297469809748e-01
4.399999999999999745e-02,2.024418599331422541e+00,3.082231890351648154e-18,2.641710445511605276e-01
4.800000000000000100e-02,2.024668598027634658e+00,7.124757133476171335e-18,2.641498810941259046e-01
5.200000000000000455e-02,2.024919548724582796e+00,9.138275453806394790e-19,2.641286390367675319e-01
5.600000000000000117e-02,2.025171456165754336e+00,1.054773827803755094e-17,2.641073180389141295e-01
5.999999999999999778e-02,2.025424325109497659e+00,3.159674902672041438e-18,2.640859177593363749e-01
6.400000000000000133e-02,2.025678160330880218e+00,1.936075308009829479e-17,2.640644378557632233e-01
6.800000000000000488e-02,2.025932966619777176e+00,8.363845330602462914e-19,2.640428779848839058e-01
7.200000000000000844e-02,2.026188748780963778e+00,5.622362694460544092e-18,2.640212378023641948e-01
7.599999999999999811e-02,2.026445511633131247e+00,6.458747227520790480e-18,2.639995169628538418e-01
8.000000000000000167e-02,2.026703260008826391e+00,5.002818595897399361e-18,2.639777151199978467e-01
8.400000000000000522e-02,2.026961998753549210e+00,1.517883041479706208e-18,2.639558319264498909e-01
8.799999999999999489e-02,2.027221732725760006e+00,2.865391455854547268e-18,2.639338670338834403e-01
9.199999999999999845e-02,2.027482466795014204e+00,1.370741318070959199e-17,2.639118200929990166e-01
9.600000000000000200e-02,2.027744205842505920e+00,3.376515337169142325e-18,2.638896907535431824e-01
1.000000000000000056e-01,2.028006954759835168e+00,1.036187504846860644e-17,2.638674786643195880e-01
1.040000000000000091e-01,2.028270718448030863e+00,3.965082230804130281e-18,2.638451834731995738e-01
1.079999999999999988e-01,2.028535501817437137e+00,1.074909011007057209e-17,2.638228048271380466e-01
1.120000000000000023e-01,2.028801309786178564e+00,7.248665953188801513e-18,2.638003423721880236e-01
1.160000000000000059e-01,2.029068147279527778e+00,2.787948443534154369e-18,2.637777957535158424e-01
1.199999999999999956e-01,2.029336019229226906e+00,2.416221984396266914e-18,2.637551646154132623e-01
1.239999999999999991e-01,2.029604930572222798e+00,2.942834468174940744e-19,2.637324486013153391e-01
1.280000000000000027e-01,2.029874886249572796e+00,5.498453874747915454e-18,2.637096473538145247e-01
1.320000000000000062e-01,2.030145891205464181e+00,1.409462824231155764e-18,2.636867605146798743e-01
1.360000000000000098e-01,2.030417950386567583e+00,8.410311137994698461e-18,2.636637877248731998e-01
1.400000000000000133e-01,2.030691068739830740e+00,2.540130804108895937e-18,2.636407286245642800e-01
1.440000000000000169e-01,2.030965251212077050e+00,8.921435019309294289e-18,2.636175828531521770e-01
1.479999999999999927e-01,2.031240502748087096e+00,1.593777193553691518e-17,2.635943500492806124e-01
1.519999999999999962e-01,2.031516828290161669e+00,8.054073281320890742e-18,2.635710298508588401e-01
1.559999999999999998e-01,2.031794232775194331e+00,4.925375583577006077e-18,2.635476218950803529e-01
1.600000000000000033e-01,2.032072721133975080e+00,1.328922091417946841e-17,2.635241258184439217e-01
1.640000000000000069e-01,2.032352298290156511e+00,8.363845330602462914e-19,2.635005412567738015e-01
1.680000000000000104e-01,2.032632969156846769e+00,2.106449935114694164e-18,2.634768678452393265e-01
1.720000000000000140e-01,2.032914738637092711e+00,3.082231890351648154e-18,2.634531052183823330e-01
1.759999999999999898e-01,2.033197611619360856e+00,1.429598007434458033e-17,2.634292530101308150e-01
1.799999999999999933e-01,2.033481592977448571e+00,3.438469747025457029e-18,2.634053108538276788e-01
1.839999999999999969e-01,2.033766687568455467e+00,4.414251702262411020e-18,2.633812783822565562e-01
1.880000000000000004e-01,2.034052900229031735e+00,6.272883997951846752e-18,2.633571552276585681e-01
1.920000000000000040e-01,2.034340235774227068e+00,4.755000956472140545e-18,2.633329410217640776e-01
1.960000000000000075e-01,2.034628698994840335e+00,6.474235829984869445e-18,2.633086353958147274e-01
2.000000000000000111e-01,2.034918294654929127e+00,5.947623346206195422e-18,2.632842379805926947e-01
2.040000000000000147e-01,2.035209027488345868e+00,5.250636235322657408e-18,2.632597484064400639e-01
2.080000000000000182e-01,2.035500902196908157e+00,1.270065402054448007e-17,2.632351663032975186e-01
2.119999999999999940e-01,2.035793923446838960e+00,1.301042606982605321e-18,2.632104913007236591e-01
2.159999999999999976e-01,2.036088095865860481e+00,5.544919682140151578e-18,2.631857230279286419e-01
2.200000000000000011e-01,2.036383424038803014e+00,9.293161478447180588e-19,2.631608611138010478e-01
2.240000000000000047e-01,2.036679912506038193e+00,5.730782911709094535e-18,2.631359051869411880e-01
2.280000000000000082e-01,2.036977565757929654e+00,2.478176394252581426e-19,2.631108548756910248e-01
2.320000000000000118e-01,2.037276388231735069e+00,4.491694714582804304e-18,2.630857098081637035e-01
2.360000000000000153e-01,2.037576384307406840e+00,1.370741318070959199e-17,2.630604696122801345e-01
2.399999999999999911e-01,2.037877558303339498e+00,8.534219957707327099e-18,2.630351339158020219e-01
2.439999999999999947e-01,2.038179914471314191e+00,1.256125659836777324e-17,2.630097023463646710e-01
2.479999999999999982e-01,2.038483456992086218e+00,2.230358754827323572e-18,2.629841745315101287e-01
2.520000000000000018e-01,2.038788189970087927e+00,7.202200145796565389e-18,2.629585500987288160e-01
2.560000000000000053e-01,2.039094117428000175e+00,5.947623346206195422e-18,2.629328286754933353e-01
2.600000000000000089e-01,2.039401243300964950e+00,8.363845330602462914e-19,2.629070098892949403e-01
2.640000000000000124e-01,2.039709571431036039e+00,1.830752811254094674e-17,2.628810933676820061e-01
2.680000000000000160e-01,2.040019105559643720e+00,5.235147632858578443e-18,2.628550787383047149e-01
2.720000000000000195e-01,2.040329849322571221e+00,1.618558957496217246e-17,2.628289656289519161e-01
2.760000000000000231e-01,2.040641806241367817e+00,7.264154555652879708e-18,2.628027536675890397e-01
2.800000000000000266e-01,2.040954979715685624e+00,4.212899870229388328e-18,2.627764424824040046e-01
2.840000000000000302e-01,2.041269373017513544e+00,8.208959305961676154e-19,2.627500317018552356e-01
2.880000000000000338e-01,2.041584989279218831e+00,4.708535149079905191e-18,2.627235209547049144e-01
2.919999999999999818e-01,2.041901831487763275e+00,1.765700680904964254e-18,2.626969098700756011e-01
2.959999999999999853e-01,2.042219902473402016e+00,1.177133787269976221e-17,2.626701980774885370e-01
2.999999999999999889e-01,2.042539204900709393e+00,2.973811673103097711e-18,2.626433852069142150e-01
3.039999999999999925e-01,2.042859741256613404e+00,1.765700680904964254e-18,2.626164708888197863e-01
3.079999999999999960e-01,2.043181513840483632e+00,2.555619406572974902e-18,2.625894547542236834e-01
3.119999999999999996e-01,2.043504524751362794e+00,4.259365677621624452e-18,2.625623364347335897e-01
3.160000000000000031e-01,2.043828775874999337e+00,1.239088197126290713e-19,2.625351155626123312e-01
3.200000000000000067e-01,2.044154268871249513e+00,1.308786908214644572e-17,2.625077917708220632e-01
3.240000000000000102e-01,2.044481005158992559e+00,3.484935554417693154e-18,2.624803646930815026e-01
3.280000000000000138e-01,2.044808985901038767e+00,1.471417234087470391e-17,2.624528339639194408e-01
