#delta,gap,coarse,fine
0.000000000000000000e+00,7.105427357601001859e-15,9.490581126869011841e-02,7.637505202093446133e-02
6.000000000000000125e-03,2.131628207280300558e-14,4.720749711041011265e-02,2.717989204940790895e-02
1.200000000000000025e-02,2.486899575160350651e-14,3.979690328084251605e-01,6.442580457581046673e-03
1.800000000000000211e-02,7.105427357601001859e-15,3.519499449207918462e-01,1.900666705139047313e-02
2.400000000000000050e-02,5.329070518200751394e-14,8.332721166657942879e-02,2.013991198872582336e-02
2.999999999999999889e-02,7.105427357601001859e-15,2.569880974526217443e-02,2.253563082014235081e-02
3.600000000000000422e-02,0.000000000000000000e+00,1.437274413632000092e-01,2.659656886415425608e-02
4.200000000000000261e-02,1.776356839400250465e-14,5.841521676889838838e-02,2.692190104315370092e-02
4.800000000000000100e-02,7.105427357601001859e-14,1.836032331018433994e-01,1.070223684032782334e-02
5.399999999999999939e-02,1.776356839400250465e-14,1.170283021519250878e-02,1.928646516338255665e-02
5.999999999999999778e-02,2.842170943040400743e-14,7.604686659120318826e-01,4.245252144786167137e-03
6.600000000000000311e-02,1.065814103640150279e-14,2.136003532702701255e-02,1.924921021990383396e-02
7.200000000000000844e-02,7.105427357601001859e-15,1.525732890879234749e-01,2.623267852555687119e-02
7.799999999999999989e-02,3.552713678800500929e-15,1.043260588849191373e-01,2.250014345526474280e-02
8.400000000000000522e-02,1.065814103640150279e-14,6.303755599188510805e-01,8.946178763542804446e-03
8.999999999999999667e-02,3.552713678800500929e-15,3.729995122726162959e-01,1.208969986730395671e-02
9.600000000000000200e-02,7.105427357601001859e-15,3.211020899830628883e-01,2.364648955111267950e-02
1.020000000000000073e-01,0.000000000000000000e+00,2.949505475202720550e-01,8.786593299632538059e-03
1.079999999999999988e-01,3.907985046680551022e-14,5.964851498721914780e-01,1.173341526672534718e-02
1.140000000000000041e-01,0.000000000000000000e+00,5.902447559060118865e-01,1.106471537242417237e-02
1.199999999999999956e-01,1.065814103640150279e-14,1.764708197302563564e-01,2.013774506105604420e-02
1.260000000000000009e-01,7.105427357601001859e-15,4.589801942187760608e-01,1.863145345315276105e-02
1.320000000000000062e-01,7.105427357601001859e-15,2.243566709404514609e-02,2.406363290730242563e-02
1.380000000000000115e-01,0.000000000000000000e+00,9.250840566485490912e-02,1.548840930877834650e-02
1.440000000000000169e-01,2.842170943040400743e-14,4.321173144836973901e-01,6.243685603092239897e-03
1.499999999999999944e-01,2.131628207280300558e-14,4.270693831387334383e-01,1.589205256848907552e-02
1.559999999999999998e-01,3.552713678800500929e-15,7.438144721981959639e-02,2.660840417457238649e-02
1.620000000000000051e-01,1.065814103640150279e-14,3.348233962060315205e-01,1.241512132913239093e-02
1.680000000000000104e-01,1.065814103640150279e-13,6.526600880878614952e-02,1.149759248353287265e-02
1.740000000000000158e-01,7.105427357601001859e-15,4.968606324017159626e-01,1.140494080181001478e-02
1.799999999999999933e-01,3.907985046680551022e-14,5.255121369665098907e-01,1.279579454357086810e-02
1.859999999999999987e-01,7.105427357601001859e-15,9.784332615489580928e-03,1.866487956702348947e-02
1.920000000000000040e-01,1.065814103640150279e-14,3.545858695861713872e-01,1.032905322137867704e-02
1.980000000000000093e-01,1.776356839400250465e-14,4.766581771975082482e-01,1.104580378144148084e-02
2.040000000000000147e-01,3.197442310920450836e-14,5.564482715890186615e-01,3.482864898905365086e-03
2.099999999999999922e-01,1.421085471520200372e-14,4.255587840453030624e-01,1.153939708755483302e-02
2.159999999999999976e-01,1.421085471520200372e-14,2.143170774650492161e-01,2.020297047830051443e-02
2.220000000000000029e-01,3.552713678800500929e-15,1.066684963416765219e-01,4.227334332391947426e-03
2.280000000000000082e-01,2.131628207280300558e-14,2.202494330825111313e-01,1.150185745064899109e-02
2.340000000000000135e-01,7.105427357601001859e-15,6.927849127807539364e-01,3.991571438041425363e-03
2.399999999999999911e-01,4.263256414560601115e-14,8.098085509463966158e-02,7.267160769445170712e-03
2.459999999999999964e-01,1.421085471520200372e-14,5.900871983282781619e-01,7.314350703453424696e-03
2.520000000000000018e-01,4.973799150320701301e-14,5.049947651881281363e-02,1.403496117817998150e-02
2.580000000000000071e-01,1.065814103640150279e-14,4.304878624477306293e-01,9.881128654478115239e-03
2.640000000000000124e-01,1.776356839400250465e-14,1.509727945829862292e-02,1.346575740358240542e-02
2.700000000000000178e-01,7.105427357601001859e-15,1.777802879056658569e-02,2.118461499455866204e-02
2.760000000000000231e-01,1.776356839400250465e-14,1.981134032580040283e-01,8.950091221884238710e-03
2.820000000000000284e-01,1.065814103640150279e-14,1.875458875295333422e-02,2.252986238389698484e-02
2.880000000000000338e-01,3.552713678800500929e-15,1.078249615587449223e-01,1.741549975277567955e-02
2.939999999999999836e-01,3.552713678800500929e-15,3.250686132423062369e-01,5.520342049732651288e-03
2.999999999999999889e-01,7.105427357601001859e-15,3.088220064088837979e-01,6.452709802417923822e-03
3.059999999999999942e-01,1.065814103640150279e-14,2.613192356855956189e-01,1.067198216872976974e-02
3.119999999999999996e-01,7.105427357601001859e-15,2.119718626802336303e-01,1.776733628160927572e-02
3.180000000000000049e-01,1.065814103640150279e-14,4.799749532082262515e-01,8.556496889004800571e-03
3.240000000000000102e-01,1.065814103640150279e-14,3.589294699174111480e-01,1.639712102478855724e-02
3.300000000000000155e-01,1.065814103640150279e-14,1.397413873691871478e-01,5.650900090150874112e-03
3.360000000000000209e-01,1.065814103640150279e-14,2.386587720010163727e-01,1.581008648430180102e-02
3.420000000000000262e-01,0.000000000000000000e+00,2.156558527530171021e-01,6.635603794477920418e-03
3.480000000000000315e-01,3.552713678800500929e-15,4.080973511578248406e-03,1.271334358110028963e-02
3.539999999999999813e-01,3.197442310920450836e-14,3.078420104412232239e-01,9.460702464229310896e-03
3.599999999999999867e-01,1.421085471520200372e-14,2.998181173224489030e-02,1.661877632211343145e-02
3.659999999999999920e-01,2.131628207280300558e-14,1.516033238700216241e-03,1.925947241494837398e-02
3.719999999999999973e-01,7.105427357601001859e-15,5.158059980810750234e-02,1.244580104658223919e-02
3.780000000000000027e-01,0.000000000000000000e+00,7.675612552608663819e-01,3.253117872386693948e-03
3.840000000000000080e-01,7.105427357601001859e-15,2.267199708796938662e-01,1.489985296439807691e-02
3.900000000000000133e-01,7.105427357601001859e-14,2.857388748488724484e-01,9.309163948915729486e-03
3.960000000000000187e-01,0.000000000000000000e+00,1.706562472281309972e-01,1.809811801042474078e-02
4.020000000000000240e-01,3.552713678800500929e-15,4.990343689678777145e-02,1.161340794424801579e-02
4.080000000000000293e-01,1.421085471520200372e-14,5.111016410734577908e-01,6.992927717669833627e-03
4.140000000000000346e-01,4.263256414560601115e-14,4.916327040269670157e-01,3.438337006772699666e-03
4.199999999999999845e-01,2.486899575160350651e-14,7.863781239051818028e-01,2.945033355711916198e-03
4.259999999999999898e-01,1.776356839400250465e-14,7.272080831383687105e-01,2.831201174919186544e-03
4.319999999999999951e-01,7.105427357601001859e-15,3.956370434567049732e-02,4.672582412553939572e-03
4.380000000000000004e-01,5.329070518200751394e-14,1.849181843730821895e-01,1.431129805678955577e-02
4.440000000000000058e-01,2.842170943040400743e-14,3.092836286859683148e-01,1.428717615542544200e-02
4.500000000000000111e-01,1.776356839400250465e-14,2.045231494571789488e-01,9.691991788802910637e-03
4.560000000000000164e-01,0.000000000000000000e+00,2.292259055459344719e-01,1.321124986592545417e-02
4.620000000000000218e-01,1.421085471520200372e-14,1.491776324224857730e-01,1.093390354970972915e-02
4.680000000000000271e-01,3.552713678800500929e-15,4.838429823642615979e-01,9.941073649302212614e-03
4.740000000000000324e-01,3.552713678800500929e-15,6.017100158736287119e-01,7.009597084305960873e-03
4.799999999999999822e-01,5.329070518200751394e-14,4.098474890512711077e-01,3.975945828375204195e-03
4.859999999999999876e-01,3.552713678800500929e-14,5.652360191921367294e-01,6.732812557898458679e-03
4.919999999999999929e-01,7.105427357601001859e-15,3.664183272768329336e-01,1.120516300902773925e-02
4.979999999999999982e-01,2.131628207280300558e-14,9.073976697096021449e-02,9.369194101308932557e-03
5.040000000000000036e-01,1.421085471520200372e-14,7.134441352688906113e-01,4.582599707230935841e-03
5.100000000000000089e-01,1.421085471520200372e-14,6.463252692753242851e-03,1.039268485320160584e-02
5.160000000000000142e-01,2.842170943040400743e-14,2.525137005095851039e-02,2.074583711825985811e-03
5.220000000000000195e-01,2.131628207280300558e-14,1.145582933936302172e-01,9.625114753699237288e-03
5.280000000000000249e-01,2.131628207280300558e-14,4.680026517524202290e-02,5.706211365757919707e-03
5.340000000000000302e-01,3.552713678800500929e-15,1.073140609398191836e-01,9.750621552662389058e-03
5.400000000000000355e-01,7.815970093361102045e-14,1.164164956093221431e-01,9.076406100389507875e-03
5.460000000000000409e-01,1.776356839400250465e-14,1.796940291880095852e-01,8.589339228021580439e-03
5.520000000000000462e-01,3.552713678800500929e-15,8.115733276588901202e-01,2.451791726062130597e-03
5.580000000000000515e-01,3.552713678800500929e-15,2.006721060911472732e-01,1.010958209130831918e-02
5.640000000000000568e-01,7.105427357601001859e-15,2.767025621356266618e-01,9.335786379052366316e-03
5.700000000000000622e-01,3.197442310920450836e-14,4.389721501098248768e-01,1.751516827032253932e-03
5.760000000000000675e-01,5.329070518200751394e-14,3.570567358239278843e-01,6.305089689718469670e-03
5.819999999999999618e-01,1.421085471520200372e-14,2.345322555962076616e-01,7.514761963577187669e-03
5.879999999999999671e-01,3.552713678800500929e-14,1.502134073193595321e-01,1.178478033559612198e-02
5.939999999999999725e-01,7.460698725481051952e-14,4.188311281067446101e-01,7.965984029660292190e-03
5.999999999999999778e-01,3.552713678800500929e-15,5.095000269613321475e-02,6.759780067779793886e-03
6.059999999999999831e-01,1.421085471520200372e-14,2.012012528307953185e-01,9.061463881777380783e-03
6.119999999999999885e-01,1.776356839400250465e-14,1.568304464055052527e-01,5.470249068398356368e-03
6.179999999999999938e-01,1.065814103640150279e-14,6.676567631140934989e-01,2.954716026820440426e-03
6.239999999999999991e-01,0.000000000000000000e+00,6.802873642960854950e-01,4.075372173788531158e-03
6.300000000000000044e-01,3.552713678800500929e-14,8.011259600389508684e-02,4.172666546390559755e-03
6.360000000000000098e-01,3.552713678800500929e-15,2.232830542429491416e-01,7.746498602749417317e-03
6.420000000000000151e-01,1.065814103640150279e-14,3.580588937508015213e-01,7.899034924312159020e-03
6.480000000000000204e-01,0.000000000000000000e+00,6.508705879948875062e-01,3.184841996842904116e-03
6.540000000000000258e-01,1.421085471520200372e-14,3.239002317968286415e-01,7.581831653599435672e-03
6.600000000000000311e-01,3.907985046680551022e-14,7.090128479665686045e-02,3.045533087382467589e-03
6.660000000000000364e-01,7.105427357601001859e-15,4.300359267439144983e-01,6.183090082805619593e-03
6.720000000000000417e-01,7.105427357601001859e-15,4.014049120504763479e-01,3.608529453263103776e-03
6.780000000000000471e-01,0.000000000000000000e+00,4.901210295105772330e-01,2.804335458143018996e-03
6.840000000000000524e-01,3.552713678800500929e-15,5.177336096464005277e-02,6.376757391613530924e-03
6.900000000000000577e-01,1.776356839400250465e-14,5.274967197927016294e-02,8.771936622680338858e-03
6.960000000000000631e-01,0.000000000000000000e+00,4.011926028863167515e-01,3.000260668587945243e-03
7.020000000000000684e-01,3.552713678800500929e-15,2.817471701023210873e-01,3.613531533954388204e-03
7.079999999999999627e-01,1.421085471520200372e-14,3.628497790028012426e-01,1.876192994103832940e-03
7.139999999999999680e-01,0.000000000000000000e+00,2.156135591764629100e-01,4.707099660403498559e-03
7.199999999999999734e-01,2.131628207280300558e-14,2.699454470579040199e-01,4.733295892280466738e-03
7.259999999999999787e-01,2.486899575160350651e-14,2.082351244521091771e-01,4.207506060099572634e-03
7.319999999999999840e-01,1.776356839400250465e-14,2.116111761610990072e-01,7.128886385405590331e-03
7.379999999999999893e-01,1.421085471520200372e-14,2.207512130053291277e-01,4.006293345626158083e-03
7.439999999999999947e-01,1.776356839400250465e-14,5.294484178043627753e-02,5.908660072856353369e-03
7.500000000000000000e-01,5.684341886080801487e-14,4.507363373115559346e-01,4.196470772173909770e-03
7.560000000000000053e-01,1.421085471520200372e-14,2.689789582934991596e-01,1.598920795872389028e-03
7.620000000000000107e-01,2.486899575160350651e-14,2.337013807422704537e-01,4.209482469481193138e-03
7.680000000000000160e-01,3.197442310920450836e-14,1.085428172343251424e-01,4.893864893692960287e-03
7.740000000000000213e-01,2.131628207280300558e-14,3.554537942083356716e-01,3.538161570441458129e-03
7.800000000000000266e-01,4.973799150320701301e-14,3.546161570052937528e-01,3.313037936740859807e-03
7.860000000000000320e-01,7.105427357601001859e-15,1.455585195257993181e-01,5.015041244957234648e-03
7.920000000000000373e-01,7.105427357601001859e-15,4.540298848853483449e-01,2.872289722209656320e-03
7.980000000000000426e-01,7.105427357601001859e-15,2.026886520526291757e-01,3.228327024965994135e-03
8.040000000000000480e-01,3.552713678800500929e-15,7.138040445112879828e-01,1.893345961656097689e-03
8.100000000000000533e-01,1.776356839400250465e-14,2.791795355033188653e-02,4.966463635918044739e-03
8.160000000000000586e-01,7.105427357601001859e-15,4.805264023199320306e-02,4.390136005636406484e-03
8.220000000000000639e-01,4.618527782440651208e-14,1.905884556301869204e-01,4.373957706267356596e-03
8.280000000000000693e-01,1.421085471520200372e-14,5.604449483876114968e-01,2.336696365857914796e-03
8.339999999999999636e-01,1.065814103640150279e-14,6.848693732231694309e-01,2.220985682821525857e-03
8.399999999999999689e-01,0.000000000000000000e+00,8.799998317563273442e-02,4.020125995638481643e-03
8.459999999999999742e-01,0.000000000000000000e+00,1.928118214563569188e-01,3.775318168710841901e-03
8.519999999999999796e-01,3.552713678800500929e-15,1.659836032210730214e-03,4.416646214719750427e-03
8.579999999999999849e-01,1.421085471520200372e-14,5.952694011038629773e-02,2.445901194273669092e-03
8.639999999999999902e-01,1.065814103640150279e-14,9.143178218324977957e-02,4.203593850034046883e-03
8.699999999999999956e-01,0.000000000000000000e+00,5.509607465172076946e-02,3.067537529788420987e-03
8.760000000000000009e-01,4.263256414560601115e-14,3.113522726366429461e-01,2.047652783276183563e-03
8.820000000000000062e-01,1.065814103640150279e-14,3.063481227792272943e-01,2.244674263881018053e-03
8.880000000000000115e-01,1.421085471520200372e-14,8.919254276715253560e-02,2.816780716378266668e-03
8.940000000000000169e-01,2.131628207280300558e-14,1.171953184945229154e-01,1.971456247821557015e-03
9.000000000000000222e-01,0.000000000000000000e+00,2.012009739030203859e-01,9.841033941328691977e-04
9.060000000000000275e-01,2.486899575160350651e-14,1.956697145998799181e-01,6.580916763115802776e-04
9.120000000000000329e-01,3.197442310920450836e-14,1.516061946374559766e-01,2.064954898451919554e-03
9.180000000000000382e-01,7.105427357601001859e-15,5.091732902792184268e-01,6.994593389204229079e-04
9.240000000000000435e-01,1.421085471520200372e-14,5.296897459231322269e-01,9.900721434897784799e-04
9.300000000000000488e-01,3.552713678800500929e-15,1.254060229334185428e-01,4.915453054299831958e-04
9.360000000000000542e-01,4.263256414560601115e-14,5.482186805333887081e-02,1.254882129099739495e-03
9.420000000000000595e-01,7.105427357601001859e-15,3.415878670733008687e-02,1.602124793109166792e-03
9.480000000000000648e-01,7.105427357601001859e-14,6.005885947194394836e-01,5.359763004999174496e-04
9.540000000000000702e-01,1.065814103640150279e-14,3.474615170236956541e-01,3.215106812418120968e-04
9.599999999999999645e-01,0.000000000000000000e+00,4.518994519945241928e-01,7.354153574574643498e-04
9.659999999999999698e-01,2.486899575160350651e-14,3.315881400952491176e-01,6.526172528765855326e-04
9.719999999999999751e-01,1.776356839400250465e-14,1.245086102701598585e-01,5.007538277381064044e-04
9.779999999999999805e-01,3.552713678800500929e-15,2.619837128509845958e-01,3.542818231241725191e-04
9.839999999999999858e-01,7.105427357601001859e-15,2.315842213988076118e-02,3.187877742260903117e-04
9.899999999999999911e-01,3.552713678800500929e-15,1.594344285058901523e-01,2.988853417980055164e-04
9.959999999999999964e-01,1.421085471520200372e-14,2.662373587211987469e-01,9.159240840759632946e-05
1.002000000000000002e+00,3.552713678800500929e-15,5.414931938196553274e-01,2.580766526711734683e-05
1.008000000000000007e+00,3.552713678800500929e-15,9.216362781520653913e-02,2.016424530089447873e-04
1.014000000000000012e+00,1.421085471520200372e-14,7.925913848852308430e-01,1.126718996065419486e-04
1.020000000000000018e+00,1.421085471520200372e-14,1.318666115477042378e-01,2.520453218218187091e-04
