delta,local_std,local_stability,k_delta
0.0000000000e+00,1.5032490816e-16,1.5032490816e-16,1.3453861621e+01
2.0000000000e-03,1.5274575481e-16,1.5274575481e-16,1.3447962247e+01
4.0000000000e-03,1.4422220148e-16,1.4422220148e-16,1.3469165558e+01
6.0000000000e-03,1.4686870115e-16,1.4686870115e-16,1.3462450829e+01
8.0000000000e-03,1.4043333874e-16,1.4043333874e-16,1.3478996342e+01
1.0000000000e-02,2.1038386776e-16,2.1038386776e-16,1.3329737335e+01
1.2000000000e-02,2.0770370905e-16,2.0770370905e-16,1.3334471817e+01
1.4000000000e-02,2.0154308069e-16,2.0154308069e-16,1.3345590307e+01
1.6000000000e-02,1.6484271494e-16,1.6484271494e-16,1.3419817654e+01
1.8000000000e-02,1.8104095107e-16,1.8104095107e-16,1.3385205490e+01
2.0000000000e-02,1.8334729820e-16,1.8334729820e-16,1.3380530945e+01
2.2000000000e-02,2.1499376425e-16,2.1499376425e-16,1.3321733340e+01
2.4000000000e-02,2.6197927368e-16,2.6197927368e-16,1.3248744897e+01
2.6000000000e-02,2.6144407542e-16,2.6144407542e-16,1.3249500050e+01
2.8000000000e-02,2.6304640345e-16,2.6304640345e-16,1.3247243793e+01
3.0000000000e-02,2.6251338080e-16,2.6251338080e-16,1.3247992819e+01
3.2000000000e-02,2.2014404553e-16,2.2014404553e-16,1.3312991604e+01
3.4000000000e-02,2.4484473985e-16,2.4484473985e-16,1.3273722682e+01
3.6000000000e-02,2.4196749846e-16,2.4196749846e-16,1.3278087772e+01
3.8000000000e-02,2.4196749846e-16,2.4196749846e-16,1.3278087772e+01
4.0000000000e-02,2.3312280313e-16,2.3312280313e-16,1.3291838642e+01
4.2000000000e-02,2.4655496837e-16,2.4655496837e-16,1.3271152320e+01
4.4000000000e-02,2.0770370905e-16,2.0770370905e-16,1.3334471817e+01
4.6000000000e-02,1.5063517662e-16,1.5063517662e-16,1.3453100240e+01
4.8000000000e-02,1.8712805263e-16,1.8712805263e-16,1.3372993788e+01
5.0000000000e-02,1.9803771623e-16,1.9803771623e-16,1.3352069382e+01
5.2000000000e-02,1.9803771623e-16,1.9803771623e-16,1.3352069382e+01
5.4000000000e-02,1.9590439315e-16,1.9590439315e-16,1.3356068846e+01
5.6000000000e-02,1.5156217107e-16,1.5156217107e-16,1.3450834755e+01
5.8000000000e-02,1.4686870115e-16,1.4686870115e-16,1.3462450829e+01
6.0000000000e-02,1.8861913638e-16,1.8861913638e-16,1.3370063018e+01
6.2000000000e-02,1.9732917114e-16,1.9732917114e-16,1.3353392934e+01
6.4000000000e-02,3.0033906708e-16,3.0033906708e-16,1.3198285467e+01
6.6000000000e-02,3.0542600270e-16,3.0542600270e-16,1.3192083414e+01
6.8000000000e-02,3.0907300957e-16,3.0907300957e-16,1.3187700189e+01
7.0000000000e-02,2.9421386231e-16,2.9421386231e-16,1.3205894312e+01
7.2000000000e-02,3.0127035324e-16,3.0127035324e-16,1.3197142215e+01
7.4000000000e-02,2.9799811894e-16,2.9799811894e-16,1.3201174958e+01
7.6000000000e-02,3.1976455650e-16,3.1976455650e-16,1.3175142283e+01
7.8000000000e-02,3.4055249164e-16,3.4055249164e-16,1.3151884107e+01
8.0000000000e-02,3.3348718125e-16,3.3348718125e-16,1.3159625782e+01
8.2000000000e-02,3.5858344422e-16,3.5858344422e-16,1.3132832717e+01
8.4000000000e-02,3.6554687966e-16,3.6554687966e-16,1.3125730508e+01
8.6000000000e-02,3.1976455650e-16,3.1976455650e-16,1.3175142283e+01
8.8000000000e-02,3.0496706029e-16,3.0496706029e-16,1.3192638706e+01
9.0000000000e-02,2.8844440296e-16,2.8844440296e-16,1.3213207533e+01
9.2000000000e-02,2.8989753257e-16,2.8989753257e-16,1.3211351892e+01
9.4000000000e-02,2.8502495811e-16,2.8502495811e-16,1.3217611295e+01
9.6000000000e-02,2.9563863511e-16,2.9563863511e-16,1.3204110388e+01
9.8000000000e-02,2.8206101318e-16,2.8206101318e-16,1.3221471394e+01
1.0000000000e-01,1.7313137589e-16,1.7313137589e-16,1.3401701695e+01
1.0200000000e-01,1.6653345369e-16,1.6653345369e-16,1.3416049469e+01
1.0400000000e-01,1.6053798412e-16,1.6053798412e-16,1.3429588965e+01
1.0600000000e-01,1.9803771623e-16,1.9803771623e-16,1.3352069382e+01
1.0800000000e-01,2.1303030975e-16,2.1303030975e-16,1.3325121227e+01
1.1000000000e-01,2.1564427637e-16,2.1564427637e-16,1.3320617719e+01
1.1200000000e-01,2.1303030975e-16,2.1303030975e-16,1.3325121227e+01
1.1400000000e-01,2.0498851113e-16,2.0498851113e-16,1.3339330905e+01
1.1600000000e-01,2.0430407346e-16,2.0430407346e-16,1.3340565924e+01
