# delta,gap,coarse,fine
0.000000000000000000e+00,6.217248937900876626e-15,7.989395673837405842e-02,1.774609709220027198e-01
2.000000000000000042e-03,3.557637712453320944e-03,0.000000000000000000e+00,8.845885100419781377e-02
4.000000000000000083e-03,7.119432541783154988e-03,2.312964634635742664e-18,8.803297689515283964e-02
6.000000000000000125e-03,1.068537364283805857e-02,1.619075244245020058e-17,8.761132988308181768e-02
8.000000000000000167e-03,1.425545010418360903e-02,4.625929269271485328e-18,8.719397367304952684e-02
1.000000000000000021e-02,1.782965094852340115e-02,1.387778780781445676e-17,8.678097233229196961e-02
1.200000000000000025e-02,2.140796513264398016e-02,4.625929269271485328e-18,8.637239026729576219e-02
1.400000000000000029e-02,2.499038154768307152e-02,6.938893903907228378e-18,8.596829219949891909e-02
1.600000000000000033e-02,2.857688901938626458e-02,6.938893903907228378e-18,8.556874313957885114e-02
1.800000000000000211e-02,3.216747630809280167e-02,9.251858538542970657e-18,8.517380836030319369e-02
2.000000000000000042e-02,3.576213210911127760e-02,2.312964634635742664e-18,8.478355336791515429e-02
2.199999999999999872e-02,3.936084505282089196e-02,1.387778780781445676e-17,8.439804387203542202e-02
2.400000000000000050e-02,4.296360370480911683e-02,6.938893903907228378e-18,8.401734575405432615e-02
2.600000000000000228e-02,4.657039656620121093e-02,1.850371707708594131e-17,8.364152503400421046e-02
2.800000000000000058e-02,5.018121207374903747e-02,2.312964634635742664e-18,8.327064783589280261e-02
2.999999999999999889e-02,5.379603860000781168e-02,6.938893903907228378e-18,8.290478035148829417e-02
3.200000000000000067e-02,5.741486445358745527e-02,4.625929269271485328e-18,8.254398880255171822e-02
3.400000000000000244e-02,6.103767787932579125e-02,4.625929269271485328e-18,8.218833940151296091e-02
3.600000000000000422e-02,6.466446705850259491e-02,2.312964634635742664e-18,8.183789831058913000e-02
3.799999999999999906e-02,6.829522010900390683e-02,2.312964634635742664e-18,8.149273159935721544e-02
4.000000000000000083e-02,7.192992508556983466e-02,1.156482317317871448e-17,8.115290520078788372e-02
4.200000000000000261e-02,7.556856997996685976e-02,4.625929269271485328e-18,8.081848486575808621e-02
4.399999999999999745e-02,7.921114272117701915e-02,4.625929269271485328e-18,8.048953611606445013e-02
4.599999999999999922e-02,8.285763117566613545e-02,2.312964634635742664e-18,8.016612419596544359e-02
4.800000000000000100e-02,8.650802314756678157e-02,9.251858538542970657e-18,7.984831402228331765e-02
5.000000000000000278e-02,9.016230637880617849e-02,1.387778780781445676e-17,7.953617013310787520e-02
5.200000000000000455e-02,9.382046854943837388e-02,2.312964634635742664e-18,7.922975663514675304e-02
5.399999999999999939e-02,9.748249727777658080e-02,4.625929269271485328e-18,7.892913714977303763e-02
5.600000000000000117e-02,1.011483801207093691e-01,4.625929269271485328e-18,7.863437475783247033e-02
5.800000000000000294e-02,1.048181045737690553e-01,4.625929269271485328e-18,7.834553194327080472e-02
5.999999999999999778e-02,1.084916580714612167e-01,0.000000000000000000e+00,7.806267053565882352e-02
6.199999999999999956e-02,1.121690279874387741e-01,1.156482317317871448e-17,7.778585165169216165e-02
6.400000000000000133e-02,1.158502016347648933e-01,9.251858538542970657e-18,7.751513563575176957e-02
