# delta,gap,coarse,fine
0.000000000000000000e+00,8.881784197001252323e-16,2.632297830921320747e-01,2.616930200442830201e-01
2.000000000000000042e-03,2.664535259100375697e-15,1.714133041480359332e-01,1.357562050161411349e-01
4.000000000000000083e-03,1.776356839400250465e-15,5.111237466912946781e-01,9.094600397141341941e-02
6.000000000000000125e-03,8.881784197001252323e-16,3.487744477768947582e-02,1.920740103674056232e-01
8.000000000000000167e-03,6.217248937900876626e-15,3.712112463066801205e-01,8.616952980206957213e-02
1.000000000000000021e-02,7.993605777301127091e-15,3.069924745039258607e-01,9.072034200396621173e-02
1.200000000000000025e-02,8.881784197001252323e-16,5.456896363103212050e-02,1.575771239311640204e-01
1.400000000000000029e-02,1.776356839400250465e-15,1.890931420539164465e-01,1.268806876945854367e-01
1.600000000000000033e-02,2.664535259100375697e-15,4.124834954932946052e-01,8.039215885105412129e-02
1.800000000000000211e-02,3.552713678800500929e-15,2.837093971634839229e-01,9.751266103104845595e-02
2.000000000000000042e-02,0.000000000000000000e+00,8.857546025832556402e-02,9.495451901501772429e-02
2.199999999999999872e-02,8.881784197001252323e-16,8.424205456406619330e-02,4.706598453173697211e-02
2.400000000000000050e-02,8.881784197001252323e-16,9.854989611667730465e-02,1.680507789276670938e-01
2.600000000000000228e-02,6.217248937900876626e-15,4.556869588117269387e-01,7.269155992479314765e-02
2.800000000000000058e-02,8.881784197001252323e-16,2.339925836706884255e-01,1.062687716114285863e-01
2.999999999999999889e-02,7.105427357601001859e-15,5.539562180514402516e-03,1.645998893153751419e-01
3.200000000000000067e-02,1.776356839400250465e-15,8.153941260031898064e-02,1.252747312158927206e-01
3.400000000000000244e-02,1.776356839400250465e-15,4.421044427182980324e-02,5.033011507465571382e-02
3.600000000000000422e-02,0.000000000000000000e+00,1.726396808713994702e-01,1.289856445938023510e-01
3.799999999999999906e-02,7.993605777301127091e-15,1.775012768793620965e-01,8.155992925100041813e-02
4.000000000000000083e-02,2.664535259100375697e-15,1.114225927554471224e-01,1.410459104040552858e-01
4.200000000000000261e-02,1.776356839400250465e-15,1.657463122708154046e-01,8.737234656411489719e-02
4.399999999999999745e-02,2.664535259100375697e-15,1.921174387082610624e-01,6.344683373992490716e-02
4.599999999999999922e-02,0.000000000000000000e+00,1.476504108718635355e-01,9.822921689155704461e-02
4.800000000000000100e-02,8.881784197001252323e-16,3.432376418992937328e-01,1.445076101062294227e-01
5.000000000000000278e-02,2.664535259100375697e-15,3.042788600991788717e-01,9.065802953538194819e-02
5.200000000000000455e-02,0.000000000000000000e+00,2.212904019942404377e-01,8.212926342538992563e-02
5.399999999999999939e-02,1.776356839400250465e-15,1.767272093612506922e-02,9.855982666497896394e-02
5.600000000000000117e-02,8.881784197001252323e-16,2.658734444292887300e-01,1.353325560794395310e-01
5.800000000000000294e-02,6.217248937900876626e-15,1.685263238277047437e-01,1.096116450756085131e-01
5.999999999999999778e-02,2.664535259100375697e-15,9.031059114302449065e-02,1.419820102506358928e-01
6.199999999999999956e-02,2.664535259100375697e-15,3.436821060872967126e-01,8.295301396179263764e-02
6.400000000000000133e-02,5.329070518200751394e-15,4.205030151958542572e-01,7.783761310021891644e-02
6.600000000000000311e-02,1.776356839400250465e-15,7.023416604116911044e-02,1.411127249466228029e-01
6.800000000000000488e-02,4.440892098500626162e-15,8.175681468736779867e-02,9.137805091179654338e-02
7.000000000000000666e-02,8.881784197001252323e-16,3.469138943825436083e-01,1.178958231900613385e-01
7.200000000000000844e-02,6.217248937900876626e-15,9.040212552642168387e-02,1.016464771968696168e-01
7.399999999999999634e-02,1.776356839400250465e-15,1.740776201787807035e-03,1.592268791025082675e-01
7.599999999999999811e-02,2.664535259100375697e-15,2.088055635581875791e-01,1.387359440548723288e-01
7.799999999999999989e-02,2.664535259100375697e-15,2.298621802553824367e-01,9.555156737692280244e-02
8.000000000000000167e-02,4.440892098500626162e-15,2.229053341305293756e-01,9.234176308741356975e-02
8.200000000000000344e-02,0.000000000000000000e+00,1.238389448172722007e-01,1.372230959904651715e-01
8.400000000000000522e-02,5.329070518200751394e-15,2.484050050060224724e-01,8.480237327073750220e-02
8.600000000000000699e-02,1.776356839400250465e-15,8.276677071941851427e-02,1.333372976508964136e-01
8.799999999999999489e-02,0.000000000000000000e+00,6.080662740854262394e-01,5.586848049633055119e-02
8.999999999999999667e-02,4.440892098500626162e-15,1.119599308320393116e-01,4.702629711903905108e-02
9.199999999999999845e-02,2.664535259100375697e-15,2.156731239421877111e-01,9.829467744848144339e-02
9.400000000000000022e-02,4.440892098500626162e-15,2.045346742950798491e-01,8.026939312051165065e-02
9.600000000000000200e-02,8.881784197001252323e-16,1.296747474685177037e-01,1.399889886950196893e-01
9.800000000000000377e-02,4.440892098500626162e-15,4.195481055212255811e-02,1.040879267231968747e-01
1.000000000000000056e-01,1.776356839400250465e-15,1.308783906701811717e-01,1.334694985215718888e-01
1.020000000000000073e-01,0.000000000000000000e+00,8.340028278393011099e-03,1.629672377312107734e-01
1.040000000000000091e-01,3.552713678800500929e-15,4.180388707620612439e-03,1.103427473552730381e-01
1.059999999999999970e-01,0.000000000000000000e+00,3.034127954551665840e-01,1.111765177095651452e-01
1.079999999999999988e-01,1.776356839400250465e-15,5.082724455001041974e-02,1.131527605971878736e-01
1.100000000000000006e-01,4.440892098500626162e-15,5.406944994793744241e-01,6.593988927690147550e-02
1.120000000000000023e-01,1.776356839400250465e-15,1.276894301766084150e-01,1.064141854654729741e-01
1.140000000000000041e-01,2.664535259100375697e-15,1.553507332423393894e-01,1.011121317107340073e-01
1.160000000000000059e-01,0.000000000000000000e+00,1.307445253948837371e-01,1.206425943480046170e-01
1.180000000000000077e-01,3.552713678800500929e-15,2.456135573406479089e-01,1.278254511319814324e-01
1.199999999999999956e-01,8.881784197001252323e-16,2.122805228154729662e-01,1.269744193437160606e-01
1.219999999999999973e-01,1.776356839400250465e-15,3.959939035283369102e-01,1.063542978669430455e-01
1.239999999999999991e-01,8.881784197001252323e-16,7.384262414175089828e-02,1.461000653387884707e-01
1.260000000000000009e-01,1.776356839400250465e-15,1.550349656272939358e-01,1.222824713540895253e-01
1.280000000000000027e-01,5.329070518200751394e-15,8.687013439784170565e-02,4.470466390683963676e-02
1.300000000000000044e-01,8.881784197001252323e-16,2.054676594178265481e-01,1.187484455523618865e-01
1.320000000000000062e-01,8.881784197001252323e-16,1.282089074120587313e-01,1.382412118144391300e-01
1.340000000000000080e-01,8.881784197001252323e-16,4.333658266553890859e-01,5.062181254938348529e-02
1.360000000000000098e-01,4.440892098500626162e-15,2.205953947130090131e-01,9.314243041922326549e-02
1.380000000000000115e-01,2.664535259100375697e-15,3.817814042370888394e-01,5.011422130851911350e-02
1.400000000000000133e-01,2.664535259100375697e-15,2.451148861284369040e-02,1.181266835901803314e-01
1.420000000000000151e-01,4.440892098500626162e-15,1.933476061943193158e-01,1.328049210193953944e-01
1.440000000000000169e-01,8.881784197001252323e-16,3.790047907947228789e-01,6.320200485786524325e-02
1.459999999999999909e-01,3.552713678800500929e-15,3.380777384687556203e-02,1.085356463057311621e-01
1.479999999999999927e-01,2.664535259100375697e-15,5.008564755371831545e-01,5.228377010073681497e-02
1.499999999999999944e-01,1.776356839400250465e-15,1.548134513742004115e-01,1.095652855229141132e-01
1.519999999999999962e-01,8.881784197001252323e-16,3.776534565147956005e-03,1.566783754825983033e-01
1.539999999999999980e-01,8.881784197001252323e-16,9.855041035851051789e-02,1.463947198735202349e-01
1.559999999999999998e-01,2.664535259100375697e-15,1.761079410163535197e-02,1.196271947365677296e-01
1.580000000000000016e-01,5.329070518200751394e-15,2.927536862898978687e-02,9.986913646194733873e-02
1.600000000000000033e-01,3.552713678800500929e-15,6.743441973337710969e-03,1.295018868974842363e-01
1.620000000000000051e-01,0.000000000000000000e+00,1.631227600885777618e-01,1.115632590645578986e-01
1.640000000000000069e-01,8.881784197001252323e-16,3.662909942170348987e-02,1.263634779336193781e-01
1.660000000000000087e-01,2.664535259100375697e-15,5.372441332579969142e-01,7.347634287795386243e-02
1.680000000000000104e-01,8.881784197001252323e-16,4.146684185501767206e-01,9.420543246808113502e-02
1.700000000000000122e-01,1.776356839400250465e-15,2.625925578884166778e-01,8.860585642459706257e-02
