N,graph_type,global_std,num_islands,island_std,k_raw,k_ceiling,note
8,chain,6.643080e-02,1,6.635129e-02,0.0004,1,island_1_width=2.998
8,star,4.901859e-02,6,4.544309e-03,0.8782,1,island_1_width=0.028
8,star,4.901859e-02,6,2.973651e-03,1.0348,2,island_2_width=0.028
8,star,4.901859e-02,6,2.459456e-03,1.1049,2,island_3_width=0.044
8,star,4.901859e-02,6,1.188869e-03,1.3734,2,island_4_width=0.024
8,star,4.901859e-02,6,1.531316e-03,1.2799,2,island_5_width=0.058
8,star,4.901859e-02,6,1.126132e-02,0.5431,1,island_6_width=0.506
8,ring,7.793023e-02,1,7.790622e-02,0.0001,1,island_1_width=2.998
8,small_world,2.402640e-02,5,2.246559e-02,0.0248,1,island_1_width=2.268
8,small_world,2.402640e-02,5,3.008628e-04,1.6175,2,island_2_width=0.088
8,small_world,2.402640e-02,5,2.239807e-04,1.7265,2,island_3_width=0.070
8,small_world,2.402640e-02,5,6.986435e-05,2.1567,3,island_4_width=0.022
8,small_world,2.402640e-02,5,7.209884e-05,2.1450,3,island_5_width=0.024
10,chain,6.763629e-02,1,6.780174e-02,-0.0009,0,island_1_width=2.882
10,star,2.796675e-02,8,1.914318e-03,0.9903,1,island_1_width=0.048
10,star,2.796675e-02,8,1.834460e-03,1.0060,2,island_2_width=0.048
10,star,2.796675e-02,8,2.395253e-03,0.9075,1,island_3_width=0.024
10,star,2.796675e-02,8,4.428272e-03,0.6806,1,island_4_width=0.540
10,star,2.796675e-02,8,2.400089e-03,0.9067,1,island_5_width=0.088
10,star,2.796675e-02,8,2.133298e-03,0.9503,1,island_6_width=0.030
10,star,2.796675e-02,8,2.321155e-03,0.9191,1,island_7_width=0.036
10,star,2.796675e-02,8,2.611049e-03,0.8756,1,island_8_width=0.020
10,ring,7.302877e-02,1,7.300866e-02,0.0001,1,island_1_width=2.998
10,small_world,2.372200e-02,1,2.372955e-02,-0.0001,0,island_1_width=2.998
12,chain,4.705100e-02,1,4.698909e-02,0.0005,1,island_1_width=2.998
12,star,2.104883e-02,8,1.943407e-03,0.8797,1,island_1_width=0.100
12,star,2.104883e-02,8,2.013806e-03,0.8666,1,island_2_width=0.024
12,star,2.104883e-02,8,1.804741e-03,0.9071,1,island_3_width=0.064
12,star,2.104883e-02,8,1.589835e-03,0.9539,1,island_4_width=0.066
12,star,2.104883e-02,8,3.152526e-03,0.7011,1,island_5_width=0.510
12,star,2.104883e-02,8,1.229391e-03,1.0488,2,island_6_width=0.020
12,star,2.104883e-02,8,1.722588e-03,0.9243,1,island_7_width=0.036
12,star,2.104883e-02,8,1.963432e-03,0.8760,1,island_8_width=0.038
12,ring,6.876827e-02,1,6.875125e-02,0.0001,1,island_1_width=2.998
12,small_world,2.326790e-02,1,2.327332e-02,-0.0001,0,island_1_width=2.998
