# delta,gap,coarse,fine
0.000000000000000000e+00,1.966327107957571485e+00,3.449118161219510981e-18,3.016279070866240697e-01
2.000000000000000042e-03,1.967211037143545838e+00,3.226489668249505580e-18,3.015138946420615751e-01
4.000000000000000083e-03,1.968096162850986985e+00,2.240402145487624397e-18,3.013994869790111997e-01
6.000000000000000125e-03,1.968982485489167544e+00,1.595047742974572968e-17,3.012846831011689042e-01
8.000000000000000167e-03,1.969870005455682360e+00,6.763840428141339384e-18,3.011694820129875994e-01
1.000000000000000021e-02,1.961858296108836441e+00,6.261267546103788106e-18,3.010538827197224432e-01
1.200000000000000025e-02,1.960951965776217776e+00,1.416239087809190167e-17,3.009378842274591515e-01
1.400000000000000029e-02,1.960041426847769941e+00,4.553649124439118623e-18,3.008214855431586843e-01
1.600000000000000033e-02,1.959126671224758809e+00,8.334804200982315336e-18,3.007046856746892205e-01
1.800000000000000211e-02,1.958207690890475305e+00,2.335552179895857366e-17,3.005874836308736753e-01
2.000000000000000042e-02,1.957284477912999421e+00,2.274001119062044849e-18,3.004698784215151242e-01
2.199999999999999872e-02,1.956357024444340453e+00,8.113446257433191001e-18,3.003518690574479844e-01
2.400000000000000050e-02,1.955425322722462056e+00,3.808260130855334324e-18,3.002334545505672136e-01
2.600000000000000228e-02,1.977911624824692183e+00,2.023844055306275072e-18,3.001146339138762720e-01
2.800000000000000058e-02,1.978811137384816732e+00,1.499813005271614531e-18,2.999954061615214274e-01
2.999999999999999889e-02,1.952604651724684004e+00,1.738563358671026487e-17,2.998757703088347215e-01
3.200000000000000067e-02,1.951655881119428670e+00,3.288746589872696655e-18,2.997557253723716619e-01
3.400000000000000244e-02,1.950702824771905597e+00,2.830219421092368995e-18,2.996352703699544096e-01
3.600000000000000422e-02,1.949745475455458177e+00,1.675995858300509002e-18,2.995144043207127460e-01
3.799999999999999906e-02,1.948783826036187605e+00,7.932745895352274622e-18,2.993931262451264286e-01
4.000000000000000083e-02,1.947817869473897900e+00,3.966372947676137311e-18,2.992714351650619387e-01
4.200000000000000261e-02,1.946847598822678549e+00,2.825701912040345931e-18,2.991493301038215535e-01
4.399999999999999745e-02,1.945873007233331009e+00,4.079310673976710433e-18,2.990268100861804834e-01
4.599999999999999922e-02,1.944894087952437900e+00,1.707844297117270733e-17,2.989038741384332232e-01
4.800000000000000100e-02,1.943910834324757531e+00,7.589415207398531038e-18,2.987805212884360739e-01
5.000000000000000278e-02,1.942923239793280743e+00,2.972520956231091452e-18,2.986567505656460564e-01
5.200000000000000455e-02,1.941931297901149378e+00,6.025227698135589488e-18,2.985325610011739239e-01
5.399999999999999939e-02,1.940935002291510614e+00,1.431146867680865853e-17,2.984079516278159150e-01
5.600000000000000117e-02,1.939934346709783597e+00,1.449216903888957491e-17,2.982829214801117623e-01
5.800000000000000294e-02,1.938929325003318382e+00,2.724057958369829890e-18,2.981574695943782771e-01
5.999999999999999778e-02,1.937919931123445849e+00,1.002887009549091601e-17,2.980315950087623622e-01
6.199999999999999956e-02,1.936906159125662441e+00,2.715022940265784149e-18,2.979052967632815907e-01
6.400000000000000133e-02,1.935888003171243099e+00,1.420756596861212999e-17,2.977785738998723897e-01
6.600000000000000311e-02,1.934865457527358501e+00,3.433306879537430547e-19,2.976514254624331168e-01
6.800000000000000488e-02,1.933838516569309718e+00,6.825956177606655256e-18,2.975238504968765185e-01
7.000000000000000666e-02,1.932807174779867410e+00,3.035766082959412415e-18,2.973958480511721958e-01
7.200000000000000844e-02,1.931771426751847542e+00,5.710131441756989762e-18,2.972674171753941219e-01
7.399999999999999634e-02,1.930731267187482558e+00,5.687543896496875600e-18,2.971385569217671607e-01
7.599999999999999811e-02,1.929686690900638268e+00,2.990590992439182935e-18,2.970092663447199688e-01
7.799999999999999989e-02,1.928637692816895566e+00,5.554277379462198500e-18,2.968795445009267953e-01
8.000000000000000167e-02,1.927584267975273491e+00,8.673617379884035472e-19,2.967493904493619383e-01
8.200000000000000344e-02,1.926526411528506344e+00,5.158995337410192189e-18,2.966188032513450423e-01
8.400000000000000522e-02,1.925464118743544617e+00,2.035137827936332153e-18,2.964877819705878381e-01
8.600000000000000699e-02,1.924397385003967287e+00,1.025474554809206341e-18,2.963563256732512086e-01
8.799999999999999489e-02,1.923326205809399170e+00,3.053836119167504284e-18,2.962244334279903191e-01
8.999999999999999667e-02,1.922250576777130959e+00,6.432932890080659899e-18,2.960921043060035229e-01
9.199999999999999845e-02,1.921170493642961219e+00,1.194881144260066294e-17,2.959593373810889272e-01
9.400000000000000022e-02,1.920085952261601392e+00,4.797594613248357120e-18,2.958261317296895232e-01
9.600000000000000200e-02,1.918996948608395314e+00,5.782411586589356660e-19,2.956924864309434242e-01
9.800000000000000377e-02,1.917903478779241055e+00,6.559423143537301826e-18,2.955584005667466485e-01
