# delta,gap,coarse,fine
0.000000000000000000e+00,1.123770783216485825e+00,4.515250297496923931e-18,2.390516081704945339e-01
2.000000000000000042e-03,1.124447290330689242e+00,1.490777987167568597e-18,2.387800138151785490e-01
4.000000000000000083e-03,1.125124495349300702e+00,6.392275308612453482e-18,2.385074894583877336e-01
6.000000000000000125e-03,1.125802395996590377e+00,1.476096082748494160e-17,2.382340330518399885e-01
8.000000000000000167e-03,1.126480989966463397e+00,9.025983085941824413e-18,2.379596425551102901e-01
1.000000000000000021e-02,1.127160274923575400e+00,6.414862853872568222e-19,2.376843159357664992e-01
1.200000000000000025e-02,1.127840248502831599e+00,4.349796528466583418e-18,2.374080511695279838e-01
1.400000000000000029e-02,1.128520908308491499e+00,2.274848152009299149e-18,2.371308462404109751e-01
1.600000000000000033e-02,1.129202251914872335e+00,2.660812831641508927e-18,2.368526991408741178e-01
1.800000000000000211e-02,1.129884276865706028e+00,1.900516058186048711e-17,2.365736078719791191e-01
2.000000000000000042e-02,1.130566980674224453e+00,3.912162839051862090e-18,2.362935704435353834e-01
2.199999999999999872e-02,1.131250360822534162e+00,3.564314642046095827e-18,2.360125848742565258e-01
2.400000000000000050e-02,1.131934414762447716e+00,4.524285315600969288e-18,2.357306491919134162e-01
2.600000000000000228e-02,1.132619139913785489e+00,9.012430558785755608e-18,2.354477614334858082e-01
2.800000000000000058e-02,1.133304533665885572e+00,3.588031564569216236e-18,2.351639196453246539e-01
2.999999999999999889e-02,1.133990593375933997e+00,1.933493874265816112e-18,2.348791218833005678e-01
3.200000000000000067e-02,1.134677316369870681e+00,1.544988095791843818e-18,2.345933662129671138e-01
3.400000000000000244e-02,1.135364699941643352e+00,5.421010862427522170e-18,2.343066507097154583e-01
3.600000000000000422e-02,1.136052741353516637e+00,5.908901840045999165e-18,2.340189734589371851e-01
3.799999999999999906e-02,1.136741437835304680e+00,6.216092455583559012e-18,2.337303325561787826e-01
4.000000000000000083e-02,1.137430786584442188e+00,9.324138683375338132e-18,2.334407261073050410e-01
4.200000000000000261e-02,1.138120784766194049e+00,1.123052750332901625e-17,2.331501522286635042e-01
4.399999999999999745e-02,1.138811429512891493e+00,1.018698291231171823e-17,2.328586090472385961e-01
4.599999999999999922e-02,1.139502717924283814e+00,3.523657060577889411e-18,2.325660947008243995e-01
