# delta,gap,coarse,fine
0.000000000000000000e+00,1.501689080775534535e+00,1.017343038515564943e-17,2.772442470528306280e-01
2.000000000000000042e-03,1.501042526462306625e+00,1.174552353525963201e-18,2.771977194393582811e-01
4.000000000000000083e-03,1.500394468442557638e+00,4.056723128716595500e-18,2.771510031510986960e-01
6.000000000000000125e-03,1.499744904138186286e+00,3.595937205410256116e-18,2.771040972328525087e-01
8.000000000000000167e-03,1.499093830986247156e+00,1.192622389734054877e-17,2.770570007242286747e-01
1.000000000000000021e-02,1.498441246443633190e+00,1.048062100069320889e-18,2.770097126596199888e-01
1.200000000000000025e-02,1.497787147982204914e+00,2.624672759225325420e-17,2.769622320681744410e-01
1.400000000000000029e-02,1.497131533092968425e+00,1.261288527324803440e-17,2.769145579737836704e-01
1.600000000000000033e-02,1.496474399285233403e+00,3.939267893363999700e-18,2.768666893950465502e-01
1.800000000000000211e-02,1.495815744086169019e+00,1.308270621465842068e-17,2.768186253452603607e-01
2.000000000000000042e-02,1.495155565042765033e+00,1.987703982890091334e-18,2.767703648323857624e-01
2.199999999999999872e-02,1.494493859721163886e+00,1.084202172485504434e-19,2.767219068590292541e-01
2.400000000000000050e-02,1.493830625706390691e+00,2.929152869331671351e-17,2.766732504224274636e-01
2.600000000000000228e-02,1.493165860604623418e+00,5.601711224508439319e-18,2.766243945144074567e-01
2.800000000000000058e-02,1.492499562042080896e+00,7.959850949664412233e-18,2.765753381213839623e-01
2.999999999999999889e-02,1.491831727666301788e+00,1.450120405699362180e-17,2.765260802243230676e-01
3.200000000000000067e-02,1.491162355145178253e+00,4.011548038196366406e-18,2.764766197987243435e-01
3.400000000000000244e-02,1.490491442169162184e+00,2.168404344971008868e-19,2.764269558146043582e-01
3.600000000000000422e-02,1.489818986450391236e+00,7.950815931560365336e-18,2.763770872364632036e-01
3.799999999999999906e-02,1.489144985724042414e+00,3.939267893363999700e-18,2.763270130232708399e-01
4.000000000000000083e-02,1.488469437747038882e+00,2.891205793294678330e-19,2.762767321284452793e-01
4.200000000000000261e-02,1.487792340301506755e+00,7.246084519444787454e-18,2.762262434998264959e-01
4.399999999999999745e-02,1.487113691191265019e+00,1.015536034894755871e-17,2.761755460796597728e-01
4.599999999999999922e-02,1.486433488245687329e+00,3.324886662288880393e-18,2.761246388045697220e-01
4.800000000000000100e-02,1.485751729318430137e+00,1.142929790161802642e-17,2.760735206055423552e-01
5.000000000000000278e-02,1.485068412288722328e+00,7.182839392716466875e-18,2.760221904079025457e-01
5.200000000000000455e-02,1.484383535059848214e+00,4.065758146820641628e-19,2.759706471312954879e-01
5.399999999999999939e-02,1.483697095562789059e+00,1.084202172485504434e-19,2.759188896896605514e-01
5.600000000000000117e-02,1.483009091754148301e+00,1.843143693225357538e-17,2.758669169912182362e-01
5.800000000000000294e-02,1.482319521617434077e+00,4.481368979606751917e-18,2.758147279384420281e-01
5.999999999999999778e-02,1.481628383163389628e+00,1.022764049377992465e-17,2.757623214280419677e-01
6.199999999999999956e-02,1.480935674431030691e+00,1.206174916890123683e-17,2.757096963509477749e-01
6.400000000000000133e-02,1.480241393487528256e+00,1.407655820610346693e-17,2.756568515922816487e-01
6.600000000000000311e-02,1.479545538428507001e+00,8.312216655722200982e-19,2.756037860313473864e-01
6.800000000000000488e-02,1.478848107379420185e+00,3.776637567491174035e-18,2.755504985416040165e-01
7.000000000000000666e-02,1.478149098494970559e+00,4.842769703768586215e-18,2.754969879906452035e-01
7.200000000000000844e-02,1.477448509960861855e+00,3.541727096785980894e-18,2.754432532401930311e-01
7.399999999999999634e-02,1.476746339992821788e+00,1.131184266626542908e-17,2.753892931460620863e-01
7.599999999999999811e-02,1.476042586838154591e+00,2.331034670843834533e-17,2.753351065581510770e-01
7.799999999999999989e-02,1.475337248776142474e+00,2.528901567322439092e-17,2.752806923204267897e-01
8.000000000000000167e-02,1.474630324118354707e+00,5.204170427930421283e-18,2.752260492708994422e-01
8.200000000000000344e-02,1.473921811209077504e+00,8.050201130704870423e-18,2.751711762416081952e-01
8.400000000000000522e-02,1.473211708426280353e+00,4.129003273548962976e-18,2.751160720586025010e-01
8.600000000000000699e-02,1.472500014181356676e+00,7.679765388438989227e-18,2.750607355419268374e-01
8.799999999999999489e-02,1.471786726920672805e+00,7.878535786727999401e-18,2.750051655056041100e-01
8.999999999999999667e-02,1.471071845125333510e+00,7.770115569479448765e-19,2.749493607576158904e-01
9.199999999999999845e-02,1.470355367312894401e+00,1.274841054480872246e-17,2.748933200998907589e-01
9.400000000000000022e-02,1.469637292035677945e+00,9.035018104045870925e-19,2.748370423282868735e-01
9.600000000000000200e-02,1.468917617883821691e+00,6.812403650450586450e-18,2.747805262325730413e-01
9.800000000000000377e-02,1.468196343483885613e+00,3.433306879537430836e-18,2.747237705964193366e-01
1.000000000000000056e-01,1.467473467501811513e+00,9.035018104045870925e-19,2.746667741973797261e-01
1.020000000000000073e-01,1.466748988640404150e+00,3.433306879537430836e-18,2.746095358068736947e-01
1.040000000000000091e-01,1.466022905642212493e+00,1.150157804645039236e-17,2.745520541901805833e-01
1.059999999999999970e-01,1.465295217289632745e+00,1.476321958201095102e-17,2.744943281064209928e-01
1.079999999999999988e-01,1.464565922405601128e+00,8.646512325571897861e-18,2.744363563085429059e-01
1.100000000000000006e-01,1.463835019853195973e+00,9.667469371329080561e-19,2.743781375433104186e-01
1.120000000000000023e-01,1.463102508537396318e+00,2.177439363075054610e-18,2.743196705512923050e-01
1.140000000000000041e-01,1.462368387405671655e+00,2.674365358797577732e-18,2.742609540668504708e-01
1.160000000000000059e-01,1.461632655447949958e+00,7.661695352230898514e-18,2.742019868181246323e-01
1.180000000000000077e-01,1.460895311697786525e+00,3.776637567491174035e-18,2.741427675270261544e-01
1.199999999999999956e-01,1.460156355232314240e+00,4.779524577040265637e-18,2.740832949092227855e-01
1.219999999999999973e-01,1.459415785174108748e+00,2.490050989475041747e-17,2.740235676741342163e-01
1.239999999999999991e-01,1.458673600691255956e+00,9.143438321294420213e-18,2.739635845249214219e-01
1.260000000000000009e-01,1.457929800996929259e+00,1.073360150760649390e-17,2.739033441584738382e-01
1.280000000000000027e-01,1.457184385352011446e+00,1.987703982890091382e-19,2.738428452654027567e-01
1.300000000000000044e-01,1.456437353064522711e+00,9.577119190288621987e-18,2.737820865300367168e-01
1.320000000000000062e-01,1.455688703490469749e+00,3.234536481248421433e-18,2.737210666304126794e-01
1.340000000000000080e-01,1.454938436035263294e+00,7.200909428924559129e-18,2.736597842382624268e-01
1.360000000000000098e-01,1.454186550152833490e+00,1.300139105172200785e-17,2.735982380190190022e-01
1.380000000000000115e-01,1.453433045348823782e+00,1.662443331144440235e-17,2.735364266318053295e-01
1.400000000000000133e-01,1.452677921178477050e+00,2.134071276175634664e-17,2.734743487294244990e-01
1.420000000000000151e-01,1.451921177249154482e+00,1.382357769919018153e-17,2.734120029583639866e-01
1.440000000000000169e-01,1.451162813221365866e+00,1.754600515805708112e-17,2.733493879587863273e-01
1.459999999999999909e-01,1.450402828807952460e+00,1.168227840853131028e-17,2.732865023645291713e-01
1.479999999999999927e-01,1.449641223775980592e+00,9.843652224357976187e-18,2.732233448031046175e-01
1.499999999999999944e-01,1.448877997947327856e+00,4.156108327861100491e-19,2.731599138956928297e-01
1.519999999999999962e-01,1.448113151199400761e+00,2.891205793294678619e-18,2.730962082571439797e-01
1.539999999999999980e-01,1.447346683465394079e+00,2.679334618754802833e-17,2.730322264959847423e-01
1.559999999999999998e-01,1.446578594736013912e+00,1.456444918372194392e-17,2.729679672144030844e-01
1.580000000000000016e-01,1.445808885059829407e+00,8.226383983733764893e-18,2.729034290082706371e-01
1.600000000000000033e-01,1.445037554543219471e+00,1.276648058101681471e-17,2.728386104671249868e-01
1.620000000000000051e-01,1.444264603353143883e+00,5.963111948670274387e-19,2.727735101741904367e-01
1.640000000000000069e-01,1.443490031715739974e+00,6.062497147814778703e-18,2.727081267063706238e-01
1.660000000000000087e-01,1.442713839919104402e+00,1.396813798885491649e-17,2.726424586342584555e-01
1.680000000000000104e-01,1.441936028312230889e+00,2.131360770744420903e-17,2.725765045221410499e-01
1.700000000000000122e-01,1.441156597307973186e+00,4.101898219236825365e-18,2.725102629280037325e-01
1.720000000000000140e-01,1.440375547381595567e+00,3.361026734705063745e-18,2.724437324035463015e-01
1.740000000000000158e-01,1.439592879073927634e+00,2.200930410145574001e-17,2.723769114941801406e-01
1.759999999999999898e-01,1.438808592989801127e+00,3.252606517456513302e-19,2.723097987390467045e-01
1.779999999999999916e-01,1.438022689801375265e+00,1.068842641708626403e-17,2.722423926710272335e-01
1.799999999999999933e-01,1.437235170247230798e+00,5.149960319306146062e-19,2.721746918167484708e-01
1.819999999999999951e-01,1.436446035133993604e+00,1.156482317317871332e-18,2.721066946966049227e-01
1.839999999999999969e-01,1.435655285337052334e+00,1.826880660638074971e-17,2.720383998247630775e-01
1.859999999999999987e-01,1.434862921801883573e+00,4.047688110612550144e-18,2.719698057091819443e-01
1.880000000000000004e-01,1.434068945543934603e+00,1.458703672898205655e-17,2.719009108516285966e-01
1.900000000000000022e-01,1.433273357650595159e+00,1.235990476633475055e-17,2.718317137476960466e-01
1.920000000000000040e-01,1.432476159281897310e+00,7.480994990149980595e-18,2.717622128868192322e-01
1.940000000000000058e-01,1.431677351671211795e+00,2.602085213965210642e-18,2.716924067522945019e-01
1.960000000000000075e-01,1.430876936125780929e+00,1.409462824231155764e-17,2.716222938213053162e-01
1.980000000000000093e-01,1.430074914029304978e+00,1.153771811886657687e-17,2.715518725649374576e-01
2.000000000000000111e-01,1.429271286840268829e+00,5.782411586589357238e-18,2.714811414482061203e-01
2.020000000000000129e-01,1.428466056096269199e+00,3.071906155375595768e-18,2.714100989300843869e-01
2.040000000000000147e-01,1.427659223411165357e+00,9.848169733409998095e-18,2.713387434635203821e-01
2.060000000000000164e-01,1.426850790479885944e+00,8.854317741964953391e-18,2.712670734954703566e-01
2.080000000000000182e-01,1.426040759076649067e+00,4.007030529144343727e-18,2.711950874669294964e-01
2.099999999999999922e-01,1.425229131056678256e+00,1.897353801849632760e-17,2.711227838129540713e-01
2.119999999999999940e-01,1.424415908358572125e+00,3.975407965780182764e-19,2.710501609627049557e-01
2.139999999999999958e-01,1.423601093003107110e+00,7.471959972045935238e-18,2.709772173394646710e-01
2.159999999999999976e-01,1.422784687095919764e+00,5.366800753803246948e-18,2.709039513606908423e-01
2.179999999999999993e-01,1.421966692828558365e+00,5.791446604693402595e-18,2.708303614380398461e-01
2.200000000000000011e-01,1.421147112478429619e+00,9.360278755791521100e-18,2.707564459774029486e-01
2.220000000000000029e-01,1.420325948410500416e+00,6.830473686658677934e-18,2.706822033789590409e-01
2.240000000000000047e-01,1.419503203078427589e+00,3.903127820947815962e-18,2.706076320371987309e-01
2.260000000000000064e-01,1.418678879025733863e+00,1.333568672157170454e-17,2.705327303409821305e-01
2.280000000000000082e-01,1.417852978886855908e+00,2.993753248775599118e-17,2.704574966735733277e-01
2.300000000000000100e-01,1.417025505387520923e+00,2.013905535391824486e-17,2.703819294126906247e-01
2.320000000000000118e-01,1.416196461347272617e+00,1.156482317317871332e-18,2.703060269305563312e-01
2.340000000000000135e-01,1.415365849679197652e+00,1.214758184088967311e-17,2.702297875939391192e-01
2.360000000000000153e-01,1.414533673392288193e+00,6.288372600415925717e-18,2.701532097642173058e-01
2.380000000000000171e-01,1.413699935591250068e+00,3.189361390728192338e-18,2.700762917974229849e-01
2.399999999999999911e-01,1.412864639478435436e+00,1.637145280453111695e-17,2.699990320442987590e-01
2.419999999999999929e-01,1.412027788355928237e+00,1.610943727951378774e-17,2.699214288503622439e-01
2.439999999999999947e-01,1.411189385624567194e+00,4.734349486520035772e-18,2.698434805559574157e-01
2.459999999999999964e-01,1.410349434787175227e+00,1.029992063861229212e-18,2.697651854963224460e-01
2.479999999999999982e-01,1.409507939448147340e+00,2.348878831599325230e-17,2.696865420016472670e-01
2.500000000000000000e-01,1.408664903315528960e+00,2.710505431213761085e-20,2.696075483971436815e-01
2.520000000000000018e-01,1.407820330203080061e+00,5.574606170196301708e-18,2.695282030031145859e-01
2.540000000000000036e-01,1.406974224028726184e+00,7.860465750519907147e-19,2.694485041350230259e-01
2.560000000000000053e-01,1.406126588819507361e+00,2.782785576046128176e-18,2.693684501035594203e-01
2.580000000000000071e-01,1.405277428709631238e+00,1.301042606982605321e-18,2.692880392147282143e-01
2.600000000000000089e-01,1.404426747942906673e+00,1.196236396975673174e-17,2.692072697699116612e-01
2.620000000000000107e-01,1.403574550875060112e+00,1.427532860439247441e-18,2.691261400659628600e-01
2.640000000000000124e-01,1.402720841973124521e+00,1.211595927752551205e-17,2.690446483952740886e-01
2.660000000000000142e-01,1.401865625818327743e+00,1.402234809747919171e-17,2.689627930458773908e-01
2.680000000000000160e-01,1.401008907106049861e+00,3.921197857155907446e-18,2.688805723015131321e-01
2.700000000000000178e-01,1.400150690648402474e+00,1.343507192071620962e-17,2.687979844417380249e-01
2.720000000000000195e-01,1.399290981374118559e+00,8.312216655722200982e-19,2.687150277420072286e-01
2.740000000000000213e-01,1.398429784331739256e+00,1.341700188450811737e-18,2.686317004737706626e-01
