# delta,gap,coarse,fine
0.000000000000000000e+00,-1.776356839400250465e-15,1.385490234054725378e-01,2.135335257675946008e-01
2.000000000000000042e-03,-1.065814103640150279e-14,2.210155698933641832e-01,4.602488780558200432e-02
4.000000000000000083e-03,-7.105427357601001859e-15,8.265271321626865841e-02,4.788122949195489086e-02
6.000000000000000125e-03,-4.618527782440651208e-14,6.193893699126697822e-02,4.889481015845029838e-02
8.000000000000000167e-03,3.730349362740525976e-14,9.559635609502152576e-02,5.619711209627406556e-02
1.000000000000000021e-02,-3.730349362740525976e-14,4.107098401432621865e-02,5.488723187712318818e-02
1.200000000000000025e-02,5.329070518200751394e-15,9.378408572772600760e-02,6.067096334448258965e-02
1.400000000000000029e-02,2.493192149412415404e-02,3.660578716040643887e-01,4.409310038286751166e-02
1.600000000000000033e-02,4.973799150320701301e-14,1.799171514209442491e-01,3.656162842787850920e-02
1.800000000000000211e-02,-4.440892098500626162e-14,2.190963201886798328e-01,5.597156676866241881e-02
2.000000000000000042e-02,-3.907985046680551022e-14,7.205336462125784547e-02,4.818336507701217325e-02
2.199999999999999872e-02,2.131628207280300558e-14,1.136353943179832168e-02,4.422345239181268983e-02
2.400000000000000050e-02,3.730349362740525976e-14,1.583853179825606833e-02,5.202788277739343187e-02
2.600000000000000228e-02,-2.486899575160350651e-14,2.677413749506178386e-01,4.530938980757442253e-02
2.800000000000000058e-02,1.598721155460225418e-14,1.024275009286574611e-01,3.707857095815547677e-02
2.999999999999999889e-02,-5.329070518200751394e-15,3.262180671339995897e-01,4.825595083698744348e-02
3.200000000000000067e-02,3.552713678800500929e-15,1.837110315557038270e-02,5.337877392673714971e-02
3.400000000000000244e-02,3.552713678800500929e-15,1.005225196420365119e-01,5.513688378171822252e-02
3.600000000000000422e-02,6.428469300210437609e-02,2.293753021301325190e-01,3.909760821733111041e-02
3.799999999999999906e-02,6.787277490065868335e-02,3.623930578720534201e-02,4.899315417288806901e-02
4.000000000000000083e-02,-2.309263891220325604e-14,2.401687133177044520e-01,4.690878465987220053e-02
4.200000000000000261e-02,-3.552713678800500929e-14,1.368696030303926392e-01,4.722563005836391548e-02
4.399999999999999745e-02,-5.329070518200751394e-15,1.880882582535615966e-01,5.067959955793030491e-02
4.599999999999999922e-02,-1.243449787580175325e-14,1.306033242911336933e-01,3.996706259907935321e-02
4.800000000000000100e-02,8.583959812408714640e-02,1.050590897277406677e-01,4.311133978215334756e-02
5.000000000000000278e-02,1.598721155460225418e-14,7.345993006742151943e-02,4.464621794441296643e-02
5.200000000000000455e-02,1.243449787580175325e-14,2.512287573955301889e-01,4.678217946173303388e-02
5.399999999999999939e-02,1.598721155460225418e-14,1.513298403141378687e-02,4.431645715412553532e-02
5.600000000000000117e-02,1.953992523340275511e-14,3.237360722782784556e-02,5.943693420946195155e-02
5.800000000000000294e-02,8.881784197001252323e-15,2.597987663977096018e-01,3.949749939291559431e-02
5.999999999999999778e-02,-3.907985046680551022e-14,1.233825489121099517e-01,5.033102336351861356e-02
6.199999999999999956e-02,3.019806626980425790e-14,1.820408432209090210e-01,5.059577806923003934e-02
6.400000000000000133e-02,5.151434834260726348e-14,3.404567323170767934e-01,4.409825771984627468e-02
6.600000000000000311e-02,-4.973799150320701301e-14,1.729892714783149432e-01,3.033565303778929662e-02
6.800000000000000488e-02,-1.776356839400250465e-14,9.986581139079473216e-03,4.020551814393279189e-02
7.000000000000000666e-02,-3.552713678800500929e-14,3.330308654326488704e-01,4.044385110761213042e-02
7.200000000000000844e-02,1.953992523340275511e-14,3.642996332994915404e-02,4.883980179658974768e-02
7.399999999999999634e-02,-5.329070518200751394e-15,1.912750558959150707e-02,3.705126428732304772e-02
7.599999999999999811e-02,-5.329070518200751394e-15,5.482477761901451835e-02,3.691468553214256182e-02
