# delta,gap,coarse,fine
0.000000000000000000e+00,1.966327107957592801e+00,9.251858538542970657e-18,2.856417548586201449e-01
2.000000000000000042e-03,1.968002677559342217e+00,1.156482317317871448e-17,2.851762627909807946e-01
4.000000000000000083e-03,1.969679633930827123e+00,2.312964634635742664e-18,2.847099178538527453e-01
6.000000000000000125e-03,1.971357970583603958e+00,0.000000000000000000e+00,2.842427210480112376e-01
8.000000000000000167e-03,1.973037680977641983e+00,1.387778780781445676e-17,2.837746733904193963e-01
1.000000000000000021e-02,1.974718758521307294e+00,4.625929269271485328e-18,2.833057759142575960e-01
1.200000000000000025e-02,1.976401196570758856e+00,2.312964634635742664e-18,2.828360296689441666e-01
1.400000000000000029e-02,1.978084988430381941e+00,9.251858538542970657e-18,2.823654357201607623e-01
1.600000000000000033e-02,1.979770127352342257e+00,9.251858538542970657e-18,2.818939951498740659e-01
1.800000000000000211e-02,1.981456606536578846e+00,6.938893903907228378e-18,2.814217090563603807e-01
2.000000000000000042e-02,1.983144419130695724e+00,2.312964634635742664e-18,2.809485785542263914e-01
2.199999999999999872e-02,1.984833558229810890e+00,3.006854025026465425e-17,2.804746047744259285e-01
2.400000000000000050e-02,1.986524016876551002e+00,1.387778780781445676e-17,2.799997888642881128e-01
2.600000000000000228e-02,1.988215788060827549e+00,1.156482317317871448e-17,2.795241319875301778e-01
2.800000000000000058e-02,1.989908864719769355e+00,2.312964634635742664e-18,2.790476353242802854e-01
2.999999999999999889e-02,1.991603239737724351e+00,0.000000000000000000e+00,2.785703000710930133e-01
3.200000000000000067e-02,1.993298905946048194e+00,9.251858538542970657e-18,2.780921274409725030e-01
3.400000000000000244e-02,1.994995856122967481e+00,1.387778780781445676e-17,2.776131186633788439e-01
3.600000000000000422e-02,1.996694082993602848e+00,2.312964634635742664e-18,2.771332749842538301e-01
3.799999999999999906e-02,1.998393579229900574e+00,0.000000000000000000e+00,2.766525976660337283e-01
4.000000000000000083e-02,2.000094337450314619e+00,1.156482317317871448e-17,2.761710879876604352e-01
4.200000000000000261e-02,2.001796350220018006e+00,6.938893903907228378e-18,2.756887472446005738e-01
4.399999999999999745e-02,2.003499610050553770e+00,2.312964634635742664e-18,2.752055767488536531e-01
4.599999999999999922e-02,2.005204109399961965e+00,4.625929269271485328e-18,2.747215778289689436e-01
4.800000000000000100e-02,2.006909840672509659e+00,6.938893903907228378e-18,2.742367518300538043e-01
5.000000000000000278e-02,2.008616796218772649e+00,1.156482317317871448e-17,2.737511001137877820e-01
5.200000000000000455e-02,2.010324968335404527e+00,2.312964634635742664e-18,2.732646240584287178e-01
5.399999999999999939e-02,2.012034349265162447e+00,6.938893903907228378e-18,2.727773250588262921e-01
5.600000000000000117e-02,2.013744931196816523e+00,1.619075244245020058e-17,2.722892045264294070e-01
5.800000000000000294e-02,2.015456706265092102e+00,4.625929269271485328e-18,2.718002638892920153e-01
5.999999999999999778e-02,2.017169666550434393e+00,1.156482317317871448e-17,2.713105045920836123e-01
6.199999999999999956e-02,2.018883804079223410e+00,4.625929269271485328e-18,2.708199280960938427e-01
6.400000000000000133e-02,2.020599110823507516e+00,1.387778780781445676e-17,2.703285358792396065e-01
6.600000000000000311e-02,2.022315578700927929e+00,6.938893903907228378e-18,2.698363294360658360e-01
6.800000000000000488e-02,2.024033199574751585e+00,4.625929269271485328e-18,2.693433102777553212e-01
7.000000000000000666e-02,2.025751965253790310e+00,2.081668171172168513e-17,2.688494799321284878e-01
7.200000000000000844e-02,2.027471867492270263e+00,0.000000000000000000e+00,2.683548399436459508e-01
7.399999999999999634e-02,2.029192897989918976e+00,1.156482317317871448e-17,2.678593918734143431e-01
7.599999999999999811e-02,2.030915048391731759e+00,6.938893903907228378e-18,2.673631372991800426e-01
7.799999999999999989e-02,2.032638310287955719e+00,0.000000000000000000e+00,2.668660778153351676e-01
8.000000000000000167e-02,2.034362675214261174e+00,9.251858538542970657e-18,2.663682150329161891e-01
8.200000000000000344e-02,2.036088134651366843e+00,4.625929269271485328e-18,2.658695505795995451e-01
8.400000000000000522e-02,2.037814680025211267e+00,1.619075244245020058e-17,2.653700860997037503e-01
8.600000000000000699e-02,2.039542302706899513e+00,4.625929269271485328e-18,2.648698232541816799e-01
8.799999999999999489e-02,2.041270994012449158e+00,9.251858538542970657e-18,2.643687637206196261e-01
8.999999999999999667e-02,2.043000745203149116e+00,9.251858538542970657e-18,2.638669091932358546e-01
9.199999999999999845e-02,2.044731547485072909e+00,9.251858538542970657e-18,2.633642613828655055e-01
9.400000000000000022e-02,2.046463392009425952e+00,1.619075244245020058e-17,2.628608220169644794e-01
9.600000000000000200e-02,2.048196269872218700e+00,0.000000000000000000e+00,2.623565928395957814e-01
9.800000000000000377e-02,2.049930172114465599e+00,1.387778780781445676e-17,2.618515756114265791e-01
1.000000000000000056e-01,2.051665089722046531e+00,0.000000000000000000e+00,2.613457721097148245e-01
1.020000000000000073e-01,2.053401013625643756e+00,1.619075244245020058e-17,2.608391841283013712e-01
1.040000000000000091e-01,2.055137934700855595e+00,2.312964634635742664e-18,2.603318134776022030e-01
1.059999999999999970e-01,2.056875843768067647e+00,4.625929269271485328e-18,2.598236619845931683e-01
1.079999999999999988e-01,2.058614731592449232e+00,1.387778780781445676e-17,2.593147314927998215e-01
