l,llcl_muK2
2,8485.2111
3,8320.4646
4,8191.2801
5,8081.0315
6,7982.3923
7,7891.4944
8,7806.0546
9,7724.6196
10,7646.2126
11,7570.1503
12,7495.9402
13,7423.2190
14,7351.7141
15,7281.2189
16,7211.5751
17,7142.6615
18,7074.3851
19,7006.6756
20,6939.4800
21,6872.7597
22,6806.4877
23,6740.6466
24,6675.2267
25,6610.2251
26,6545.6442
27,6481.4911
28,6417.7769
29,6354.5161
30,6291.7260
31,6229.4261
32,6167.6383
33,6106.3862
34,6045.6946
35,5985.5899
36,5926.0993
37,5867.2511
38,5809.0740
39,5751.5977
40,5694.8518
41,5638.8666
42,5583.6725
43,5529.2999
44,5475.7795
45,5423.1415
46,5371.4164
47,5320.6343
48,5270.8248
49,5222.0176
50,5174.2418
51,5127.5259
52,5081.8980
53,5037.3858
54,4994.0163
55,4951.8157
56,4910.8098
57,4871.0235
58,4832.4810
59,4795.2058
60,4759.2203
61,4724.5464
62,4691.2050
63,4659.2158
64,4628.5981
65,4599.3699
66,4571.5481
67,4545.1490
68,4520.1876
69,4496.6779
70,4474.6328
71,4454.0642
72,4434.9830
73,4417.3988
74,4401.3202
75,4386.7547
76,4373.7085
77,4362.1868
78,4352.1936
79,4343.7319
80,4336.8031
81,4331.4080
82,4327.5457
83,4325.2145
84,4324.4114
85,4325.1321
86,4327.3714
87,4331.1226
88,4336.3782
89,4343.1291
90,4351.3655
91,4361.0761
92,4372.2486
93,4384.8696
94,4398.9244
95,4414.3975
96,4431.2720
97,4449.5301
98,4469.1527
99,4490.1200
100,4512.4108
101,4536.0030
102,4560.8735
103,4586.9984
104,4614.3524
105,4642.9097
106,4672.6432
107,4703.5252
108,4735.5268
109,4768.6185
110,4802.7699
111,4837.9497
112,4874.1258
113,4911.2657
114,4949.3356
115,4988.3015
116,5028.1285
117,5068.7810
118,5110.2232
119,5152.4182
120,5195.3291
121,5238.9181
122,5283.1473
123,5327.9783
124,5373.3723
125,5419.2903
126,5465.6931
127,5512.5415
128,5559.7958
129,5607.4168
130,5655.3650
131,5703.6013
132,5752.0869
133,5800.7831
134,5849.6521
135,5898.6564
136,5947.7595
137,5996.9258
138,6046.1207
139,6095.3110
140,6144.4652
141,6193.5531
142,6242.5468
143,6291.4205
144,6340.1511
145,6388.7181
146,6437.1041
147,6485.2954
148,6533.2818
149,6581.0576
150,6628.6213
151,6675.9766
152,6723.1324
153,6770.1031
154,6816.9096
155,6863.5789
156,6910.1448
157,6956.6483
158,7003.1379
159,7049.6695
160,7096.3069
161,7143.1217
162,7190.1935
163,7237.6098
164,7285.4658
165,7333.8637
166,7382.9133
167,7432.7302
168,7483.4361
169,7535.1572
170,7588.0237
171,7642.1681
172,7697.7244
173,7754.8259
174,7813.6039
175,7874.1856
176,7936.6921
177,8001.2363
178,8067.9206
179,8136.8340
180,8208.0505
181,8281.6258
182,8357.5951
183,8435.9705
184,8516.7389
185,8599.8591
186,8685.2603
187,8772.8394
188,8862.4602
189,8953.9514
190,9047.1056
191,9141.6791
192,9237.3911
193,9333.9243
194,9430.9255
195,9528.0068
196,9624.7475
197,9720.6961
198,9815.3732
199,9908.2752
200,9998.8772
201,10086.6382
202,10171.0049
203,10251.4174
204,10327.3140
205,10398.1369
206,10463.3381
207,10522.3849
208,10574.7656
209,10619.9956
210,10657.6225
211,10687.2317
212,10708.4509
213,10720.9551
214,10724.4703
215,10718.7768
216,10703.7124
217,10679.1746
218,10645.1216
219,10601.5734
220,10548.6120
221,10486.3802
222,10415.0807
223,10334.9733
224,10246.3728
225,10149.6453
226,10045.2041
227,9933.5053
228,9815.0431
229,9690.3445
230,9559.9634
231,9424.4758
232,9284.4732
233,9140.5572
234,8993.3340
235,8843.4085
236,8691.3792
237,8537.8332
238,8383.3413
239,8228.4542
240,8073.6982
241,7919.5719
242,7766.5439
243,7615.0496
244,7465.4901
245,7318.2304
246,7173.5989
247,7031.8868
248,6893.3484
249,6758.2013
250,6626.6278
251,6498.7758
252,6374.7604
253,6254.6655
254,6138.5464
255,6026.4312
256,5918.3237
257,5814.2056
258,5714.0386
259,5617.7672
260,5525.3210
261,5436.6169
262,5351.5613
263,5270.0523
264,5191.9819
265,5117.2374
266,5045.7034
267,4977.2634
268,4911.8009
269,4849.2008
270,4789.3503
271,4732.1402
272,4677.4650
273,4625.2240
274,4575.3216
275,4527.6675
276,4482.1772
277,4438.7720
