log_mass,log_radius,density
11.732,-1.0892,2.39e+14
11.643,-1.1188,2.39e+14
11.740,-1.0865,2.39e+14
11.699,-1.1003,2.39e+14
11.672,-1.1093,2.39e+14
11.690,-1.1033,2.39e+14
11.681,-1.1063,2.39e+14
11.633,-1.1222,2.39e+14
11.708,-1.0975,2.39e+14
11.724,-1.0919,2.39e+14
11.740,-1.0865,2.39e+14
11.740,-1.0865,2.39e+14
11.672,-1.1093,2.39e+14
11.653,-1.1156,2.39e+14
11.591,-1.1363,2.39e+14
11.681,-1.1063,2.39e+14
11.681,-1.1063,2.39e+14
11.681,-1.1063,2.39e+14
11.813,-1.0624,2.39e+14
11.724,-1.0919,2.39e+14
11.663,-1.1124,2.39e+14
11.771,-1.0764,2.39e+14
11.699,-1.1003,2.39e+14
11.602,-1.1326,2.39e+14
11.716,-1.0947,2.39e+14
11.672,-1.1093,2.39e+14
11.681,-1.1063,2.39e+14
11.771,-1.0764,2.39e+14
11.732,-1.0892,2.39e+14
11.724,-1.0919,2.39e+14
11.763,-1.0789,2.39e+14
11.748,-1.0839,2.39e+14
11.633,-1.1222,2.39e+14
11.591,-1.1363,2.39e+14
11.724,-1.0919,2.39e+14
11.708,-1.0975,2.39e+14
11.623,-1.1256,2.39e+14
11.663,-1.1124,2.39e+14
11.708,-1.0975,2.39e+14
11.672,-1.1093,2.39e+14
11.663,-1.1124,2.39e+14
11.672,-1.1093,2.39e+14
11.716,-1.0947,2.39e+14
11.613,-1.1291,2.39e+14
11.643,-1.1188,2.39e+14
11.699,-1.1003,2.39e+14
11.591,-1.1363,2.39e+14
11.663,-1.1124,2.39e+14
11.763,-1.0789,2.39e+14
11.771,-1.0764,2.39e+14
11.663,-1.1124,2.39e+14
11.623,-1.1256,2.39e+14
11.672,-1.1093,2.39e+14
11.716,-1.0947,2.39e+14
11.785,-1.0716,2.39e+14
11.653,-1.1156,2.39e+14
11.653,-1.1156,2.39e+14
11.756,-1.0814,2.39e+14
11.740,-1.0865,2.39e+14
11.716,-1.0947,2.39e+14
11.681,-1.1063,2.39e+14
11.690,-1.1033,2.39e+14
11.591,-1.1363,2.39e+14
11.799,-1.0669,2.39e+14
11.690,-1.1033,2.39e+14
11.740,-1.0865,2.39e+14
11.732,-1.0892,2.39e+14
11.623,-1.1256,2.39e+14
11.653,-1.1156,2.39e+14
11.724,-1.0919,2.39e+14
11.724,-1.0919,2.39e+14
11.732,-1.0892,2.39e+14
11.690,-1.1033,2.39e+14
11.708,-1.0975,2.39e+14
11.716,-1.0947,2.39e+14
11.663,-1.1124,2.39e+14
11.740,-1.0865,2.39e+14
11.740,-1.0865,2.39e+14
11.785,-1.0716,2.39e+14
11.580,-1.1401,2.39e+14
11.681,-1.1063,2.39e+14
11.708,-1.0975,2.39e+14
11.633,-1.1222,2.39e+14
11.690,-1.1033,2.39e+14
11.799,-1.0669,2.39e+14
11.633,-1.1222,2.39e+14
11.672,-1.1093,2.39e+14
11.690,-1.1033,2.39e+14
11.708,-1.0975,2.39e+14
11.748,-1.0839,2.39e+14
11.591,-1.1363,2.39e+14
11.724,-1.0919,2.39e+14
11.756,-1.0814,2.39e+14
11.681,-1.1063,2.39e+14
11.681,-1.1063,2.39e+14
11.633,-1.1222,2.39e+14
11.763,-1.0789,2.39e+14
11.792,-1.0692,2.39e+14
11.690,-1.1033,2.39e+14
11.663,-1.1124,2.39e+14
11.643,-1.1188,2.39e+14
11.643,-1.1188,2.39e+14
11.778,-1.0739,2.39e+14
11.708,-1.0975,2.39e+14
11.591,-1.1363,2.39e+14
11.839,-1.0537,2.39e+14
11.633,-1.1222,2.39e+14
