well,system,group,Ro_pct,MAI,MDI,tot_diamondoid,adamantane,diamantane
GY10H,Gulong(in-situ shale oil),QJGL_shale,1.45,0.5897402931344818,0.5293103448275861,423.99,399.93,24.07
GY12,Gulong(in-situ shale oil),QJGL_shale,1.34,0.5854372484449324,0.3510158013544018,369.27,337.73,31.54
GY13H,Gulong(in-situ shale oil),QJGL_shale,1.23,0.5967741935483871,0.1710646041856233,203.71,175.02,28.69
GY1-JQ-1,Gulong(in-situ shale oil),QJGL_shale,1.65,0.638533674339301,0.6984126984126984,1059.26,1005.78,53.48
GY1-JQ-1414,Gulong(in-situ shale oil),QJGL_shale,1.6,0.6265779981965736,0.23591212989493793,602.01,568.26,33.75
GY1-JQ-1634,Gulong(in-situ shale oil),QJGL_shale,1.52,0.574435261707989,0.2256452955870108,528.41,488.7,39.71
GY1-JQ-2,Gulong(in-situ shale oil),QJGL_shale,1.64,0.6437118437118438,0.6883289124668436,890.79,844.21,46.57
GY1-JQ-20201,Gulong(in-situ shale oil),QJGL_shale,1.52,0.6090672612411743,0.22428330522765602,322.57,302.94,19.64
GY1-JQ-20202,Gulong(in-situ shale oil),QJGL_shale,1.6,0.6257727709850255,0.23606889564336375,513.52,482.13,31.39
GY1-JQ-2083,Gulong(in-situ shale oil),QJGL_shale,1.6,0.6192949166084091,0.22938530734632684,674.99,633.73,41.26
GY1-JQ-291,Gulong(in-situ shale oil),QJGL_shale,1.6,0.6170050519492899,0.2450980392156863,695.35,652.14,43.21
GY1-JQ-3,Gulong(in-situ shale oil),QJGL_shale,1.61,0.6453858978130823,0.6314935064935066,704.99,669.25,35.74
GY1-JQ-492,Gulong(in-situ shale oil),QJGL_shale,1.6,0.6222246058135794,0.2493074792243768,629.75,593.6,36.15
GY1-JQ-MB,Gulong(in-situ shale oil),QJGL_shale,1.6,0.583513097072419,0.356060606060606,379.33,352.29,27.03
GY21,Gulong(in-situ shale oil),QJGL_shale,1.5,0.6221579164944192,0.43052631578947365,476.3,439.99,36.31
GY2H-2473,Gulong(in-situ shale oil),QJGL_shale,1.41,0.6237814882733327,0.25,682.57,642.83,39.74
GY2H-2500,Gulong(in-situ shale oil),QJGL_shale,1.41,0.6248817904801933,0.22826086956521738,650.3,611.38,38.92
GY2H-2570,Gulong(in-situ shale oil),QJGL_shale,1.41,0.6206265721472672,0.2452431289640592,580.41,547.59,32.82
GY2H-2761,Gulong(in-situ shale oil),QJGL_shale,1.41,0.6225941422594143,0.23476702508960573,646.51,609.79,36.71
GY38,Gulong(in-situ shale oil),QJGL_shale,1.57,0.6244294321708965,0.6363636363636364,765.01,721.35,43.65
GY3H,Gulong(in-situ shale oil),QJGL_shale,1.43,0.6053555750658471,0.3851174934725849,443.79,412.79,31.01
GY40,Gulong(in-situ shale oil),QJGL_shale,1.58,0.6224397134497023,0.6228287841191067,699.41,655.38,44.04
GY42,Gulong(in-situ shale oil),QJGL_shale,1.43,0.6292554663714366,0.39763779527559057,509.9,475.07,34.83
GY7,Gulong(in-situ shale oil),QJGL_shale,1.4,0.5877632898696088,0.24349442379182154,280.52,246.84,33.69
GY8H-1,Gulong(in-situ shale oil),QJGL_shale,1.39,0.5935495367070563,0.39941690962099125,344.96,320.49,24.48
GY8H-42,Gulong(in-situ shale oil),QJGL_shale,1.39,0.6039552880481514,0.4252077562326869,362.38,338.52,23.85
GY9H-832,Gulong(in-situ shale oil),QJGL_shale,1.36,0.5799157960392952,0.42484472049689437,375.21,349.7,25.51
GY9H-CG,Gulong(in-situ shale oil),QJGL_shale,1.36,0.5814726840855107,0.4023494860499266,368.58,343.46,25.11
GY9H-MB,Gulong(in-situ shale oil),QJGL_shale,1.36,0.5667213114754098,0.3973727422003284,355.33,334.36,20.97
SYY1-1,Gulong(in-situ shale oil),QJGL_shale,1.31,0.5243810952738185,,79.47,79.47,
SYY1-1948,Gulong(in-situ shale oil),QJGL_shale,1.31,0.5674157303370786,,118.69,118.69,
SYY1-2,Gulong(in-situ shale oil),QJGL_shale,1.31,0.5773366418527709,,124.66,124.66,
SYY1-3,Gulong(in-situ shale oil),QJGL_shale,1.31,0.5798319327731092,0.23088923556942276,100.12,81.83,18.29
Y47,Gulong(in-situ shale oil),QJGL_shale,1.35,0.5991444388525415,0.3347889374090247,255.23,225.2,30.03
YY1H,Gulong(in-situ shale oil),QJGL_shale,1.45,0.5709451838484096,0.18911439114391143,306.23,265.82,40.41
GY19-1994,Gulong(in-situ shale oil),Longhupao_shale,1.32,0.5923799582463465,0.23735050597976085,279.26,246.59,32.67
GY19-2557,Gulong(in-situ shale oil),Longhupao_shale,1.32,0.6342788171394086,0.22241835834068846,256.25,224.19,32.06
SYY2-1931,Gulong(in-situ shale oil),Longhupao_shale,1.1,0.5784992017030335,,108.37,108.37,
SYY2-3,Gulong(in-situ shale oil),Longhupao_shale,1.17,0.578544061302682,,80.64,80.64,
YX58,Gulong(in-situ shale oil),Longhupao_shale,1.16,0.6252900232018561,0.23455233291298863,63.93,46.98,16.95
CH21,Gulong(in-situ shale oil),Sanzhao_shale,0.83,0.8024948024948025,,45.61,45.61,
SYY3,Gulong(in-situ shale oil),Sanzhao_shale,0.94,0.6982288828337875,,62.91,62.91,
BEI2,Gulong(in-situ shale oil),Daqing_conventional,0.9,0.6768734891216761,0.17955112219451372,70.47,53.65,16.82
G156,Gulong(in-situ shale oil),Daqing_conventional,0.9,0.6810631229235881,0.3170028818443804,78.82,62.06,16.76
PU44,Gulong(in-situ shale oil),Daqing_conventional,1.0,0.6915584415584416,0.19736842105263158,94.82,76.07,18.74
PU515,Gulong(in-situ shale oil),Daqing_conventional,0.9,0.7001394700139469,0.1323722149410223,53.94,36.35,17.59
TAI63,Gulong(in-situ shale oil),Daqing_conventional,1.0,0.5909090909090908,0.2651413189771198,107.17,86.15,21.02
AO34,Gulong(in-situ shale oil),QJGL_tight,1.26,0.5755159474671669,,100.32,100.32,
HT1H,Gulong(in-situ shale oil),QJGL_tight,1.45,0.6623586429725363,0.5365853658536586,270.73,250.84,19.89
