Sample,As_ppm,Ds_ppm,Ts_ppm,Total_ppm,MD4_3_ppm,MAI,EAI,DMAI1,DMAI2,TMAI1,TMAI2,MDI,DMDI1,DMDI2,MTI,MAs_MDs,Rc_pct,EASY_Ro,Facies,region,endmember,system
SM1,465.0,26,1.1,492.0,14.0,0.46,0.23,0.49,0.3,0.22,0.31,0.28,0.2,0.53,0.41,6.3,1.13,1.13,III,Wushi,coaly-III,Kuqa(high-maturity light oil)
SM2,681.0,29,1.0,711.0,15.9,0.45,0.23,0.49,0.28,0.22,0.31,0.31,0.24,0.6,0.38,8.4,1.19,0.86,III,Wushi,coaly-III,Kuqa(high-maturity light oil)
WC1-1,697.0,30,1.0,728.0,16.1,0.44,0.22,0.46,0.27,0.23,0.31,0.31,0.23,0.57,0.43,8.0,1.19,0.86,III,Wushi,coaly-III,Kuqa(high-maturity light oil)
WC1-2,727.0,34,0.8,762.0,18.4,0.43,0.22,0.45,0.26,0.21,0.29,0.29,0.19,0.46,0.41,7.4,1.14,0.87,III,Wushi,coaly-III,Kuqa(high-maturity light oil)
AW3,3590.0,187,11.7,3789.0,95.8,0.57,0.35,0.63,0.41,0.38,0.43,0.34,0.27,0.58,0.41,8.6,1.28,1.53,III,Bozi,coaly-III,Kuqa(high-maturity light oil)
BZ1,3250.0,156,9.1,3415.0,79.9,0.54,0.35,0.58,0.36,0.31,0.38,0.32,0.24,0.54,0.37,8.4,1.22,1.26,III,Bozi,coaly-III,Kuqa(high-maturity light oil)
BZ102,2563.0,128,8.4,2700.0,65.7,0.52,0.33,0.54,0.34,0.27,0.35,0.31,0.23,0.55,0.39,7.2,1.19,1.19,III,Bozi,coaly-III,Kuqa(high-maturity light oil)
BZ104,3780.0,213,12.0,4004.0,108.8,0.56,0.34,0.59,0.38,0.31,0.39,0.37,0.26,0.55,0.44,6.5,1.35,1.39,III,Bozi,coaly-III,Kuqa(high-maturity light oil)
BZ3,1468.0,57,0.1,1526.0,29.6,0.48,0.27,0.51,0.31,0.25,0.32,0.33,0.24,0.53,,8.7,1.25,0.81,III,Bozi,coaly-III,Kuqa(high-maturity light oil)
DB101,5349.0,289,18.8,5658.0,145.2,0.7,0.42,0.84,0.65,0.6,0.62,0.41,0.36,0.63,0.46,7.9,1.44,2.01,III,Dabei,coaly-III,Kuqa(high-maturity light oil)
DB101-1,4983.0,316,19.8,5319.0,159.3,0.7,0.42,0.77,0.53,0.53,0.53,0.42,0.38,0.65,0.44,7.5,1.45,1.96,III,Dabei,coaly-III,Kuqa(high-maturity light oil)
DB1,5003.0,335,21.4,5360.0,168.2,0.67,0.4,0.77,0.49,0.52,0.51,0.42,0.38,0.64,0.51,7.0,1.46,1.95,III,Dabei,coaly-III,Kuqa(high-maturity light oil)
DB11,4797.0,301,18.7,5117.0,149.5,0.68,0.41,0.79,0.53,0.54,0.54,0.43,0.37,0.65,0.47,7.5,1.49,1.96,III,Dabei,coaly-III,Kuqa(high-maturity light oil)
DB2,4718.0,322,21.5,5062.0,158.9,0.68,0.42,0.78,0.51,0.52,0.52,0.41,0.37,0.63,0.46,6.8,1.43,1.97,III,Dabei,coaly-III,Kuqa(high-maturity light oil)
DB201,4813.0,453,29.9,5296.0,222.5,0.67,0.41,0.77,0.52,0.5,0.53,0.42,0.37,0.63,0.49,4.8,1.45,2.06,III,Dabei,coaly-III,Kuqa(high-maturity light oil)
DB208,4516.0,332,24.8,4872.0,165.8,0.71,0.5,0.81,0.56,0.56,0.58,0.44,0.41,0.66,0.47,6.2,1.51,2.08,III,Dabei,coaly-III,Kuqa(high-maturity light oil)
DB301,,1080,69.3,,535.6,0.71,0.52,0.8,0.53,0.53,0.54,0.42,0.37,0.63,0.47,5.6,1.47,2.07,III,Dabei,coaly-III,Kuqa(high-maturity light oil)
KS102,856.0,141,14.6,1011.0,71.6,0.65,0.37,0.69,0.55,0.43,0.58,0.31,0.46,0.56,0.55,1.7,1.2,2.09,I,Keshen,lacustrine-II,Kuqa(high-maturity light oil)
KS103,128.0,11,0.8,141.0,5.1,0.51,0.27,0.28,0.16,0.25,0.37,0.37,0.37,0.56,0.57,4.8,1.34,1.5,II,Keshen,lacustrine-II,Kuqa(high-maturity light oil)
KS204,710.0,118,12.4,841.0,61.2,0.59,0.35,0.61,0.46,0.35,0.5,0.21,0.4,0.48,0.51,1.8,0.94,1.96,I,Keshen,lacustrine-II,Kuqa(high-maturity light oil)
KL201-1,,1925,214.4,,910.4,0.79,0.62,0.83,0.68,0.59,0.68,0.58,0.52,0.58,0.58,2.0,1.84,2.4,II,Kela,lacustrine-II,Kuqa(high-maturity light oil)
KL201-2,,2780,319.5,,1317.1,0.77,0.61,0.82,0.67,0.56,0.67,0.57,0.51,0.58,0.59,1.3,1.84,2.44,I,Kela,lacustrine-II,Kuqa(high-maturity light oil)
KL201-3,,2602,297.0,,1238.9,0.8,0.63,0.83,0.68,0.61,0.7,0.58,0.52,0.6,0.59,2.5,1.85,2.4,II,Kela,lacustrine-II,Kuqa(high-maturity light oil)
KL203,,2496,278.4,,1187.8,0.82,0.65,0.84,0.69,0.62,0.7,0.58,0.53,0.61,0.6,2.8,1.85,2.39,II,Kela,lacustrine-II,Kuqa(high-maturity light oil)
KL3,937.0,193,11.2,1141.0,86.3,0.73,0.4,0.79,0.63,0.54,0.66,0.53,0.47,0.59,0.61,1.8,1.72,2.33,II,Kela,lacustrine-II,Kuqa(high-maturity light oil)
