sample,system,phase,phase_rank,MAI,EAI,DMAI1,DMAI2,TMAI1,TMAI2,MDI,DMDI1,DMDI2,MEDI,depth_m,density,GOR,SatAro
F1,Tarim STGL(ultra-deep),black oil,0,0.65,0.43,0.48,0.4,0.22,0.37,0.4,0.32,0.35,0.5,7295,0.81,160.84,6.88
F2,Tarim STGL(ultra-deep),black oil,0,0.59,0.39,0.4,0.4,0.22,0.36,0.46,0.41,0.4,0.66,7126,0.84,110.76,4.53
F3,Tarim STGL(ultra-deep),black oil,0,0.59,0.41,0.43,0.38,0.22,0.35,0.46,0.37,0.35,0.58,7446,0.81,194.16,7.26
F4,Tarim STGL(ultra-deep),black oil,0,0.6,0.43,0.47,0.38,0.22,0.35,0.45,0.36,0.35,0.66,7492,0.8,268.21,10.13
H1,Tarim STGL(ultra-deep),black oil,0,0.64,0.4,0.5,0.42,0.24,0.37,0.47,0.36,0.31,0.59,7256,0.82,156.08,7.34
H2,Tarim STGL(ultra-deep),black oil,0,0.66,0.39,0.5,0.43,0.28,0.4,0.43,0.35,0.3,0.53,7066,0.82,162.13,6.79
H3,Tarim STGL(ultra-deep),black oil,0,0.65,0.4,0.49,0.43,0.27,0.39,0.48,0.37,0.36,0.58,7219,,2.41,
M1,Tarim STGL(ultra-deep),volatile oil,1,0.7,0.53,0.58,0.49,0.24,0.39,0.5,0.32,0.37,0.81,7573,0.79,604.84,17.69
M2,Tarim STGL(ultra-deep),volatile oil,1,0.66,0.49,0.57,0.43,0.25,0.39,0.44,0.33,0.37,0.71,7485,0.79,607.02,17.56
M3,Tarim STGL(ultra-deep),volatile oil,1,0.65,0.46,0.55,0.42,0.25,0.41,0.46,0.38,0.39,0.74,7370,0.79,398.69,18.65
M4,Tarim STGL(ultra-deep),volatile oil,1,0.66,0.46,0.54,0.41,0.25,0.4,0.45,0.37,0.38,0.73,7459,0.8,358.05,16.15
S1,Tarim STGL(ultra-deep),condensate,2,0.68,0.55,0.59,0.45,0.25,0.42,0.45,0.34,0.34,0.83,7394,0.76,1866.0,20.61
S2,Tarim STGL(ultra-deep),condensate,2,0.7,0.53,0.6,0.46,0.26,0.41,0.44,0.34,0.39,0.79,7493,0.79,795.0,15.72
S3,Tarim STGL(ultra-deep),condensate,2,0.68,0.55,0.59,0.44,0.25,0.42,0.47,0.35,0.39,0.86,7532,0.74,2256.0,29.75
S4,Tarim STGL(ultra-deep),condensate,2,0.68,0.56,0.57,0.42,0.25,0.41,0.47,0.36,0.39,0.86,8590,0.78,2074.0,34.35
S5,Tarim STGL(ultra-deep),condensate,2,0.71,0.54,0.6,0.44,0.25,0.41,0.45,0.34,0.39,0.81,7729,0.79,1060.0,24.7
S6,Tarim STGL(ultra-deep),condensate,2,0.67,0.61,0.55,0.41,0.22,0.38,0.48,0.36,0.4,0.9,7531,0.76,2888.0,29.52
S7,Tarim STGL(ultra-deep),condensate,2,0.69,0.54,0.59,0.44,0.24,0.41,0.46,0.35,0.4,0.83,7566,0.79,1040.0,29.38
S8,Tarim STGL(ultra-deep),condensate,2,0.69,0.54,0.58,0.43,0.24,0.4,0.46,0.33,0.38,0.82,7597,0.79,1263.0,26.93
S9,Tarim STGL(ultra-deep),condensate,2,0.69,0.56,0.56,0.42,0.23,0.39,0.45,0.33,0.39,0.83,7571,0.78,1350.0,21.64
S10,Tarim STGL(ultra-deep),condensate,2,0.67,0.51,0.55,0.41,0.22,0.37,0.46,0.33,0.4,0.85,7668,0.79,1443.0,26.25
