well,group,Ro_pct,tot_diamondoid,adamantane,diamantane,MA1,MA2,MD1,MD3,MD4
GY10H,QJGL_shale,1.45,423.99,399.93,24.07,45.87,31.91,1.37,1.36,3.07
GY12,QJGL_shale,1.34,369.27,337.73,31.54,32.00,22.66,3.01,2.74,3.11
GY13H,QJGL_shale,1.23,203.71,175.02,28.69,17.39,11.75,4.58,4.53,1.88
GY1-JQ-1,QJGL_shale,1.65,1059.26,1005.78,53.48,97.37,55.12,1.50,1.16,6.16
GY1-JQ-1414,QJGL_shale,1.60,602.01,568.26,33.75,55.59,33.13,3.15,4.85,2.47
GY1-JQ-1634,QJGL_shale,1.52,528.41,488.70,39.71,52.13,38.62,3.66,5.64,2.71
GY1-JQ-2,QJGL_shale,1.64,890.79,844.21,46.57,79.08,43.77,1.16,1.19,5.19
GY1-JQ-20201,QJGL_shale,1.52,322.57,302.94,19.64,32.78,21.04,2.32,2.28,1.33
GY1-JQ-20202,QJGL_shale,1.60,513.52,482.13,31.39,45.55,27.24,3.78,3.76,2.33
GY1-JQ-2083,QJGL_shale,1.60,674.99,633.73,41.26,62.01,38.12,4.01,6.27,3.06
GY1-JQ-291,QJGL_shale,1.60,695.35,652.14,43.21,64.73,40.18,3.90,6.11,3.25
GY1-JQ-3,QJGL_shale,1.61,704.99,669.25,35.74,65.81,36.16,1.13,1.14,3.89
GY1-JQ-492,QJGL_shale,1.60,629.75,593.60,36.15,58.01,35.22,3.45,4.68,2.70
GY1-JQ-MB,QJGL_shale,1.60,379.33,352.29,27.03,37.87,27.03,2.56,2.54,2.82
GY21,QJGL_shale,1.50,476.30,439.99,36.31,45.15,27.42,2.76,2.65,4.09
GY2H-2473,QJGL_shale,1.41,682.57,642.83,39.74,64.63,38.98,3.24,5.40,2.88
GY2H-2500,QJGL_shale,1.41,650.30,611.38,38.92,59.47,35.70,3.54,5.69,2.73
GY2H-2570,QJGL_shale,1.41,580.41,547.59,32.82,54.28,33.18,3.00,4.14,2.32
GY2H-2761,QJGL_shale,1.41,646.51,609.79,36.71,59.52,36.08,3.52,5.02,2.62
GY38,QJGL_shale,1.57,765.01,721.35,43.65,68.40,41.14,1.66,1.34,5.25
GY3H,QJGL_shale,1.43,443.79,412.79,31.01,41.37,26.97,2.26,2.45,2.95
GY40,QJGL_shale,1.58,699.41,655.38,44.04,61.69,37.42,1.50,1.54,5.02
GY42,QJGL_shale,1.43,509.90,475.07,34.83,45.47,26.79,2.23,2.36,3.03
GY7,QJGL_shale,1.40,280.52,246.84,33.69,23.44,16.44,3.89,4.25,2.62
GY8H-1,QJGL_shale,1.39,344.96,320.49,24.48,33.31,22.81,2.08,2.04,2.74
GY8H-42,QJGL_shale,1.39,362.38,338.52,23.85,35.12,23.03,2.02,2.13,3.07
GY9H-832,QJGL_shale,1.36,375.21,349.70,25.51,37.19,26.94,2.26,2.37,3.42
GY9H-CG,QJGL_shale,1.36,368.58,343.46,25.11,36.72,26.43,2.05,2.02,2.74
GY9H-MB,QJGL_shale,1.36,355.33,334.36,20.97,34.57,26.43,1.81,1.86,2.42
SYY1-1,QJGL_shale,1.31,79.47,79.47,,6.99,6.34,,,
SYY1-1948,QJGL_shale,1.31,118.69,118.69,,12.12,9.24,,,
SYY1-2,QJGL_shale,1.31,124.66,124.66,,13.96,10.22,,,
SYY1-3,QJGL_shale,1.31,100.12,81.83,18.29,8.28,6.00,2.83,2.10,1.48
Y47,QJGL_shale,1.35,255.23,225.20,30.03,23.81,15.93,1.48,3.09,2.30
YY1H,QJGL_shale,1.45,306.23,265.82,40.41,25.31,19.02,4.21,4.58,2.05
GY19-1994,Longhupao_shale,1.32,279.26,246.59,32.67,22.70,15.62,3.95,4.34,2.58
GY19-2557,Longhupao_shale,1.32,256.25,224.19,32.06,21.02,12.12,4.30,4.51,2.52
SYY2-1931,Longhupao_shale,1.10,108.37,108.37,,10.87,7.92,,,
SYY2-3,Longhupao_shale,1.17,80.64,80.64,,10.57,7.70,,,
YX58,Longhupao_shale,1.16,63.93,46.98,16.95,5.39,3.23,3.01,3.06,1.86
CH21,Sanzhao_shale,0.83,45.61,45.61,,7.72,1.90,,,
SYY3,Sanzhao_shale,0.94,62.91,62.91,,10.25,4.43,,,
BEI2,Daqing_conventional,0.90,70.47,53.65,16.82,8.40,4.01,3.06,3.52,1.44
G156,Daqing_conventional,0.90,78.82,62.06,16.76,8.20,3.84,1.46,3.28,2.20
PU44,Daqing_conventional,1.00,94.82,76.07,18.74,10.65,4.75,1.42,3.46,1.20
PU515,Daqing_conventional,0.90,53.94,36.35,17.59,5.02,2.15,2.06,4.56,1.01
TAI63,Daqing_conventional,1.00,107.17,86.15,21.02,10.40,7.20,1.80,3.66,1.97
AO34,QJGL_tight,1.26,100.32,100.32,,12.27,9.05,,,
HT1H,QJGL_tight,1.45,270.73,250.84,19.89,28.70,14.63,1.88,0.97,3.30
