# Source: He, D., et al. (2026). Multiphase Extraction and Molecular Characterization of Residual Hydrocarbons in Cretaceous Qingshankou Shale, ACS Omega 2026, 11(6), 10280-10293. DOI: 10.1021/acsomega.5c11314
# URL: https://pubs.acs.org/doi/10.1021/acsomega.5c11314 (open access)
# Rows faithfully transcribed from the article HTML tables; merged cells expanded.
# === Table 1. Extract Content Obtained by Different Extraction Methods of Shale ===
Table 1,,,,,extracted hydrocarbons (%),,,
Table 1,well,layer,depth(m),TOC (%),by n-hexane,by dichloromethane,by Soxhlet,extracted hydrocarbons by n-hexane and dichloromethane/all extracted hydrocarbons
Table 1,JY-1,Q1,2438.71,3.08,0.235,0.306,0.174,0.76
Table 1,JY-1,Q1,2449.94,2.49,0.044,0.035,0.021,0.79
Table 1,JY-1,Q1,2452.81,2.73,0.112,0.139,0.039,0.87
Table 1,JY-1,Q1,2470.59,2.60,0.254,0.043,0.417,0.42
Table 1,JY-1,Q1,2476.29,2.18,0.117,0.100,0.182,0.54
Table 1,JY-1,Q1,2481.09,1.82,0.025,0.014,0.015,0.72
Table 1,JY-1,Q1,2484.79,2.11,0.022,0.014,0.017,0.68
Table 1,JY-1,Q1,2487.34,0.77,0.056,0.116,0.052,0.77
Table 1,JY-1,Q1,2493.05,0.48,0.130,0.186,0.151,0.68
Table 1,JY-1,Q1,2502.15,0.59,0.032,0.031,0.024,0.72
Table 1,JY-1,Q1,2509.81,0.54,0.099,0.041,0.033,0.81
Table 1,JY-1,Q1,2515.31,0.61,0.240,0.268,0.090,0.85
# === Table 2. Comparison Parameter Table of Residual Hydrocarbon between Oil-Bearing Sandstone and Shale Rock in Well JY-1 ===
Table 2,layer,depth/m,lithology,C19-21TT/C23-25TT,C24TeT/C26TT,C15-sesquiterpane/8β(H)-drimane,C30-DiaH/C30H,C27-Diasteranes/C27-sterane
Table 2,K2qn2,2414.98,oily gray-black mudstone,0.69,0.49,0.82,1.98,0.60
Table 2,K2qn2,2417.31,oily gray-black mudstone,0.77,0.66,0.72,2.44,0.60
Table 2,K2qn2,2422.71,oily gray-black mudstone,0.75,0.58,0.54,2.61,0.66
Table 2,K2qn2,2424.36,oily gray-black mudstone,0.74,0.63,0.80,2.52,0.61
Table 2,K2qn2,2428.97,oily gray-black mudstone,0.69,0.60,0.80,3.18,0.65
Table 2,K2qn2,2434.19,oily gray-black mudstone,0.57,0.54,0.71,3.30,0.77
Table 2,K2qn2,2436.82,oily gray-black mudstone,0.42,0.67,0.89,2.44,0.72
Table 2,K2qn2,2437.28,oily gray-black mudstone,0.51,0.44,0.94,3.56,0.57
Table 2,K2qn2,2441.3,oily gray-black mudstone,0.57,0.45,0.94,3.77,0.61
Table 2,K2qn2,2444.77,oily gray-black mudstone,0.55,0.46,0.94,4.17,0.76
Table 2,K2qn2,2450.46,oily gray-black mudstone,0.62,0.50,0.98,3.56,0.69
Table 2,K2qn2,2451.02,oily gray-black mudstone,0.53,0.44,1.03,3.95,0.67
Table 2,K2qn2,2451.18,oily gray-black mudstone,0.58,0.42,0.99,4.43,0.82
Table 2,K2qn2,2452.07,oily gray-black mudstone,0.60,0.51,0.99,3.40,0.73
Table 2,K2qn2,2452.32,oily gray-black mudstone,1.92,1.15,0.93,0.91,0.47
Table 2,K2qn2,2452.57,oily gray-black mudstone,0.55,0.38,0.94,4.91,0.76
Table 2,K2qn2,2454.22,oily gray-black mudstone,0.50,0.62,0.98,2.59,0.65
Table 2,K2qn2,2456.65,oily gray-black mudstone,0.69,0.46,0.99,4.47,0.73
Table 2,K2qn1,2472.57,grayish black mudstone,0.69,0.33,1.55,6.84,0.83
Table 2,K2qn1,2477.82,grayish black mudstone,0.79,0.29,1.72,4.63,0.84
Table 2,K2qn1,2489.92,grayish black mudstone,0.77,0.26,1.40,8.19,0.97
Table 2,K2qn1,2494.24,grayish black mudstone,0.73,0.24,1.73,12.13,0.86
Table 2,K2qn1,2511.31,grayish black mudstone,0.63,0.29,1.31,2.52,1.00
Table 2,K2qn1,2515.72,grayish black mudstone,0.85,0.46,2.07,1.09,0.64
Table 2,K2qn1,2516.66,grayish black mudstone,0.60,0.20,2.61,5.17,1.63
Table 2,K2qn1,2518.22,grayish black mudstone,0.79,0.20,2.01,11.05,1.18
Table 2,K2qn1,2518.74,grayish black mudstone,0.71,0.18,1.93,14.34,1.41
Table 2,K2qn1,2521.12,grayish black mudstone,0.96,0.35,2.68,5.98,1.38
Table 2,K2qn1,2481.62,gray porphyritic siltstone,0.70,0.26,1.42,5.19,0.76
Table 2,K2qn1,2482.89,gray porphyritic siltstone,0.60,0.29,1.07,2.01,0.73
Table 2,K2qn1,2483.39,gray porphyritic siltstone,0.75,0.26,1.26,4.13,0.84
Table 2,K2qn1,2502.09,oil-bearing calcareous sandstone,0.71,0.24,1.37,8.84,0.90
Table 2,K2qn1,2508.89,oil-bearing sand,0.67,0.45,1.33,1.03,0.88
Table 2,K2qn1,2509.97,oil-bearing sand,0.69,0.21,1.41,6.44,0.94
Table 2,K2qn1,2510.32,oil-bearing sand,0.70,0.21,1.32,6.87,0.93
