sample,LTNA_D1,LTNA_D2,MICP_Df1_highP,MICP_Df2_lowP,NMR_Dmin,NMR_Dmax
#1,2.4596,2.5325,2.6873,2.995,2.2051,2.9899
#2,2.4262,2.4626,2.6785,2.9946,2.3036,2.9871
#3,1.9517,2.5644,2.5809,2.995,2.3393,2.9164
#4,2.6084,2.7999,2.6402,2.9951,2.1144,2.9003
#5,2.254,2.5261,2.6555,2.9943,2.0894,2.8629
#6,2.4358,2.5419,2.6149,2.9952,2.1335,2.9786
#7,2.4609,2.4595,2.6191,2.995,2.1236,2.9794
#8,2.4575,2.4481,2.6832,2.9947,2.1075,2.9734
#9,2.4452,2.435,2.7351,2.9948,1.5363,2.9957
#10,2.4057,2.5299,2.5763,2.9947,2.0371,2.959
#11,2.374,2.4483,2.6285,2.9942,0.9555,2.9903
#12,2.3275,2.4391,2.7366,2.9945,1.305,2.9967
#13,2.256,2.48,2.7291,2.9952,2.112,2.8651
#14,2.4458,2.4027,2.7575,2.9955,2.0268,2.8955
#15,2.2964,2.5418,2.6846,2.9952,1.3421,2.0893
#16,2.4473,2.5419,2.5789,2.9948,2.0268,2.7312
#17,2.452,2.524,2.7353,2.995,2.3109,2.8919
#18,2.3904,2.4958,2.7541,2.9951,2.2006,2.9882
#19,2.3507,2.3816,2.548,2.9951,1.0282,2.9684
#20,2.3664,2.4722,2.6525,2.9952,2.2352,2.9853
