No,SampleID,Depth_m,Well,Lithology,Layer,A,B,C,D,E,F,G,H,I,J,C27,C28,C29,K
1,A0015,1664.54,,含油砂岩,长7₁₋₂,0.58,0.58,0.05,0.26,1.29,0.60,0.47,0.11,0.02,0.03,0.27,0.30,0.43,1.05
2,A0016,1664.72,,黑色泥岩,长7₁₋₂,0.51,0.62,0.08,0.29,1.25,0.58,0.49,0.10,0.03,0.05,0.29,0.32,0.39,0.99
3,A0017,1664.82,,含油砂岩,长7₁₋₂,0.47,0.82,0.05,0.26,1.28,0.59,0.49,0.11,0.05,0.07,0.29,0.30,0.41,0.92
4,A0041,1745.37,,深灰色泥岩,长7₃,0.54,0.71,0.03,0.25,1.28,0.59,0.45,0.09,0.03,0.03,0.28,0.27,0.45,0.84
5,A0057,1753.49,,黑色炭质泥岩,长7₃,0.40,7.50,0.05,0.20,2.01,0.62,0.22,0.16,0.09,0.11,0.33,0.41,0.26,0.79
6,A0063,1756.11,,黑色炭质泥岩,长7₃,0.52,1.40,0.02,0.14,1.71,0.98,0.46,0.10,0.09,0.13,0.31,0.29,0.41,0.73
7,A0068,1758.48,,黑色炭质泥岩,长7₃,0.54,1.45,0.04,0.23,1.51,0.60,0.10,0.17,0.08,0.08,0.35,0.31,0.34,0.68
8,A0077,1761.45,,黑色炭质泥岩,长7₃,0.54,1.10,0.03,0.12,2.83,0.60,0.40,0.21,0.06,0.06,0.41,0.20,0.39,0.90
9,A0086,1765.04,,黑色炭质泥岩,长7₃,0.52,0.97,0.04,0.65,0.49,0.57,0.56,0.10,0.02,0.12,0.23,0.25,0.52,0.60
10,A0092,1767.71,,黑色炭质泥岩,长7₃,0.53,1.01,0.04,0.58,0.64,0.54,0.47,0.13,0.02,0.12,0.23,0.27,0.51,0.50
11,A0101,1770.97,,黑色炭质泥岩,长7₃,0.53,1.17,0.05,0.56,0.61,0.54,0.52,0.12,0.02,0.14,0.23,0.26,0.51,0.47
12,A0108,1774.54,,黑色炭质泥岩,长7₃,0.59,1.38,0.03,0.43,0.91,0.58,0.58,0.13,0.01,0.05,0.21,0.26,0.53,0.55
13,A0110,1776.34,,黑色炭质泥岩,长7₃,0.60,1.30,0.03,0.45,0.87,0.55,0.52,0.15,0.01,0.06,0.22,0.27,0.51,0.51
14,A0112,1778.44,,黑色炭质泥岩,长7₃,0.61,1.47,0.04,0.43,0.90,0.56,0.61,0.15,0.01,0.05,0.22,0.26,0.52,0.56
15,A0121,1785.20,,黑色炭质泥岩,长7₃,0.58,1.43,0.03,0.48,0.82,0.56,0.59,0.12,0.01,0.07,0.20,0.26,0.54,0.49
16,A0001,,Zh161H711,原油,长7₁₋₂,0.56,0.90,0.05,0.23,1.56,0.59,0.44,0.13,0.05,0.07,0.29,0.27,0.45,0.83
17,A0002,,Zh161H712,原油,长7₁₋₂,0.58,0.72,0.06,0.28,1.33,0.60,0.46,0.11,0.04,0.06,0.27,0.27,0.47,0.77
18,A0003,,Zh161H713,原油,长7₁₋₂,0.59,1.12,0.07,0.22,1.36,0.59,0.49,0.16,0.07,0.08,0.27,0.28,0.45,0.85
19,A0004,,Zh161H719,原油,长7₁₋₂,0.61,0.69,0.05,0.26,1.25,0.60,0.51,0.11,0.04,0.05,0.27,0.28,0.45,0.75
