sample,well,formation,depth_m,density,wax_pct,viscosity_mPas,GOR,resin,asphalt,SatAro
F1,FY103-H3,O,7295,0.81,10.90,2.71,160.84,2.72,2.27,6.88
F2,FY201-H6,O,7126,0.84,14.70,3.12,110.76,1.39,0.93,4.53
F3,FY210H,O,7446,0.81,11.20,1.79,194.16,1.41,1.98,7.26
F4,FY216H,O2y,7492,0.80,11.10,1.57,268.21,1.63,0.96,10.13
H1,HD32-H9,O2y,7256,0.82,10.80,2.08,156.08,1.41,0.92,7.34
H2,HD302H,O2y,7066,0.82,11.40,2.25,162.13,1.64,0.22,6.79
H3,HD32-H1,O2y,7219,,,197.03,2.41,0.60,7.03
M1,ManS4,O2y,7573,0.79,10.50,1.26,604.84,0.80,0.00,17.69
M2,ManS3-H5,O2y,7485,0.79,14.80,1.25,607.02,0.76,0.00,17.56
M3,ManS502H,O2y,7370,0.79,10.40,1.22,398.69,0.44,0.00,18.65
M4,ManS5-H9,O2y,7459,0.80,10.60,1.56,358.05,0.85,0.00,16.15
S1,SHB4-1H,O2yj,7394,0.76,4.00,,1866.00,1.13,0.00,20.61
S2,SHB44X,O2yj,7493,0.79,3.60,2.04,795.00,0.67,0.00,15.72
S3,SHB4-8H,O2yj,7532,0.74,1.60,,2256.00,0.99,0.00,29.75
S4,SHB46X,O1-2y,8590,0.78,,,2074.00,2.49,0.00,34.35
S5,SHB4-5H,O1-2y,7729,0.79,,,1060.00,0.41,0.00,24.70
S6,SHB41X,O2yj,7531,0.76,1.74,1.90,2888.00,0.40,0.00,29.52
S7,SHB43X,O2yj,7566,0.79,2.70,,1040.00,0.82,0.00,29.38
S8,SHB4-9H,O2yj,7597,0.79,3.50,,1263.00,0.81,0.00,26.93
S9,SHB4-6H,O1-2y,7571,0.78,,,1350.00,1.66,0.00,21.64
S10,SHB45X,O2yj,7668,0.79,2.10,,1443.00,1.85,0.00,26.25
