sample,region,phase,MAI,EAI,DMAI1,DMAI2,TMAI1,TMAI2,MDI,DMDI1,DMDI2,MEDI
F1,FY,black oil,0.65,0.43,0.48,0.40,0.22,0.37,0.40,0.32,0.35,0.50
F2,FY,black oil,0.59,0.39,0.40,0.40,0.22,0.36,0.46,0.41,0.40,0.66
F3,FY,black oil,0.59,0.41,0.43,0.38,0.22,0.35,0.46,0.37,0.35,0.58
F4,FY,black oil,0.60,0.43,0.47,0.38,0.22,0.35,0.45,0.36,0.35,0.66
H1,HD,black oil,0.64,0.40,0.50,0.42,0.24,0.37,0.47,0.36,0.31,0.59
H2,HD,black oil,0.66,0.39,0.50,0.43,0.28,0.40,0.43,0.35,0.30,0.53
H3,HD,black oil,0.65,0.40,0.49,0.43,0.27,0.39,0.48,0.37,0.36,0.58
M1,MS,volatile oil,0.70,0.53,0.58,0.49,0.24,0.39,0.50,0.32,0.37,0.81
M2,MS,volatile oil,0.66,0.49,0.57,0.43,0.25,0.39,0.44,0.33,0.37,0.71
M3,MS,volatile oil,0.65,0.46,0.55,0.42,0.25,0.41,0.46,0.38,0.39,0.74
M4,MS,volatile oil,0.66,0.46,0.54,0.41,0.25,0.40,0.45,0.37,0.38,0.73
S1,SB4,condensate,0.68,0.55,0.59,0.45,0.25,0.42,0.45,0.34,0.34,0.83
S2,SB4,condensate,0.70,0.53,0.60,0.46,0.26,0.41,0.44,0.34,0.39,0.79
S3,SB4,condensate,0.68,0.55,0.59,0.44,0.25,0.42,0.47,0.35,0.39,0.86
S4,SB4,condensate,0.68,0.56,0.57,0.42,0.25,0.41,0.47,0.36,0.39,0.86
S5,SB4,condensate,0.71,0.54,0.60,0.44,0.25,0.41,0.45,0.34,0.39,0.81
S6,SB4,condensate,0.67,0.61,0.55,0.41,0.22,0.38,0.48,0.36,0.40,0.90
S7,SB4,condensate,0.69,0.54,0.59,0.44,0.24,0.41,0.46,0.35,0.40,0.83
S8,SB4,condensate,0.69,0.54,0.58,0.43,0.24,0.40,0.46,0.33,0.38,0.82
S9,SB4,condensate,0.69,0.56,0.56,0.42,0.23,0.39,0.45,0.33,0.39,0.83
S10,SB4,condensate,0.67,0.51,0.55,0.41,0.22,0.37,0.46,0.33,0.40,0.85
