# 长7段页岩岩石热解数据，转录自 Fan et al. 2023, Processes 11(11):3090 (MDPI, OA)
# DOI: 10.3390/pr11113090，"Occurrence Characteristics of Chang 7 Shale Oil from the Longdong
# Area in the Ordos Basin"，陇东地区长7段，多井（Z251/B522/L211/W336/L82），原表 1
# OSI = S1/TOC*100；HI = S2/TOC*100；PI = S1/(S1+S2)；PC = (S1+S2)*0.083*100
Sample_ID,Well,Depth_m,TOC_wt,S1_mgg,S2_mgg,S3_mgg,OSI,PI,PC_pct,HI,Tmax_C,Ro_pct
N3,Z251,1676.74,16.9,2.99,75.66,2.9,17.69,0.04,6.53,447.69,428,0.89
N8,B522,1953.47,19.8,3.57,32.00,4.17,18.03,0.10,2.95,161.62,450,1.12
N9,B522,1949.77,12.1,2.08,15.47,4.45,17.19,0.12,1.46,127.85,440,1.07
N15,L211,2356.35,7.4,1.19,15.81,7.60,15.99,0.07,1.41,212.50,447,NaN
N18,L211,2373.77,8.2,1.60,20.22,4.08,18.89,0.07,1.81,238.72,448,1.22
N31,W336,1977.00,4.3,1.55,13.54,2.32,36.05,0.10,1.25,314.88,445,1.12
N33,W336,2020.29,11.9,2.05,47.66,2.47,17.23,0.04,4.13,400.50,442,NaN
N37,W336,2061.69,1.9,1.26,6.54,2.40,68.11,0.16,0.65,353.51,445,1.09
N39,W336,2051.27,2.6,1.16,6.64,2.68,45.49,0.15,0.65,260.39,451,1.06
N44,L82,2181.60,2.21,0.95,2.85,1.64,42.99,0.25,0.32,128.96,457,1.11
