# 长7段页岩岩石热解数据，转录自 Zhou et al. 2024, ACS Omega 9: 16519-16535
# DOI: 10.1021/acsomega.4c00259 (PMC11007836)，鄂尔多斯盆地中央区长7段黑色页岩
# TOC 列来自原表 2（TOC/TS/干酪根显微组分），按样品号与深度与表 3（Rock-Eval + 氯仿沥青 A）一一配对
# S1: 游离烃 mg/g；S2: 热解烃 mg/g；Tmax ℃；氯仿沥青 A: wt%
Sample_ID,Depth_m,TOC_wt,S1_mgg,S2_mgg,Tmax_C,ChloroformA_pct
S1,2035.42,10.27,3.74,29.54,451,0.5553
S2,1910.23,7.15,1.41,27.99,440,0.3676
S3,2044.06,7.44,1.89,7.97,460,0.3970
S4,2048.12,9.59,1.61,6.22,454,0.1708
S5,2058.31,11.31,3.2,24.38,446,0.6593
S6,2060.26,8.29,2.41,21.41,443,0.4697
S7,2071.82,19.75,3.87,57.28,456,0.7275
S8,2079.38,10.72,2.87,23.74,455,0.5635
S9,2080.26,7.36,1.32,7.61,461,0.4345
S10,1984.13,4.71,1.66,21.43,442,0.4950
S11,1967.29,5.43,2.71,30.33,442,0.5862
S12,1969.52,5.21,1.81,21.25,440,0.5611
S13,2005.16,10.82,2.47,32.90,449,0.4323
S14,2006.08,9.47,2.11,23.29,445,0.4490
S15,2007.22,7.46,2.07,16.62,449,0.4373
S16,2034.48,17.07,4.87,55.66,452,0.5987
S17,2041.22,12.01,2.15,13.71,453,0.5353
S18,1986.15,6.74,2.78,20.69,444,0.6331
S19,1972.39,6.58,2.19,29.26,441,0.3254
S20,2507.37,3.21,1.28,9.02,451,0.0621
S21,1965.66,3.26,0.12,0.53,460,0.1830
S22,2067.61,13.59,3.03,36.42,450,0.6963
S23,1977.48,5.82,2.05,24.8,443,0.4914
S24,1980.96,7.8,3.11,42.18,445,0.6992
S25,1981.22,4.16,2.25,29.04,444,0.2934
S26,2511.34,2.66,1.29,10.32,449,0.1832
S27,1975.82,5.07,1.86,25.33,443,0.3732
S28,2031.06,3.08,0.87,6.69,455,0.1922
S29,2038.04,2.57,0.44,4.61,449,0.2100
S30,2054.36,1.14,0.53,1.49,463,0.2164
S31,1903.22,3.37,0.65,11.28,441,0.0839
S32,1968.72,2.05,2.02,6.55,454,0.0262
S33,1971.89,0.84,0.2,1.07,456,0.1443
S34,1976.72,1.48,0.67,2.03,458,0.0478
S35,1981.49,1.15,0.65,1.78,457,0.0998
S36,1989.38,0.61,0.09,0.61,457,0.0384
S37,1997.39,0.64,0.09,0.54,460,0.0380
S38,2001.09,0.77,0.1,0.86,457,0.0546
