Sample_ID,Depth_m,TOC_wt,S1_mgg,S2_mgg,Tmax_C,Well,Lithology
W1-2-4747,2720.56,6.92,4.29,44.08,431.0,W1,Mudstone
W1-3- 34-35 49,nan,4.760000000000001,11.58,22.96,426.0,W1,Siltstone
W1-3-849,2721.695,1.27,4.71,7.99,431.0,W1,Mudstone
W1-3-3049,2724.575,4.43,11.52,23.23,427.0,W1,Siltstone
W1-3-3549,2725.735,5.029999999999999,11.79,24.51,426.0,W1,Siltstone
W1-4-1621,2854.32,3.9899999999999998,1.36,18.04,436.0,W1,Mudstone
W3-1-1070,3564.09,0.7000000000000001,0.79,1.59,438.0,W3,Siltstone
W3-1-2870,3566.0299999999997,8.52,1.5,38.08,440.0,W3,Mudstone
W3-1-3170,3567.065,2.79,7.92,13.01,424.0,W3,Siltstone
W3-1-4470,3568.08,3.1399999999999997,6.54,12.61,423.0,W3,Siltstone
W3-2-1456,3574.875,1.76,1.73,6.1,430.0,W3,Mudstone
W3-3-365,3724.37,9.2,0.91,68.24,445.0,W3,Limestone
W3-3-865,3725.375,2.85,6.99,15.7,428.0,W3,Siltstone
W3-3-2865,3728.26,3.27,1.69,9.49,430.0,W3,Mudstone
W3-3-3365,3728.965,3.35,5.36,11.87,413.0,W3,Siltstone
W3-3-5565,3732.26,3.0300000000000002,9.25,18.1,422.0,W3,Siltstone
W2-4-2056,2853.88,12.2,1.09,98.54,442.0,W2,Mudstone
W2-4-2456,2854.415,9.370000000000001,1.3,69.98,441.0,W2,Limestone
W2-5-3656,2865.95,5.835,0.83,43.19,440.0,W2,Mudstone
W4-1-3838,3605.485,0.5,0.24,1.73,440.0,W4,Mudstone
W4-3-740,3615.89,1.4500000000000002,0.73,1.79,434.0,W4,Siltstone
W4-4-3782,3630.585,1.58,3.49,9.66,432.0,W4,Mudstone
W4-4-4782,3632.0299999999997,1.815,0.27,6.85,440.0,W4,Mudstone
W4-5-845,3728.965,1.4200000000000002,0.71,5.09,429.0,W4,Mudstone
W4-5-3174,3734.165,1.82,1.2,7.06,435.0,W4,Mudstone
W4-5-5174,3738.87,3.74,5.1,15.58,428.0,W4,Mudstone
W4-5-6974,3742.02,7.049999999999999,1.45,44.9,437.0,W4,Mudstone
W4-6-44113,3752.025,1.1400000000000001,1.86,4.49,421.0,W4,Siltstone
W4-6-81113,3755.51,4.63,5.65,15.55,428.0,W4,Siltstone
W4-7-382,3760.4049999999997,4.43,10.63,30.08,428.0,W4,Siltstone
W4-7-2382,3763.27,4.08,1.79,29.46,435.0,W4,Siltstone
W4-7-3982,3767.55,2.9499999999999997,7.26,17.8,425.0,W4,Siltstone
W4-7-6282,3771.885,4.07,1.18,26.01,440.0,W4,Mudstone
W4-7-6782,3773.935,3.36,1.41,13.65,434.0,W4,Siltstone
W4-8-2171,3779.5249999999996,3.04,0.5,17.29,435.0,W4,Mudstone
W4-8-3371,3782.175,2.37,3.92,10.04,425.0,W4,Siltstone
W4-8-5371,3786.565,2.88,3.41,10.63,429.0,W4,Siltstone
W4-8-5871,3787.165,6.77,0.61,40.61,445.0,W4,Mudstone
W5-1#,3397.96,5.177556818181819,2.01,36.45,444.0,W5,Shale
W5-2#,3399.51,7.581267217630854,5.9,55.04,437.0,W5,Shale
W5-3#,3400.34,4.624087591240876,3.18,25.34,440.0,W5,Tuff
W5-4#,3402.4,2.7903614457831325,1.05,11.58,445.0,W5,Shale
W5-5#,3429.57,0.8884758364312267,0.67,2.39,445.0,W5,Shale
W5-6#,3430.37,4.748370273794003,1.65,36.42,445.0,W5,Shale
W5-7#,3430.57,2.7681728880157173,2.03,14.09,444.0,W5,Shale
W5-8#,3431.07,1.4715447154471544,0.46,1.81,444.0,W5,Shale
W5-11#,3434.77,0.6709677419354839,0.14,1.04,447.0,W5,Tuff
W5-12#,3435.87,0.9821428571428571,0.2,1.65,448.0,W5,Shale
W5-13#,3437.17,0.789598108747045,0.45,3.34,446.0,W5,Limestone
W5-14#,3437.37,10.397563676633444,1.12,93.89,446.0,W5,Shale
W5-15#,3530.88,5.56,0.04,2.78,415.0,W5,Tuff
W5-16#,3530.88,3.788519637462236,3.71,25.08,444.0,W5,Tuff
W5-17#,3532.28,1.0295081967213116,2.79,3.14,425.0,W5,Dolomite
W5-18#,3532.48,1.2101806239737274,3.26,7.37,429.0,W5,Tuff
W5-19#,3532.68,0.9593810444874274,3.32,4.96,430.0,W5,Tuff
W5-20#,3533.68,2.3090234857849197,4.6,18.68,439.0,W5,Shale
W5-21#,3534.92,1.3607784431137724,1.41,9.09,435.0,W5,Dolomite
W5-22#,3535.28,3.5526315789473686,5.36,22.95,435.0,W5,Shale
W5-23#,3536.18,5.371069182389937,2.3,42.7,443.0,W5,Tuff
W5-24#,3537.35,1.8218884120171674,7.63,8.49,427.0,W5,Tuff
W5-25#,3538.29,1.2505050505050506,2.89,6.19,429.0,W5,Tuff
W5-26#,3538.38,0.5789473684210527,0.26,0.22,432.0,W5,Tuff
W5-27#,3538.44,0.5,0.08,0.02,427.0,W5,Tuff
W5-28#,3540.5,1.9211087420042643,8.88,9.01,430.0,W5,Dolomite
W5-29#,3541.7,2.131782945736434,1.34,11.0,445.0,W5,Shale
W5-30#,3541.7,4.217462932454695,2.66,25.6,448.0,W5,Shale
W5-31#,3542.5,8.139141742522757,3.76,62.59,448.0,W5,Shale
