Sample_ID,Well,Depth_m,Formation,Lithology,OM_type,TOC_wt,S1S2_mgg,HI_mggTOC,Tmax_C,Ro_pct
N1,Sha11,4338.5,J1b,Mudstone,II2,1.33,1.08,73.16,448,0.82
N2,Cheng3,4484.0,J1b,Mudstone,II2,3.07,5.02,136.78,447,0.76
N3,TCG,,J2x,Mudstone,III,0.55,0.09,12.70,445,0.86
N4,Zhuang7,4066.0,J1s,Mudstone,II2,0.88,0.68,71.60,445,0.83
N5,Sha3,3462.0,J1s,Mudstone,I,2.52,12.75,500.15,444,
N6,HJG,,J1b,Mudstone,III,3.07,0.60,26.43,438,0.52
N7,Sha1,3968.1,J1s,Mudstone,II2,1.52,2.78,177.11,438,
N8,HJG,,J1s,Mudstone,II2,1.20,0.82,196.16,430,0.53
N9,HJG,,J1s,Mudstone,III,1.91,2.40,29.79,428,
N10,Dong6,5662.5,J1b,Mudstone,III,0.16,6.46,99.31,419,
TN1,Cheng1,4912.9,J1s,Carbonaceous_mudstone,II1,4.10,6.69,156.20,451,1.17
TN2,TCG,,J1b,Carbonaceous_mudstone,III,13.80,5.84,40.37,440,0.62
TN3,Cheng1,4406.8,J2x,Carbonaceous_mudstone,III,3.09,2.64,80.85,439,
TN4,Cheng1,4404.5,J2x,Carbonaceous_mudstone,II2,6.92,12.61,178.87,439,0.57
TN5,TCG,,J2x,Carbonaceous_mudstone,III,13.33,5.63,43.67,435,0.53
TN6,Cheng1,4870.1,J1s,Carbonaceous_mudstone,III,2.29,1.63,64.01,414,
M1,HJG,,J1s,Coal,II2,50.90,116.75,221.90,438,0.52
M2,HJG,,J1b,Coal,III,27.80,11.72,41.33,424,0.54
M3,TCG,,J2x,Coal,III,29.50,11.67,38.38,429,0.52
