Sample_ID,Depth_m,TOC_wt,Tmax_C,S1_mgg,S2_mgg,HI
D86-4,1971.2,1.78,448,1.96,12.76,718
D86-6,1974.2,1.79,445,1.76,9.79,547
D86-8,1976.9,0.86,445,0.91,4.64,539
D86-11,1979.6,0.98,439,0.94,4.87,499
D86-12,1982.2,0.89,441,0.96,4.24,477
D86-22,1984.3,1.15,438,1.12,3.84,334
D86-25,1985.7,2.02,449,2.14,10.49,519
D86-26,1987.6,1.51,445,1.87,6.74,446
D86-27,1989.7,2.33,450,2.42,9.64,414
D86-28,1990.8,2.03,435,2.82,9.06,446
D86-31,1993.9,2.2,452,2.85,11.71,533
D86-32,1996.3,1.66,452,1.7,8.41,508
D86-34,1999.5,2.11,452,2.11,12.48,593
D86-36,2001.8,2.38,452,2.52,11.79,496
D86-37,2003.7,2.42,454,2.06,13.55,560
D86-38,2007.0,1.55,451,1.22,6.9,445
