Sample_ID,Depth_m,TOC_wt,S1_mgg,S2_mgg,S3,S1S2,Tmax_C,HI,OI,OSI
LFD1-01,783.2,0.75,0.58,1.97,2.23,2.55,444,262.67,297.33,77.33
LFD1-02,783.7,4.45,2.42,16.36,2.06,18.78,448,367.64,46.29,54.38
LFD1-03,784.1,3.98,2.56,20.72,2.96,23.28,444,520.6,74.37,64.32
LFD1-04,784.5,3.09,4.72,12.55,2.61,17.27,433,406.15,84.47,152.75
LFD1-05,785.2,4.49,2.73,27.44,2.25,30.17,442,611.14,50.11,60.8
LFD1-06,785.6,3.02,2.11,15.24,2.2,17.35,444,504.64,72.85,69.87
LFD1-07,786.0,3.07,2.09,17.24,2.08,19.33,442,561.56,67.75,68.08
LFD1-08,786.3,4.73,2.82,30.12,2.38,32.94,444,636.79,50.32,59.62
LFD1-09,786.7,4.88,2.62,26.96,2.74,29.58,442,552.46,56.15,53.69
LFD1-10,787.1,2.99,1.84,14.54,2.76,16.38,445,486.29,92.31,61.54
LFD1-11,787.4,3.43,0.12,2.08,4.6,2.2,541,60.64,134.11,3.5
LFD1-12,787.8,4.19,6.91,16.65,2.59,23.56,443,397.37,61.81,164.92
LFD1-13,788.2,2.96,3.5,14.47,2.93,17.97,444,488.85,98.99,118.24
LFD1-14,788.5,6.04,6.04,32.85,3.25,38.89,434,543.87,53.81,100.0
LFD1-15,788.7,0.96,1.32,3.0,2.61,4.32,439,312.5,271.88,137.5
LFD1-16,788.9,3.03,2.03,11.58,3.28,13.61,445,382.18,108.25,67.0
LFD1-17,790.1,4.39,2.87,24.91,2.86,27.78,446,567.43,65.15,65.38
LFD1-18,790.3,3.55,1.88,18.55,2.8,20.43,445,522.54,78.87,52.96
LFD1-19,790.7,7.37,3.43,46.57,2.34,50.0,444,631.89,31.75,46.54
LFD1-20,790.9,4.26,2.56,20.93,2.38,23.49,446,491.31,55.87,60.09
LFD1-21,791.1,3.77,1.64,17.38,3.03,19.02,444,461.01,80.37,43.5
LFD1-22,791.5,7.34,4.17,46.73,2.52,50.9,439,636.65,34.33,56.81
LFD1-23,792.0,4.9,2.97,34.08,2.94,37.05,447,695.51,60.0,60.61
