Lithology,Well,Stratum,Sample_position,S11_free_light_mgg,S12_free_medheavy_mgg,S21_adsorb_miscible_mgg,Total_free_oil_mgg,Total_retained_oil_mgg,Pct_S12_over_retained,Pct_S21_over_retained,Pct_S11_over_retained,S22_pyrolysis_regenerated_mgg,Sag
Light grey siltstone,Cheng2,E 1 f 2,interlayer,0.07,2.46,1.02,2.53,3.55,69.30,28.73,1.97,0.50,Jinhu
Grey silty mudstone,Cheng2,E 1 f 2,interlayer,0.00,0.01,0.02,0.01,0.03,33.33,66.67,0.00,0.05,
Light grey calcareous mudstone,Cui2,E 1 f 3,interlayer,0.00,0.15,1.84,0.15,1.99,7.54,92.46,0.00,2.73,
Grey siltstone,Dai1,E 1 f 2,interlayer,0.01,1.18,7.59,1.19,8.78,13.44,86.45,0.11,7.22,
Dark grey marl,HeX4,E 1 f 4,Adjacent layer,0.00,0.12,2.03,0.12,2.15,5.58,94.42,0.00,4.32,
Grey siltstone,HeX4,E 1 f 2,interlayer,0.41,6.11,3.25,6.52,9.77,62.54,33.27,4.20,1.55,
Dark grey mudstone,HeX4,E 1 f 2,Shale,0.00,0.01,0.02,0.01,0.03,33.33,66.67,0.00,0.02,
Grayish-black mudstone,HeCan1,E 1 f 2,Shale,0.02,0.98,1.29,1.00,2.29,42.79,56.33,0.87,2.52,
Grayish-black mudstone,HeCan 1,E 1 f 2,Shale,0.06,1.33,3.07,1.39,4.46,29.82,68.83,1.35,4.96,
Grayish-black mudstone,HeCan 1,E 1 f 2,Shale,0.00,0.01,0.04,0.01,0.05,20.00,80.00,0.00,0.08,
Grey siltstone,Tang5,E 1 f 2,interlayer,0.61,8.31,5.10,8.92,14.02,59.27,36.38,4.35,3.07,
Dark grey sandy mudstone,Tian89,E 1 f 2,interlayer,0.00,0.19,0.35,0.19,0.54,35.19,64.81,0.00,0.39,
Grey sandstone,TianX79,E 1 f 4,interlayer,0.51,6.29,2.97,6.80,9.77,64.38,30.40,5.22,2.51,
Dark grey mudstone,TianX79,E 1 f 4,Shale,0.00,0.03,0.06,0.03,0.09,33.33,66.67,0.00,0.10,
Grey mudstone,DaX3,E 1 f 2,Mud shale,0.00,0.65,5.52,0.65,6.17,10.53,89.47,0.00,7.99,Gaoyou
Grey mudstone,Fang4,E 1 f 3,Adjacent layer,0.21,3.56,7.58,3.77,11.35,31.37,66.78,1.85,13.90,
Grayish-black mudstone,FuShen1,E 1 f 1,Adjacent layer,0.02,0.34,0.33,0.36,0.69,49.28,47.83,2.90,0.29,
Grayish-black mudstone,FuShen 1,E 1 f 2,Mud shale,0.07,0.92,1.10,0.99,2.09,44.02,52.63,3.35,1.96,
Grayish-black mudstone,FuShen 1,E 1 f 4,Mud shale,0.02,0.77,3.29,0.79,4.08,18.87,80.64,0.49,9.21,
Dark grey mudstone,HuaShen 1,E 1 f 3,,0.02,0.14,0.12,0.16,0.28,50.00,42.86,7.14,0.59,
Grey siltstone,Lian5,E 1 f 2,interlayer,0.00,0.02,0.01,0.02,0.03,66.67,33.33,0.00,0.01,
Dark grey marl,Lian 5,E 1 f 3,Adjacent layer,0.00,0.05,0.23,0.05,0.28,17.86,82.14,0.00,0.56,
Black mudstone,Lian 5,E 1 f 4,Mud shale,0.00,0.02,0.09,0.02,0.11,18.18,81.82,0.00,0.16,
Grayish-black mudstone,LinX3,E 1 f 2,Mud shale,0.00,0.04,0.18,0.04,0.22,18.18,81.82,0.00,0.24,
Grayish-white sandstone,Sha20,E 1 f 1,Adjacent layer,0.86,14.49,5.57,15.35,20.92,69.26,26.63,4.11,2.73,
Dark grey sandstone,Sha20,E 1 f 1,Adjacent layer,0.72,12.90,6.02,13.62,19.64,65.68,30.65,3.67,2.82,
Dark grey siltstone,Wei5,E 1 f 1,Adjacent layer,0.59,9.43,7.69,10.02,17.71,53.25,43.42,3.33,4.50,
