Sample_ID,Depth_m,TOC_wt,S1_mgg,Tmax_C,S11_free_light_mgg,S12_free_medheavy_mgg,S21_adsorb_miscible_mgg,Free_oil_mgg,Total_oil_mgg
GY1-6,3474.05,2.46,2.88,451,0.24,3.13,4.10,3.37,7.47
GY1-8,3477.10,3.41,2.65,446,0.21,3.43,5.03,3.64,8.67
GY1-9,3477.15,3.05,2.88,448,0.19,3.02,4.76,3.21,7.97
GY1-12,3584.91,2.22,0.99,450,0.04,1.16,3.79,1.20,4.99
GY1-13,3588.30,0.58,0.27,430,0.02,0.40,0.91,0.42,1.33
GY1-14,3589.30,0.53,0.34,424,0.02,0.39,0.84,0.41,1.25
GY1-15,3591.23,0.84,0.75,430,0.05,1.02,1.70,1.07,2.77
GY1-16,3591.51,0.80,1.61,440,0.08,1.93,1.64,2.01,3.65
GY1-17,3592.74,1.22,1.01,445,0.05,1.13,2.05,1.18,3.23
GY1-18,3655.20,0.96,1.46,428,0.08,1.51,1.83,1.59,3.42
GY1-19,3655.56,0.66,0.35,432,0.05,0.52,0.82,0.57,1.39
GY1-20,3656.25,0.50,0.25,434,0.02,0.41,0.49,0.43,0.92
GY1-22,3658.55,0.37,0.09,429,0.01,0.19,0.41,0.20,0.61
GY1-23,3659.47,0.53,0.16,425,0.03,0.37,0.67,0.40,1.07
GY1-24,3663.20,1.29,0.77,443,0.08,1.27,1.96,1.35,3.31
GY1-25,3666.00,0.22,0.05,423,0.01,0.09,0.19,0.10,0.29
GY1-26,3667.00,0.49,0.20,436,0.02,0.26,0.63,0.28,0.91
GY1-28,3668.00,0.53,0.45,432,0.03,0.57,0.67,0.60,1.27
GY1-29,3668.50,0.97,0.99,434,0.05,1.15,1.45,1.20,2.65
GY1-31,3674.90,1.75,0.78,447,0.06,1.14,2.67,1.20,3.87
GY1-32,3676.81,1.53,1.09,444,0.05,1.41,2.73,1.46,4.19
GY1-35,3679.60,0.76,0.70,441,0.08,1.10,1.25,1.18,2.43
GY1-36,3680.35,1.48,0.36,442,0.04,0.75,2.27,0.79,3.06
GY1-37,3681.10,1.29,0.81,432,0.07,1.21,2.13,1.28,3.41
GY1-38,3681.60,1.40,0.61,440,0.04,0.88,2.55,0.92,3.47
GY1-39,3682.80,2.20,0.85,443,0.17,1.34,2.99,1.51,4.50
GY1-41,3684.20,1.20,0.78,435,0.09,1.43,1.90,1.52,3.42
GY1-42,3684.92,1.06,0.60,435,0.05,0.83,1.57,0.88,2.45
GY1-43,3685.96,0.94,1.01,427,0.05,1.17,1.77,1.22,2.99
GY1-44,3687.20,0.78,0.53,435,0.05,0.75,1.01,0.80,1.81
GY1-46,3691.96,0.97,0.72,436,0.07,1.26,1.51,1.33,2.84
