Core,Lab Sample ID,Latitude,Longitude,Depth (ft) ,Depth (m),TOC (%),S1 (mg HC/g),S2 (mg HC/g),S3 (mg CO2/g),TMAX (°C),S1 (%),S2 (%),S3 (%),S4 (%)
F190,E190402-002,47.85083,-102.95109,7576.7,2309.4,11.37,2.44,58.75,0.96,427,0.2,4.82,0.024,6.33
F190,E190402-003,47.85083,-102.95109,7577.8,2309.7,19.75,6.15,116.22,1.37,423,0.5,9.53,0.034,9.68
F190,E190402-004,47.85083,-102.95109,7578.5,2309.9,22.26,6.58,124.49,1.39,423,0.54,10.21,0.035,11.48
F190,E190402-005,47.85083,-102.95109,7579.6,2310.3,21.75,7.1,122.81,1.54,420,0.58,10.07,0.039,11.06
F190,E190402-001,47.85083,-102.95109,7580.3,2310.5,23.13,7.8,124.3,1.65,420,0.64,10.19,0.041,12.26
F190,E190402-006,47.85083,-102.95109,7581.5,2310.8,22.42,7.3,122.47,1.18,419,0.6,10.04,0.03,11.75
F190,E190402-007,47.85083,-102.95109,7582.5,2311.1,23.63,7.93,136.35,1.69,418,0.65,11.18,0.042,11.76
F190,E190402-008,47.85083,-102.95109,7583.1,2311.3,24.89,6.94,152.16,1.18,420,0.57,12.48,0.03,11.81
F190,E190402-009,47.85083,-102.95109,7641.9,2329.3,12.66,2.81,71.72,1.02,427,0.23,5.88,0.026,6.52
F190,E190402-010,47.85083,-102.95109,7643,2329.6,18.73,5,102.49,1.27,428,0.41,8.4,0.032,9.88
F190,E190402-011,47.85083,-102.95109,7644.9,2330.2,14.27,3.71,76.06,0.91,422,0.3,6.24,0.023,7.71
F190,E190402-012,47.85083,-102.95109,7647.2,2330.9,9.68,2.72,50.68,0.99,424,0.22,4.16,0.025,5.28
F190,E190402-013,47.85083,-102.95109,7648.4,2331.2,11.99,3.51,62.62,0.99,423,0.29,5.13,0.025,6.54
F190,E190402-014,47.85083,-102.95109,7650.2,2331.8,11.89,3.49,60.9,0.73,425,0.29,4.99,0.018,6.59
F190,E190402-015,47.85083,-102.95109,7652.2,2332.4,15.16,4.1,83.91,0.89,426,0.34,6.88,0.022,7.92
F190,E190402-016,47.85083,-102.95109,7653,2332.6,17.9,4.7,99.9,1,421,0.39,8.19,0.025,9.3
F190,E190402-017,47.85083,-102.95109,7655.1,2333.3,17.96,4.82,98.54,1.01,421,0.4,8.08,0.025,9.46
F190,E190402-018,47.85083,-102.95109,7656.1,2333.6,19.5,5.34,104.39,1.26,418,0.44,8.56,0.032,10.47
F190,E190402-019,47.85083,-102.95109,7658,2334.2,15.5,4.95,82.07,1.35,421,0.41,6.73,0.034,8.33
F190,E190402-020,47.85083,-102.95109,7660,2334.8,11.26,4.09,59.42,1.24,426,0.34,4.87,0.031,6.02
F190,E190402-021,47.85083,-102.95109,7662.9,2335.65,14.95,3.52,81.35,1.36,421,0.29,6.67,0.034,7.96
F190,E190402-022,47.85083,-102.95109,7663.2,2335.74,12.6,3.09,65.12,1.33,421,0.25,5.34,0.033,6.97
F194,E190402-023,48.649,-104.43722,8331.6,2539.5,9.17,2.13,39.15,0.72,437,0.17,3.21,0.018,5.77
F194,E190402-024,48.649,-104.43722,8332.8,2539.8,23.54,6.44,121.03,1.04,432,0.53,9.92,0.026,13.06
F194,E190402-025,48.649,-104.43722,8333.7,2540.1,8.89,3.86,36.06,0.72,434,0.32,2.96,0.018,5.6
F194,E190402-026,48.649,-104.43722,8335,2540.5,16.23,5.82,97.39,0.95,436,0.48,7.99,0.024,7.74
F194,E190402-027,48.649,-104.43722,8335.5,2540.7,19.88,5.38,93.87,0.91,437,0.44,7.7,0.023,11.72
F194,E190402-028,48.649,-104.43722,8336,2540.8,19.94,6.44,92.78,1.17,432,0.53,7.61,0.029,11.77
F194,E190402-029,48.649,-104.43722,8336.5,2541,21.11,6.23,100.29,0.93,434,0.51,8.22,0.023,12.35
F194,E190402-030,48.649,-104.43722,8337,2541.1,23.18,7.1,107.73,1.16,431,0.58,8.83,0.029,13.73
F194,E190402-031,48.649,-104.43722,8338,2541.4,11.58,3.46,51.29,0.79,434,0.28,4.21,0.02,7.07
F194,E190402-032,48.649,-104.43722,8339,2541.7,19.4,5.41,100.94,1.47,430,0.44,8.28,0.037,10.64
F194,E190402-033,48.649,-104.43722,8397.7,2559.6,10.49,2.02,53.99,0.79,435,0.17,4.43,0.02,5.88
