Name,Depth (ft),Depth (m),TC_Leco (%),TOC_Leco (%),S1 (mg HC/g rock),S2 (mg HC/g rock),S3 (mg HC/g rock),Tmax (°C),HI (mg HC/g TOC),OI (mg CO2/g TOC),PI,Leco_S %,Al %,Ca %,Fe %,K %,Mg %,P %,S %,Si %,Ti %,Ag ppm,As ppm,B ppm,Ba ppm,Be ppm,Bi ppm,Cd ppm,Ce ppm,Co ppm,Cr ppm,Cs ppm,Cu ppm,Dy ppm,Er ppm,Eu ppm,Ga ppm,Gd ppm,Ge ppm,Hf ppm,Ho ppm,In ppm,La ppm,Li ppm,Lu ppm,Mn ppm,Mo ppm,Nb ppm,Nd ppm,Ni ppm,Pb ppm,Pr ppm,Rb ppm,Re ppm,Sb ppm,Sc ppm,Se ppm,Sm ppm,Sn ppm,Sr ppm,Ta ppm,Tb ppm,Te ppm,Th ppm,Tl ppm,Tm ppm,U ppm,V ppm,W ppm,Y ppm,Yb ppm,Zn ppm,Zr ppm
E180601-011,521.8,159.0,2.17,0.60,0.03,0.41,0.30,428,68,50,0.07,0.78,7.98,2.4,5.94,2,1.12,0.06,0.76,24.8,0.62,<1,7,112,335,<5,0.2,<0.2,131,13.7,77,5.3,19,5.45,3.06,1.65,22,6.51,2,7,1.1,<0.2,67.8,70,0.45,461,<2,66,45.8,30,19,13.34,124,<0.02,0.4,14,<1,8,2,302,2.9,0.97,0.12,14.6,0.5,0.47,2.61,114,2,28.2,3,90,257
E170504-162,522.0,159.1,1.6,<0.2,,,,,,,,,5.81,4.33,2.29,1.72,0.55,0.06,0.4,30.2,0.61,1,5,70,361,<5,0.1,<0.2,133,9.9,66,2.8,13,5.29,2.99,1.73,16.4,7.07,2,8,1.11,<0.2,66.2,38,0.37,271,<2,66.4,45.5,22,18,13.4,84.7,,0.2,10,<5,7.7,2,293,3.2,0.98,<0.5,12.1,<0.5,0.46,2.52,84,1,31.1,2.9,72,322
E170504-163,524.0,159.7,2.3,0.9,0.02,0.90,0.33,428,103,38,0.02,,10.2,3.49,5.32,2.19,1.09,0.07,1.1,22.3,0.63,1,10,124,356,<5,0.4,<0.2,127,19.4,95,7.2,27,5.56,2.93,1.81,27.2,7.17,2,6,1.08,<0.2,66.5,87,0.43,278,<2,64.7,45.8,45,21,13.9,165,,0.5,17,<5,8,4,397,3.2,1.1,<0.5,16.4,0.7,0.47,2.76,133,2,30.1,2.9,98,246
E170504-164,526.0,160.3,2.3,0.9,0.02,0.97,0.38,427,111,44,0.02,,9.68,3.34,5.45,2.12,1.09,0.06,1.2,22.2,0.62,1,11,126,350,<5,0.3,<0.2,124,21.5,94,7,25,5.75,3.03,1.77,26.7,6.87,2,6,1.1,<0.2,65.5,84,0.42,294,<2,60.8,46.3,46,22,13.5,159,,0.9,17,<5,8.1,3,437,3.1,1.06,<0.5,16.6,0.7,0.49,2.74,132,2,29.9,3,94,235
E170504-165,528.0,160.9,4.5,0.6,0.01,0.51,0.42,426,91,75,0.02,,7.42,2.24,13.4,1.56,2.25,0.05,0.7,16.6,0.48,3,6,128,264,<5,0.3,0.7,101,12.9,74,5.5,22,4.3,2.55,1.36,20,5.13,2,4,0.88,<0.2,54,64,0.4,966,<2,47.8,35.3,31,18,10.5,117,,1.5,17,<5,5.9,2,282,2.4,0.84,<0.5,12.7,0.5,0.38,2,113,1,24.6,2.6,63,185
E220102-033,529.3,161.3,3.45,0.60,0.02,0.4,0.41,428,67,68,0.05,,7.68,1.67,11.1,1.7,1.78,0.05,0.7,19.1,0.55,<1,7,98,275,<5,0.3,<0.2,115,13.3,92,6.1,20,4.65,3.02,1.3,24.9,5.55,2,5,0.93,<0.2,59.7,67,0.44,812,<2,66.7,40.6,40,19,11.7,119,<0.02,0.3,16,<5,5.8,2,278,3.3,0.86,0.6,13.9,0.5,0.42,2.19,119,1,23.7,2.9,72,228
E170504-166,530.0,161.5,1.3,0.7,0.02,0.55,0.26,425,75,36,0.04,,11.4,1.14,4.68,2.32,1.08,0.06,0.7,24.9,0.79,2,9,137,376,<5,0.4,<0.2,146,18.2,112,7.6,26,5.8,3.21,1.88,30.9,7.47,2,7,1.19,<0.2,78.4,103,0.48,213,<2,88.4,51.9,42,24,15.9,169,,0.4,19,<5,8.5,3,361,4.5,1.1,<0.5,20.1,0.6,0.5,3.1,150,2,31.8,3.2,154,298
E170504-167,531.3,161.9,2.2,0.9,0.03,1.09,0.20,428,118,22,0.03,,10,3.87,4.5,2.18,0.97,0.06,1.1,23.5,0.68,1,12,120,353,<5,0.4,<0.2,116,17.9,96,6.8,25,5.08,2.87,1.66,27.9,6.32,2,6,1.05,<0.2,62.1,84,0.42,201,<2,65.4,42.8,40,21,12.8,160,,0.4,16,<5,7.4,3,393,3.4,0.95,<0.5,16.9,0.7,0.44,3.02,136,1,28.5,3,105,234
E170504-168,533.3,162.6,4.2,1.2,0.04,1.79,0.32,428,154,28,0.02,,8.66,6.03,7.46,1.76,1.32,0.07,1.1,18.3,0.53,1,8,120,276,<5,0.3,<0.2,124,17.5,79,5.9,22,5.11,2.86,1.71,24.1,6.53,2,5,0.97,<0.2,65.5,77,0.38,593,<2,60.6,44.9,40,20,13.4,131,,0.4,15,<5,7.8,2,642,3.1,0.96,<0.5,14.6,0.6,0.4,2.43,115,1,27.4,2.6,84,211
E170504-169,535.3,163.2,3.5,0.9,0.02,0.98,0.43,429,111,49,0.02,,9,7.32,4.21,1.8,0.96,0.04,0.9,18.8,0.53,1,7,115,293,<5,0.4,<0.2,118,17.2,84,6.5,24,4.6,2.61,1.47,26,5.93,2,5,0.89,<0.2,61.8,75,0.39,282,<2,66.7,41,35,20,12.9,144,,0.4,16,<5,7.2,3,574,3.3,0.87,<0.5,15.6,0.6,0.4,2.45,123,1,25.4,2.6,87,214
