Sample_ID,Depth_m,TOC_wt,S1_mgg,S2_mgg,Tmax_C,HI,PI,Well,Lithology
E180601-011,159.0,0.6,0.03,0.41,428.0,68.0,0.07,GC-2,mudstone
E170504-163,159.7,0.9,0.02,0.9,428.0,103.0,0.02,GC-2,mudstone
E170504-164,160.3,0.9,0.02,0.97,427.0,111.0,0.02,GC-2,mudstone
E170504-165,160.9,0.6,0.01,0.51,426.0,91.0,0.02,GC-2,mudstone
E220102-033,161.3,0.6,0.02,0.4,428.0,67.0,0.05,GC-2,mudstone
E170504-166,161.5,0.7,0.02,0.55,425.0,75.0,0.04,GC-2,mudstone
E170504-167,161.9,0.9,0.03,1.09,428.0,118.0,0.03,GC-2,mudstone
E170504-168,162.6,1.2,0.04,1.79,428.0,154.0,0.02,GC-2,mudstone
E170504-169,163.2,0.9,0.02,0.98,429.0,111.0,0.02,GC-2,mudstone
E170504-170,163.8,0.9,0.02,1.11,430.0,123.0,0.02,GC-2,mudstone
E220102-032,164.1,0.58,0.03,0.38,424.0,66.0,0.07,GC-2,mudstone
E170504-171,164.4,1.4,0.05,3.36,426.0,235.0,0.01,GC-2,mudstone
E170504-172,165.1,1.7,0.05,3.84,427.0,231.0,0.01,GC-2,mudstone
E170504-173,165.6,3.2,0.16,14.2,421.0,442.0,0.01,GC-2,mudstone
E220102-012,165.8,3.7,0.18,17.5,417.0,473.0,0.01,GC-2,mudstone
E170504-174,166.2,4.4,0.25,21.05,413.0,478.0,0.01,GC-2,mudstone
E180601-012,166.2,4.7,0.38,23.44,415.0,499.0,0.02,GC-2,mudstone
E170504-175,166.8,2.9,0.15,13.16,417.0,448.0,0.01,GC-2,mudstone
E170504-176,167.5,3.1,0.15,12.99,416.0,420.0,0.01,GC-2,mudstone
E220102-011,167.8,3.09,0.09,12.64,418.0,409.0,0.01,GC-2,mudstone
E180601-013,168.1,3.14,0.18,12.94,418.0,412.0,0.01,GC-2,mudstone
E170504-177,168.1,3.1,0.15,13.83,415.0,449.0,0.01,GC-2,mudstone
E170504-178,168.7,3.2,0.16,13.5,417.0,421.0,0.01,GC-2,mudstone
E170504-179,169.3,3.6,0.17,15.23,418.0,421.0,0.01,GC-2,mudstone
E170504-180,169.9,3.3,0.2,15.97,414.0,482.0,0.01,GC-2,mudstone
E180601-014,170.1,3.8,0.32,18.9,413.0,497.0,0.02,GC-2,mudstone
E170504-181,170.2,4.0,0.23,19.16,415.0,481.0,0.01,GC-2,mudstone
E170504-182,171.2,3.7,0.2,16.49,414.0,443.0,0.01,GC-2,mudstone
E220102-048,171.9,1.05,0.09,3.86,419.0,368.0,0.02,GC-2,mudstone
E170504-184,172.3,4.1,0.26,20.64,412.0,502.0,0.01,GC-2,mudstone
E170504-185,172.9,4.5,0.32,23.79,412.0,532.0,0.01,GC-2,mudstone
E180601-015,173.0,3.92,0.34,20.29,414.0,518.0,0.02,GC-2,mudstone
E170504-186,173.2,3.5,0.22,17.03,413.0,482.0,0.01,GC-2,mudstone
E170504-187,173.9,4.1,0.25,20.59,413.0,508.0,0.01,GC-2,mudstone
E170504-188,174.5,3.9,0.32,20.38,415.0,527.0,0.02,GC-2,mudstone
E170504-189,175.7,4.6,0.32,24.09,411.0,524.0,0.01,GC-2,mudstone
E220102-022,175.7,4.96,0.19,25.96,415.0,523.0,0.01,GC-2,mudstone
E180601-016,176.2,4.69,0.52,28.24,415.0,602.0,0.02,GC-2,mudstone
E170504-190,176.3,4.7,0.3,25.49,413.0,538.0,0.01,GC-2,mudstone
E170504-191,177.2,4.7,0.38,25.4,411.0,540.0,0.01,GC-2,mudstone
E180601-017,177.8,3.88,0.41,20.93,413.0,539.0,0.02,GC-2,mudstone
E170504-192,177.9,1.3,0.09,5.14,409.0,384.0,0.02,GC-2,mudstone
E170504-193,178.5,4.9,0.37,28.14,410.0,572.0,0.01,GC-2,mudstone
E180601-018,179.0,4.15,0.5,24.45,412.0,589.0,0.02,GC-2,mudstone
E170504-194,179.1,5.0,0.43,29.46,411.0,595.0,0.01,GC-2,mudstone
E170504-195,179.7,5.0,0.38,27.92,412.0,564.0,0.01,GC-2,mudstone
E180601-019,180.2,5.6,0.49,31.03,415.0,554.0,0.02,GC-2,mudstone
E170504-196,180.3,2.3,0.14,10.46,412.0,465.0,0.01,GC-2,mudstone
E170504-197,180.9,4.5,0.28,24.26,415.0,538.0,0.01,GC-2,mudstone
E220102-030,181.0,5.78,0.42,30.49,416.0,528.0,0.01,GC-2,mudstone
E180601-020,181.4,5.19,0.49,28.04,417.0,540.0,0.02,GC-2,mudstone
E170504-198,181.5,4.5,0.36,24.77,411.0,553.0,0.01,GC-2,mudstone
E170504-199,182.1,4.7,0.31,24.72,412.0,526.0,0.01,GC-2,mudstone
E180601-021,182.6,1.81,0.13,7.47,419.0,413.0,0.02,GC-2,mudstone
E170504-200,182.7,3.8,0.18,18.55,417.0,489.0,0.01,GC-2,mudstone
E170504-201,183.3,5.5,0.3,28.71,412.0,522.0,0.01,GC-2,mudstone
E180601-022,183.8,6.24,0.6,33.82,413.0,542.0,0.02,GC-2,mudstone
E170504-202,184.0,5.7,0.35,31.53,411.0,550.0,0.01,GC-2,mudstone
E170504-203,184.6,5.0,0.32,26.56,412.0,534.0,0.01,GC-2,mudstone
E170504-204,185.2,5.3,0.38,27.8,412.0,526.0,0.01,GC-2,mudstone
E170504-205,185.5,4.8,0.31,25.41,413.0,530.0,0.01,GC-2,mudstone
E170504-206,186.2,4.0,0.19,17.72,416.0,439.0,0.01,GC-2,mudstone
E180601-023,186.8,6.21,0.55,33.11,417.0,533.0,0.02,GC-2,mudstone
E170504-207,186.8,6.6,0.44,35.24,413.0,532.0,0.01,GC-2,mudstone
E170504-208,187.5,6.3,0.42,32.33,413.0,511.0,0.01,GC-2,mudstone
E220102-021,187.6,6.05,0.26,33.67,416.0,557.0,0.01,GC-2,mudstone
E170504-209,188.1,2.9,0.19,13.68,417.0,468.0,0.01,GC-2,mudstone
