level,group,rho,p,n,Ro_median,Ro_span
state,Alaska,0.3176737079068275,1.0793921838879915e-88,3750,0.63,4.93
state,Texas,-0.08119773948257346,0.23467702102871435,216,1.05,3.07
state,California,-0.24600624355634024,0.013145847734812489,101,0.6,1.3800000000000001
state,Louisiana,0.5849280077281541,2.172769201404359e-09,88,0.52,0.42999999999999994
state,Colorado,0.6743578049646246,1.1410760728988319e-10,71,0.8,3.0500000000000003
state,Utah,-0.23508794827711638,0.1077396439822657,48,0.73,1.72
state,Nevada,-0.2751332991548162,0.07415664333327023,43,0.88,3.7299999999999995
state,Montana,0.4644733044121803,0.008479605668564196,31,0.85,3.78
state,North Dakota,0.6856935231415273,0.00015483685882356488,25,0.73,1.01
state,Pennsylvania,0.9239028787165251,2.2933956879035765e-09,21,1.3,4.39
state,Wyoming,-0.4048773170681321,0.1343865619356017,15,0.48,0.53
state,Konduz,0.08137938775688605,0.7915565151942578,13,0.98,0.5499999999999999
state,Kentucky,0.904644470707481,5.280546783237519e-05,12,0.77,0.52
state,Indiana,0.7175855013992967,0.008601030882884223,12,0.485,0.16999999999999998
state,Poltava,0.5729429371083451,0.05150752450567217,12,1.19,1.2999999999999998
state,Iowa,0.8359173188630292,0.0025885140423314726,10,0.385,1.7400000000000002
state,Oklahoma,0.8214285714285715,0.023448808345691505,7,0.73,1.14
state,Ohio,0.7142857142857144,0.07134356146753759,7,0.65,0.27
state,Illinois,0.5428571428571429,0.26570262390670557,6,0.425,0.3
state,Sichuan,0.5428571428571429,0.26570262390670557,6,2.105,1.7099999999999997
state,Nebraska,0.08571428571428573,0.8717434402332361,6,0.345,1.05
state,Florida,0.8999999999999998,0.03738607346849874,5,0.46,0.41000000000000003
state,West Virginia,0.3,0.6238376647810728,5,1.14,1.13
state,Oregon,0.19999999999999998,0.747060078104662,5,0.45,0.21999999999999997
formation,TOROK,0.38397925493955803,5.844125143109662e-18,470,0.655,4.52
formation,NANUSHUK GP,0.1706159296732656,0.01956233064509525,187,0.52,0.54
formation,KINGAK,-0.06461696022371312,0.3928417351474556,177,0.97,3.8499999999999996
formation,LISBURNE GP,-0.5503325743994453,2.9814468788550313e-13,150,2.13,4.739999999999999
formation,PEBBLE SH,0.263903965855659,0.003585701239886724,120,1.165,2.62
formation,OKPIKRUAK,0.33929428058780636,0.000591318525737138,99,0.81,1.9300000000000002
formation,SHUBLIK FM,0.07081296693077409,0.48837937057498126,98,1.35,4.18
formation,CRETACEOUS,0.2583194933326426,0.012911972636130125,92,0.505,1.87
