map #,API,Operator,Well,Latitude,Longitude,Tnsp,Rng,sec,QQ,Meridian,Elev (feet),Ref,sample #,top (feet),bottom (feet),Formation,% CaCO3      (TC-TOC)*8.33,Tmax °C,S1       mgHC/g-rock,S2       mgHC/g-rock,GP  S1+S2,S3       mgCO2/g-rock,PI  S1/(S1+S2),S2/S3,LECO TOC Wt. %,TC Wt. %,HI    (S2/TOC)*100,OI     (S3/TOC)*100,(S1/TOC)*100,CRC ,LIMS ID,,,,,,
1,4900720214,Davis Oil Co.,Mesa Federal 1,41.692223,-107.444282,20N,89W,20,NW SE,Sixth Principal,"7,056",KB,GRB-2021-1,"3,830","3,850",Lewis,7.75,428,0.09,0.20,0.29,0.65,0.31,0,0.98,1.91,20,67,9,CZ11178,E210502-001,,,,,,
1,4900720214,Davis Oil Co.,Mesa Federal 1,41.692223,-107.444282,20N,89W,20,NW SE,Sixth Principal,"7,056",KB,GRB-2021-2,"3,880","3,910",Asquith,12.16,431,0.12,0.91,1.03,0.74,0.12,1,1.56,3.02,58,47,8,CZ11178,E210502-002,,,,,,
1,4900720214,Davis Oil Co.,Mesa Federal 1,41.692223,-107.444282,20N,89W,20,NW SE,Sixth Principal,"7,056",KB,GRB-2021-3,"3,930","3,950",Asquith,10.41,427,0.18,3.05,3.23,0.75,0.06,4,2.21,3.46,138,34,8,CZ11178,E210502-003,,,,,,
1,4900720214,Davis Oil Co.,Mesa Federal 1,41.692223,-107.444282,20N,89W,20,NW SE,Sixth Principal,"7,056",KB,GRB-2021-4,"3,950","3,970",Lewis,12.08,426,0.18,4.06,4.24,0.87,0.04,5,2.53,3.98,161,34,7,CZ11178,E210502-004,,,,,,
1,4900720214,Davis Oil Co.,Mesa Federal 1,41.692223,-107.444282,20N,89W,20,NW SE,Sixth Principal,"7,056",KB,GRB-2021-5,"4,090","4,140",Lewis,9.58,424,0.22,5.88,6.10,0.80,0.04,7,2.70,3.85,217,30,8,CZ11178,E210502-005,,,,,,
1,4900720214,Davis Oil Co.,Mesa Federal 1,41.692223,-107.444282,20N,89W,20,NW SE,Sixth Principal,"7,056",KB,GRB-2021-6,"4,250","4,260",Lewis,9.25,430,0.13,1.71,1.84,0.74,0.07,2,1.90,3.01,90,39,7,CZ11178,E210502-006,,,,,,
2,4900705096,U.S. Natural Gas,Unit 41-11,41.37916,-107.707,16N,92W,11,NE NE,Sixth Principal,"6,737",KB,GRB-2021-7,710,750,Lewis,6.08,422,0.15,0.82,0.97,0.44,0.15,2,1.21,1.94,68,36,12,CZ05165,E210502-007,,,,,,
2,4900705096,U.S. Natural Gas,Unit 41-11,41.37916,-107.707,16N,92W,11,NE NE,Sixth Principal,"6,737",KB,GRB-2021-8,800,820,Lewis,8.41,423,0.08,0.48,0.56,0.68,0.14,1,1.19,2.20,40,57,7,CZ05165,E210502-008,,,,,,
2,4900705096,U.S. Natural Gas,Unit 41-11,41.37916,-107.707,16N,92W,11,NE NE,Sixth Principal,"6,737",KB,GRB-2021-9,900,940,Lewis,6.50,428,0.15,1.31,1.46,0.51,0.10,3,1.23,2.01,107,42,12,CZ05165,E210502-009,,,,,,
2,4900705096,U.S. Natural Gas,Unit 41-11,41.37916,-107.707,16N,92W,11,NE NE,Sixth Principal,"6,737",KB,GRB-2021-10,980,"1,000",Lewis,8.00,431,0.15,1.40,1.55,0.41,0.10,3,1.31,2.27,107,31,11,CZ05165,E210502-010,,,,,,
2,4900705096,U.S. Natural Gas,Unit 41-11,41.37916,-107.707,16N,92W,11,NE NE,Sixth Principal,"6,737",KB,GRB-2021-11,"1,060","1,100",Lewis,7.16,429,0.05,0.69,0.74,0.64,0.07,1,1.20,2.06,58,54,4,CZ05165,E210502-011,,,,,,
2,4900705096,U.S. Natural Gas,Unit 41-11,41.37916,-107.707,16N,92W,11,NE NE,Sixth Principal,"6,737",KB,GRB-2021-12,"1,120","1,140",Asquith,7.91,430,0.12,1.19,1.31,0.57,0.09,2,1.34,2.29,89,43,9,CZ05165,E210502-012,,,,,,
2,4900705096,U.S. Natural Gas,Unit 41-11,41.37916,-107.707,16N,92W,11,NE NE,Sixth Principal,"6,737",KB,GRB-2021-13,"1,160","1,180",Asquith/Lewis,8.91,424,0.34,7.12,7.46,0.75,0.05,9,2.89,3.96,247,26,12,CZ05165,E210502-013,,,,,,
2,4900705096,U.S. Natural Gas,Unit 41-11,41.37916,-107.707,16N,92W,11,NE NE,Sixth Principal,"6,737",KB,GRB-2021-14,"1,340","1,400",Lewis,6.33,431,0.15,1.13,1.28,0.58,0.12,2,1.34,2.10,84,43,11,CZ05165,E210502-014,,,,,,
3,4903720989,Davis Oil Co.,1 West Brady,41.475045,-108.699643,17N,100W,5,SE SE,Sixth Principal,"6,889",KB,GRB-2021-15,"2,160","2,180",Lewis,8.75,430,0.08,1.66,1.74,0.47,0.05,4,1.37,2.42,122,34,6,CZ12803,E210502-015,,,,,,
3,4903720989,Davis Oil Co.,1 West Brady,41.475045,-108.699643,17N,100W,5,SE SE,Sixth Principal,"6,889",KB,GRB-2021-16,"2,240","2,260",Asquith,8.00,430,0.11,2.48,2.59,0.62,0.04,4,1.76,2.72,141,35,6,CZ12803,E210502-016,,,,,,
3,4903720989,Davis Oil Co.,1 West Brady,41.475045,-108.699643,17N,100W,5,SE SE,Sixth Principal,"6,889",KB,GRB-2021-17,"2,260","2,280",Asquith,7.50,429,0.1,2.49,2.59,0.66,0.04,4,1.88,2.78,132,35,5,CZ12803,E210502-017,,,,,,
3,4903720989,Davis Oil Co.,1 West Brady,41.475045,-108.699643,17N,100W,5,SE SE,Sixth Principal,"6,889",KB,GRB-2021-18,"2,280","2,300",Asquith,6.83,431,0.1,1.28,1.38,0.70,0.07,2,1.75,2.57,73,40,6,CZ12803,E210502-018,,,,,,
3,4903720989,Davis Oil Co.,1 West Brady,41.475045,-108.699643,17N,100W,5,SE SE,Sixth Principal,"6,889",KB,GRB-2021-19,"2,300","2,320",Asquith,6.08,431,0.11,0.83,0.94,0.71,0.12,1,1.69,2.42,49,42,7,CZ12803,E210502-019,,,,,,
4,4903720385,Champlin Petroleum,2 Brady Unit,41.397945,-108.740538,16N,101W,2,NE NE,Sixth Principal,"7,185",KB,GRB-2021-20,"2,440","2,470",Lewis,10.66,431,0.09,2.25,2.34,0.53,0.04,4,1.49,2.77,151,36,6,CZ10036,E210502-020,,,,,,
4,4903720385,Champlin Petroleum,2 Brady Unit,41.397945,-108.740538,16N,101W,2,NE NE,Sixth Principal,"7,185",KB,GRB-2021-21,"2,530","2,560",Asquith,5.91,425,0.24,7.79,8.03,0.66,0.03,12,2.85,3.56,273,23,8,CZ10036,E210502-021,,,,,,
4,4903720385,Champlin Petroleum,2 Brady Unit,41.397945,-108.740538,16N,101W,2,NE NE,Sixth Principal,"7,185",KB,GRB-2021-22,"2,560","2,590",Asquith/Lewis,6.58,431,0.14,1.45,1.59,1.00,0.09,1,2.00,2.79,72,50,7,CZ10036,E210502-022,,,,,,
5,4900721092,Nova Natural Res.,34-1 Govt.,41.399481,-107.744057,17N,92W,34,SW SE,Sixth Principal,"6,828",KB,GRB-2021-23,"5,700","5,710",Lewis/Asquith,10.75,429,0.37,9.33,9.70,0.59,0.04,16,2.96,4.25,315,20,12,CZ10656,E210502-023,,,,,,
5,4900721092,Nova Natural Res.,34-1 Govt.,41.399481,-107.744057,17N,92W,34,SW SE,Sixth Principal,"6,828",KB,GRB-2021-24,"5,710","5,720",Asquith,11.83,430,0.32,8.40,8.72,0.43,0.04,20,2.76,4.18,305,16,12,CZ10656,E210502-024,,,,,,
5,4900721092,Nova Natural Res.,34-1 Govt.,41.399481,-107.744057,17N,92W,34,SW SE,Sixth Principal,"6,828",KB,GRB-2021-25,"5,720","5,730",Asquith,12.16,429,0.36,9.05,9.41,0.35,0.04,26,2.85,4.31,318,12,13,CZ10656,E210502-025,,,,,,
5,4900721092,Nova Natural Res.,34-1 Govt.,41.399481,-107.744057,17N,92W,34,SW SE,Sixth Principal,"6,828",KB,GRB-2021-26,"5,730","5,740",Asquith,9.91,431,0.26,6.02,6.28,0.40,0.04,15,2.30,3.49,262,17,11,CZ10656,E210502-026,,,,,,
5,4900721092,Nova Natural Res.,34-1 Govt.,41.399481,-107.744057,17N,92W,34,SW SE,Sixth Principal,"6,828",KB,GRB-2021-27,"5,740","5,750",Asquith/Lewis,7.58,432,0.21,3.69,3.90,0.29,0.05,13,1.84,2.75,200,16,11,CZ10656,E210502-027,,,,,,
5,4900721092,Nova Natural Res.,34-1 Govt.,41.399481,-107.744057,17N,92W,34,SW SE,Sixth Principal,"6,828",KB,GRB-2021-28,"5,590","5,610",Lewis,14.49,430,0.25,4.33,4.58,0.40,0.05,11,1.95,3.69,223,21,13,CZ10656,E210502-028,,,,,,
5,4900721092,Nova Natural Res.,34-1 Govt.,41.399481,-107.744057,17N,92W,34,SW SE,Sixth Principal,"6,828",KB,GRB-2021-29,"5,990","6,000",Lewis,7.16,436,0.11,1.82,1.93,0.39,0.05,5,1.42,2.28,129,28,8,CZ10656,E210502-029,,,,,,
5,4900721092,Nova Natural Res.,34-1 Govt.,41.399481,-107.744057,17N,92W,34,SW SE,Sixth Principal,"6,828",KB,GRB-2021-30,"6,000","6,010",Lewis,7.91,435,0.16,1.61,1.77,0.42,0.09,4,1.34,2.29,120,31,12,CZ10656,E210502-030,,,,,,
6,4900720251,C & K Petroleum,1-16 MOC State,41.44271,-107.65844,17N,91W,16,SW SW,Sixth Principal,"7,396",KB,GRB-2021-31,"2,440","2,470",Asquith(?),7.33,427,0.13,0.29,0.42,0.58,0.31,1,1.10,1.98,26,53,12,CZ11881,E210502-031,,,,,,
7,4900720525,Davis Oil Co.,1 Windy Hill,41.5974,-107.676107,19N,91W,29,C NW,Sixth Principal,"7,031",KB,GRB-2021-32,"7,520","7,550",Lewis,6.66,433,0.13,1.55,1.68,0.36,0.08,4,1.13,1.93,137,32,12,CZ14270,E210502-032,,,,,,
7,4900720525,Davis Oil Co.,1 Windy Hill,41.5974,-107.676107,19N,91W,29,C NW,Sixth Principal,"7,031",KB,GRB-2021-33,"7,770","7,790",Lewis,7.41,434,0.13,3.27,3.40,0.53,0.04,6,2.41,3.30,135,22,5,CZ14270,E210502-033,,,,,,
7,4900720525,Davis Oil Co.,1 Windy Hill,41.5974,-107.676107,19N,91W,29,C NW,Sixth Principal,"7,031",KB,GRB-2021-34,"7,820","7,840",Asquith,11.83,430,0.21,3.86,4.07,0.52,0.05,7,1.88,3.30,205,28,11,CZ14270,E210502-034,,,,,,
7,4900720525,Davis Oil Co.,1 Windy Hill,41.5974,-107.676107,19N,91W,29,C NW,Sixth Principal,"7,031",KB,GRB-2021-35,"8,190","8,200",Lewis,10.41,435,0.08,0.64,0.72,0.45,0.11,1,1.07,2.32,60,42,7,CZ14270,E210502-035,,,,,,
7,4900720525,Davis Oil Co.,1 Windy Hill,41.5974,-107.676107,19N,91W,29,C NW,Sixth Principal,"7,031",KB,GRB-2021-36,"7,910","7,930",Lewis,9.33,432,0.3,5.43,5.73,0.27,0.05,20,2.16,3.28,251,12,14,CZ14270,E210502-036,,,,,,
8,4900720673,Amoco Prod. Co.,Creston SE 5,41.646297,-107.600038,19N,91W,1,C SW,Sixth Principal,"6,807",KB,GRB-2021-37,"8,380","8,400",Asquith,11.83,429,0.29,5.68,5.97,0.53,0.05,11,2.18,3.60,261,24,13,CZ15290,E210502-037,,,,,,
8,4900720673,Amoco Prod. Co.,Creston SE 5,41.646297,-107.600038,19N,91W,1,C SW,Sixth Principal,"6,807",KB,GRB-2021-38,"8,610","8,620",Lewis,8.41,434,0.12,2.04,2.16,0.45,0.06,5,1.47,2.48,139,31,8,CZ15290,E210502-038,,,,,,
