Sample_ID,Depth_m,TOC_wt,S1_mgg,S2_mgg,Tmax_C,HI,PI,Well,Formation
GRB-2021-1,1170.432,0.98,0.09,0.2,428.0,20.0,0.31,Mesa Federal 1,Lewis
GRB-2021-4,1207.008,2.53,0.18,4.06,426.0,161.0,0.04,Mesa Federal 1,Lewis
GRB-2021-5,1254.252,2.7,0.22,5.88,424.0,217.0,0.04,Mesa Federal 1,Lewis
GRB-2021-6,1296.924,1.9,0.13,1.71,430.0,90.0,0.07,Mesa Federal 1,Lewis
GRB-2021-7,222.50400000000002,1.21,0.15,0.82,422.0,68.0,0.15,Unit 41-11,Lewis
GRB-2021-8,246.888,1.19,0.08,0.48,423.0,40.0,0.14,Unit 41-11,Lewis
GRB-2021-9,280.416,1.23,0.15,1.31,428.0,107.0,0.1,Unit 41-11,Lewis
GRB-2021-10,301.752,1.31,0.15,1.4,431.0,107.0,0.1,Unit 41-11,Lewis
GRB-2021-11,329.184,1.2,0.05,0.69,429.0,58.0,0.07,Unit 41-11,Lewis
GRB-2021-14,417.576,1.34,0.15,1.13,431.0,84.0,0.12,Unit 41-11,Lewis
GRB-2021-15,661.416,1.37,0.08,1.66,430.0,122.0,0.05,1 West Brady,Lewis
GRB-2021-20,748.284,1.49,0.09,2.25,431.0,151.0,0.04,2 Brady Unit,Lewis
GRB-2021-28,1706.88,1.95,0.25,4.33,430.0,223.0,0.05,34-1 Govt.,Lewis
GRB-2021-29,1827.276,1.42,0.11,1.82,436.0,129.0,0.05,34-1 Govt.,Lewis
GRB-2021-30,1830.324,1.34,0.16,1.61,435.0,120.0,0.09,34-1 Govt.,Lewis
GRB-2021-32,2296.668,1.13,0.13,1.55,433.0,137.0,0.08,1 Windy Hill,Lewis
GRB-2021-33,2371.344,2.41,0.13,3.27,434.0,135.0,0.04,1 Windy Hill,Lewis
GRB-2021-35,2497.8360000000002,1.07,0.08,0.64,435.0,60.0,0.11,1 Windy Hill,Lewis
GRB-2021-36,2414.016,2.16,0.3,5.43,432.0,251.0,0.05,1 Windy Hill,Lewis
GRB-2021-38,2625.8520000000003,1.47,0.12,2.04,434.0,139.0,0.06,Creston SE 5,Lewis
GRB-2021-39,2641.092,1.38,0.16,1.73,434.0,126.0,0.08,Creston SE 5,Lewis
GRB-2021-40,812.292,1.28,0.1,1.51,431.0,118.0,0.06,1 Bear,Lewis
GRB-2021-41,821.436,1.38,0.07,1.47,433.0,107.0,0.05,1 Bear,Lewis
GRB-2021-43,912.8760000000001,1.46,0.09,1.63,433.0,112.0,0.05,1 Bear,Lewis
GRB-2021-44,196.596,1.34,0.93,1.33,428.0,99.0,0.41,Cow Creek Unit 3,Lewis
GRB-2021-45,199.644,1.04,0.48,1.11,432.0,107.0,0.3,Cow Creek Unit 3,Lewis
GRB-2021-46,217.93200000000002,1.29,0.67,1.59,430.0,123.0,0.3,Cow Creek Unit 3,Lewis
GRB-2021-47,225.55200000000002,1.98,0.71,3.87,427.0,195.0,0.16,Cow Creek Unit 3,Lewis
GRB-2021-50,329.184,1.53,0.18,1.9,434.0,124.0,0.09,Cow Creek Unit 3,Lewis
GRB-2021-51,336.80400000000003,1.31,0.31,1.34,430.0,102.0,0.19,Cow Creek Unit 3,Lewis
GRB-2021-52,900.6840000000001,1.41,0.02,1.58,432.0,112.0,0.01,Dutch Joe Unit 1,Lewis
GRB-2021-55,981.456,1.21,0.03,1.19,434.0,98.0,0.02,Dutch Joe Unit 1,Lewis
GRB-2021-60,382.524,1.86,0.07,2.36,427.0,127.0,0.03,UPRR 11-3,Lewis
GRB-2021-62,714.7560000000001,2.14,0.36,4.08,431.0,191.0,0.08,Brady Deep Unit 13W,Lewis
GRB-2021-66,699.5160000000001,1.48,0.25,1.56,430.0,105.0,0.14,Brady Deep Unit 16-W,Lewis
GRB-2021-69,711.7080000000001,1.35,0.16,1.49,431.0,110.0,0.1,Brady Deep Unit 16-W,Lewis
GRB-2021-71,656.844,1.0,0.07,0.71,431.0,71.0,0.09,1-6 State,Lewis
GRB-2021-73,483.108,1.02,0.03,0.28,428.0,27.0,0.1,1-22 Temple,Lewis
GRB-2021-74,373.38,1.2,0.02,0.31,428.0,26.0,0.06,1-22 Temple,Lewis
GRB-2021-75,428.244,1.08,0.02,0.32,428.0,30.0,0.06,1-22 Temple,Lewis
GRB-2021-76,391.668,1.1,0.02,0.3,429.0,27.0,0.06,1-22 Temple,Lewis
GRB-2021-77,868.6800000000001,1.05,0.05,0.59,431.0,56.0,0.08,1-21 Nottingham,Lewis
GRB-2021-80,879.3480000000001,1.09,0.05,0.74,434.0,68.0,0.06,1-21 Nottingham,Lewis
GRB-2021-81,882.3960000000001,1.14,0.05,1.01,435.0,89.0,0.05,1-21 Nottingham,Lewis
GRB-2021-82,786.384,1.53,0.07,1.93,431.0,126.0,0.04,1-21 Nottingham,Lewis
GRB-2021-83,757.428,1.43,0.09,1.78,430.0,124.0,0.05,Brady Unit 1-21-11,Lewis
GRB-2021-86,772.668,1.89,0.14,2.39,430.0,126.0,0.06,Brady Unit 1-21-11,Lewis
GRB-2021-89,870.2040000000001,1.06,0.05,0.93,435.0,88.0,0.05,Windner Land 1,Lewis
GRB-2021-91,865.6320000000001,1.14,0.08,1.11,434.0,97.0,0.07,Windner Land 1,Lewis
GRB-2021-92,790.956,1.4,0.06,0.95,434.0,68.0,0.06,Windner Land 1,Lewis
GRB-2021-95,597.408,1.08,0.07,0.81,432.0,75.0,0.08,"1 State ""O""",Lewis
