map #,API,Operator,Well,Latitude,Longitude,Tnsp,Rng,sec,QQ,Meridian,Elev,Ref,sample #,top,bottom,Formation,% CaCO3,Tmax,S1,S2,G.P.,S3,PI,S2/S3,LECO TOC,TC,HI,OI,(S1/TOC)*100,LIMS ID
,,,,,,,,,,,feet,,,feet,feet,,(TC-TOC)*8.33,°C,mgHC/g-rock,mgHC/g-rock,S1+S2,mgCO2/g-rock,S1/(S1+S2),,Wt. %,Wt. %,(S2/TOC)*100,(S3/TOC)*100,,
1,4901320972,Davis Oil Co.,Maggie State 1,42.7482,-107.846471,32N,92W,16,se nw,Sixth Principal,"6,784",KB,WRB-2018-1,"1,620","1,700",Mowry,1.58,429,0.37,3.23,3.60,0.57,0.1,6,1.73,1.92,187,33,21,E181009-001
1,4901320972,Davis Oil Co.,Maggie State 1,42.7482,-107.846471,32N,92W,16,se nw,Sixth Principal,"6,784",KB,WRB-2018-2,"1,760","1,820",Mowry,2.83,428,0.4,0.94,1.34,0.98,0.3,1,2.21,2.55,42,44,18,E181009-002
1,4901320972,Davis Oil Co.,Maggie State 1,42.7482,-107.846471,32N,92W,16,se nw,Sixth Principal,"6,784",KB,WRB-2018-3,"1,910","1,940",Shell Creek,2.25,425,0.26,2.23,2.49,0.63,0.1,4,1.68,1.95,133,38,16,E181009-003
2,4901306918,Forest Oil,18-1 State,42.744521,-107.882843,32N,92W,18,nw se,Sixth Principal,"6,943",KB,WRB-2018-4,"1,140","1,200",Mowry,2.08,429,0.29,2.61,2.90,0.82,0.1,3,1.93,2.18,135,42,15,E181009-004
2,4901306918,Forest Oil,18-1 State,42.744521,-107.882843,32N,92W,18,nw se,Sixth Principal,"6,943",KB,WRB-2018-5,"1,240","1,300",Mowry,2.58,421,0.48,7.98,8.46,0.99,0.06,8,3.18,3.49,251,31,15,E181009-005
3,4901305513,Murphy Oil,1 Chew-Federal,42.762077,-107.872832,32N,92W,8,sw nw,Sixth Principal,"6,594",KB,WRB-2018-6,"2,340","2,350",Mowry,3.75,423,0.55,8.32,8.87,0.74,0.06,11,2.58,3.03,323,29,21,E181009-006
4,4902505826,MKM Expl.,Wolters-Federal 1,42.906028,-107.405183,34N,88W,20,sw ne,Sixth Principal,"6,441",KB,WRB-2018-7,"1,620","1,650",Mowry,0.83,427,0.39,4.53,4.92,0.45,0.08,10,2.08,2.18,218,22,19,E181009-007
5,4902505828,Forest Oil,Govt. 20-1,42.908756,-107.401439,34N,88W,20,ne ne,Sixth Principal,"6,465",KB,WRB-2018-8,"2,220","2,250",Mowry,0.92,425,0.36,3.82,4.18,0.79,0.09,5,2.06,2.17,185,38,17,E181009-008
6,4901305516,Oil Capitol Corp.,Govt. 1,42.762507,-107.911308,32N,93W,12,sw nw,Sixth Principal,"6,458",KB,WRB-2018-9,"1,730","1,760",Mowry,4.25,428,0.38,3.29,3.67,0.64,0.1,5,1.89,2.40,174,34,20,E181009-009
