Sample_ID,Depth_m,TOC_wt,S1_mgg,S2_mgg,Tmax_C,HI,PI,Well,Formation
WRB-2018-1,505.968,1.73,0.37,3.23,429.0,187.0,0.1,Maggie State 1,Mowry
WRB-2018-2,545.592,2.21,0.4,0.94,428.0,42.0,0.3,Maggie State 1,Mowry
WRB-2018-4,356.61600000000004,1.93,0.29,2.61,429.0,135.0,0.1,18-1 State,Mowry
WRB-2018-5,387.096,3.18,0.48,7.98,421.0,251.0,0.06,18-1 State,Mowry
WRB-2018-6,714.7560000000001,2.58,0.55,8.32,423.0,323.0,0.06,1 Chew-Federal,Mowry
WRB-2018-7,498.348,2.08,0.39,4.53,427.0,218.0,0.08,Wolters-Federal 1,Mowry
WRB-2018-8,681.2280000000001,2.06,0.36,3.82,425.0,185.0,0.09,Govt. 20-1,Mowry
WRB-2018-9,531.876,1.89,0.38,3.29,428.0,174.0,0.1,Govt. 1,Mowry
WRB-2018-10,571.5,2.56,0.43,5.65,424.0,221.0,0.07,Govt. 1,Mowry
WRB-2018-12,542.544,2.34,0.42,3.52,427.0,150.0,0.11,1-6C Govt.,Mowry
WRB-2018-13,556.26,3.38,0.61,8.42,422.0,249.0,0.07,1-6C Govt.,Mowry
WRB-2018-14,595.884,2.63,0.6,5.35,423.0,203.0,0.1,1-6C Govt.,Mowry
WRB-2018-17,307.848,2.6,0.5,7.58,429.0,291.0,0.06,1 Govt.,Mowry
WRB-2018-18,394.716,3.48,0.48,10.49,417.0,301.0,0.04,1 Federal-English,Mowry
WRB-2018-19,409.956,3.27,0.54,9.3,420.0,285.0,0.05,1 Federal-English,Mowry
WRB-2018-20,423.672,2.64,0.36,6.87,429.0,261.0,0.05,Govt.-Tysor 1-C,Mowry
WRB-2018-21,475.488,2.37,0.27,2.89,422.0,122.0,0.09,Govt.-Tysor 1-C,Mowry
WRB-2018-22,894.5880000000001,2.23,1.6,3.11,427.0,140.0,0.34,Davis-Govt. 81-4,Mowry
WRB-2018-23,925.0680000000001,3.19,2.15,9.25,422.0,290.0,0.19,Davis-Govt. 81-4,Mowry
WRB-2018-24,944.88,2.75,1.5,8.29,421.0,301.0,0.15,Davis-Govt. 81-4,Mowry
WRB-2018-26,1007.364,2.79,0.37,5.41,424.0,194.0,0.06,71 Federal 3F-1A,Mowry
WRB-2018-27,312.42,3.04,0.58,10.47,431.0,345.0,0.05,1 Tresner,Mowry
WRB-2018-28,355.09200000000004,2.66,0.76,7.62,428.0,286.0,0.09,1 Tresner,Mowry
WRB-2018-29,324.612,2.1,0.37,4.6,426.0,219.0,0.07,USA-Cabot 1,Mowry
WRB-2018-30,345.94800000000004,2.34,0.37,2.12,427.0,91.0,0.15,USA-Cabot 1,Mowry
WRB-2018-31,361.18800000000005,2.64,0.37,3.59,424.0,136.0,0.09,USA-Cabot 1,Mowry
WRB-2018-32,623.316,1.83,0.35,5.09,427.0,278.0,0.06,1 Reserve-Govt.,Mowry
WRB-2018-33,638.556,1.92,0.3,4.77,426.0,248.0,0.06,1 Reserve-Govt.,Mowry
WRB-2018-34,528.828,1.92,0.43,4.58,427.0,238.0,0.09,US-Tomahawk 1,Mowry
WRB-2018-35,548.64,2.17,0.51,5.79,425.0,267.0,0.08,US-Tomahawk 1,Mowry
WRB-2018-36,577.596,2.12,0.37,4.23,426.0,200.0,0.08,US-Tomahawk 1,Mowry
WRB-2018-37,758.952,2.04,0.25,3.45,428.0,169.0,0.07,Govt 1-9-C,Mowry
WRB-2018-38,777.24,2.83,0.59,9.4,418.0,332.0,0.06,Govt 1-9-C,Mowry
WRB-2018-39,795.528,3.19,0.44,9.35,417.0,293.0,0.04,Govt 1-9-C,Mowry
WRB-2018-40,815.34,2.43,0.2,1.31,422.0,54.0,0.13,Govt 1-9-C,Mowry
WRB-2018-43,166.116,2.23,0.37,5.09,432.0,228.0,0.07,1 Govt.,Mowry
WRB-2018-44,199.644,2.87,0.58,9.35,428.0,326.0,0.06,1 Govt.,Mowry
WRB-2018-45,96.012,2.67,0.54,8.66,430.0,324.0,0.06,2 Federal,Mowry
WRB-2018-46,108.20400000000001,3.26,0.62,12.8,426.0,392.0,0.05,2 Federal,Mowry
WRB-2018-47,121.92,3.34,0.51,12.09,426.0,361.0,0.04,2 Federal,Mowry
WRB-2018-48,729.996,2.8,0.58,10.25,424.0,366.0,0.05,Tysor 1-B,Mowry
WRB-2018-49,738.378,2.81,0.65,8.32,427.0,296.0,0.07,Tysor 1-B,Mowry
WRB-2018-50,744.474,2.57,0.49,7.56,426.0,294.0,0.06,Tysor 1-B,Mowry
WRB-2018-52,170.68800000000002,1.38,0.17,1.58,430.0,114.0,0.1,Bonnette-Federal 1,Mowry
WRB-2018-53,193.548,2.68,0.51,9.33,424.0,348.0,0.05,Bonnette-Federal 1,Mowry
WRB-2018-54,336.80400000000003,1.81,0.48,3.03,427.0,168.0,0.14,1 Little Shield,Mowry
WRB-2018-56,172.21200000000002,1.67,0.3,2.04,426.0,122.0,0.13,1 Henton,Mowry
WRB-2018-57,211.836,1.57,0.22,1.69,434.0,108.0,0.12,1 Henton,Mowry
WRB-2018-58,242.316,2.38,0.4,5.67,426.0,238.0,0.07,1 Henton,Mowry
WRB-2018-61,556.26,1.87,0.26,3.41,427.0,183.0,0.07,Federal 1-30,Mowry
WRB-2018-62,565.404,2.16,0.34,6.06,423.0,281.0,0.05,Federal 1-30,Mowry
WRB-2018-63,594.36,1.8,0.36,3.48,425.0,193.0,0.09,Tribal 1,Mowry
WRB-2018-64,138.684,3.46,0.55,10.89,423.0,315.0,0.05,1 Govt.,Mowry
WRB-2018-65,144.78,2.36,0.33,4.28,429.0,181.0,0.07,1 Govt.,Mowry
WRB-2018-66,156.972,4.04,0.77,14.93,419.0,369.0,0.05,1 Govt.,Mowry
WRB-2018-67,184.404,2.96,0.64,8.77,422.0,296.0,0.07,1 Govt.,Mowry
WRB-2018-68,279.654,2.61,0.3,4.2,431.0,161.0,0.07,1 Sprague,Mowry
WRB-2018-69,298.704,3.19,0.39,6.38,427.0,200.0,0.06,1 Sprague,Mowry
WRB-2018-70,278.892,2.1,0.3,5.22,428.0,249.0,0.05,Morton-Govt-1,Mowry
WRB-2018-71,300.228,3.88,0.46,13.76,420.0,355.0,0.03,Morton-Govt-1,Mowry
