map#,API,Operator,Well,Latitude,Longitude,Tnsp,Rng,sec,QQ,Meridian,Elev_feet,Ref,sample#,top_feet,bottom_feet,Formation,%carbonate_(TC-TOC)*8.33,%carbonate_insoluble_residue,%carbonate_XRD,Tmax°C,S1_mgHC/g-rock,S2_mgHC/g-rock,GP_S1+S2,S3_mgCO2/g-rock,PI_S1/(S1+S2),S2/S3,LECO_TOC_wt.%,TC_wt.%,HI_(S2/TOC)*100,OI_(S3/TOC)*100,(S1/TOC)*100,CRC,LIMS_ID,Lab,comments
1,4904305009,Superior Oil,Orchard Ranch 24-5,43.63417,-107.56729,42N,89W,5,se sw,Sixth Principal,"5,340",KB,BHB-2017-1a,470,510,chalk kick,50.31,,,421,0.61,10.53,11.14,1.51,0.05,7,3.44,9.48,306,44,18,CZ01838,E170806-001,USGS,
1,4904305009,Superior Oil,Orchard Ranch 24-5,43.63417,-107.56729,42N,89W,5,se sw,Sixth Principal,"5,340",KB,BHB-2017-1b,470,510,chalk kick,20.74,,20,425,0.46,5.35,5.81,0.89,0.08,6,2.59,5.08,207,34,18,CZ01838,E170806-002,USGS,
1,4904305009,Superior Oil,Orchard Ranch 24-5,43.63417,-107.56729,42N,89W,5,se sw,Sixth Principal,"5,340",KB,BHB-2017-2,440,470,Niobrara,12.16,,12,427,0.34,3.29,3.63,0.84,0.09,4,1.97,3.43,167,43,17,CZ01838,E170806-003,USGS,
1,4904305009,Superior Oil,Orchard Ranch 24-5,43.63417,-107.56729,42N,89W,5,se sw,Sixth Principal,"5,340",KB,BHB-2017-3,570,590,Sage Breaks,22.91,,22,419,0.45,11.71,12.16,0.89,0.04,13,3.28,6.03,357,27,14,CZ01838,E170806-004,USGS,
2,4901720109,Clayton Corp.,Federal 1-14,43.616588,-107.627861,42N,90W,14,ne nw,Sixth Principal,"5,205",KB,BHB-2017-4,610,640,chalk kick,13.91,,14,421,0.36,7.46,7.82,0.78,0.05,10,2.39,4.06,312,33,15,CZ09837,E170806-005,USGS,
2,4901720109,Clayton Corp.,Federal 1-14,43.616588,-107.627861,42N,90W,14,ne nw,Sixth Principal,"5,205",KB,BHB-2017-5,570,600,Niobrara,19.08,,17,423,0.31,7.63,7.94,0.96,0.04,8,2.52,4.81,303,38,12,CZ09837,E170806-006,USGS,
2,4901720109,Clayton Corp.,Federal 1-14,43.616588,-107.627861,42N,90W,14,ne nw,Sixth Principal,"5,205",KB,BHB-2017-6,650,680,Sage Breaks,13.58,,13,424,0.23,7.24,7.47,0.86,0.03,8,2.49,4.12,291,35,9,CZ09837,E170806-007,USGS,
3,4901705474,Continental Oil,Gebo Unit 42,43.763841,-108.218408,44N,95W,23,se se,Sixth Principal,"4,505",KB,BHB-2017-7,"1,150","1,180",Niobrara,11.5,,7,431,0.2,1.28,1.48,0.59,0.14,2,1.04,2.42,123,57,19,CZ00139,E170806-008,USGS,
3,4901705474,Continental Oil,Gebo Unit 42,43.763841,-108.218408,44N,95W,23,se se,Sixth Principal,"4,505",KB,BHB-2017-8,"1,180","1,200",chalk kick,10.58,,6,428,0.45,1.58,2.03,0.69,0.22,2,1.11,2.38,142,62,41,CZ00139,E170806-009,USGS,
3,4901705474,Continental Oil,Gebo Unit 42,43.763841,-108.218408,44N,95W,23,se se,Sixth Principal,"4,505",KB,BHB-2017-9,"1,240","1,260",Sage Breaks,16.83,,14,428,0.28,2.83,3.11,0.59,0.09,5,1.48,3.5,191,40,19,CZ00139,E170806-010,USGS,
4,4901705830,Dyer ,Govt. 1,43.789727,-108.491331,44N,97W,10,sw sw,Sixth Principal,"5,148",KB,BHB-2017-10,"1,160","1,210",chalk kick,11.66,,10,427,0.29,4.07,4.36,0.81,0.07,5,1.64,3.04,248,49,18,CZ01248,E170806-011,USGS,
4,4901705830,Dyer ,Govt. 1,43.789727,-108.491331,44N,97W,10,sw sw,Sixth Principal,"5,148",KB,BHB-2017-11,"1,100","1,140",Niobrara,13.16,,10,427,0.18,1.53,1.71,0.56,0.11,3,1.26,2.84,121,44,14,CZ01248,E170806-012,USGS,
4,4901705830,Dyer ,Govt. 1,43.789727,-108.491331,44N,97W,10,sw sw,Sixth Principal,"5,148",KB,BHB-2017-12,975,995,Niobrara,7.66,,4,429,0.2,0.92,1.12,0.61,0.18,2,1.08,2,87,56,19,CZ01248,E170806-013,USGS,
5,4901720046,Royal Resources,Christensen-Fed 1-6,43.81217,-108.655068,44N,98W,6,se ne,Sixth Principal,"5,490",KB,BHB-2017-13,550,610,Niobrara,6.83,,5,431,0.34,1.58,1.92,0.61,0.18,3,1.16,1.98,136,53,29,CZ07934,E170806-014,USGS,
5,4901720046,Royal Resources,Christensen-Fed 1-6,43.81217,-108.655068,44N,98W,6,se ne,Sixth Principal,"5,490",KB,BHB-2017-14,490,550,Niobrara,8.83,,7,432,0.28,1.43,1.71,0.65,0.16,2,1.02,2.08,140,64,27,CZ07934,E170806-015,USGS,
