Sample_ID,Depth_m,TOC_wt,S1_mgg,S2_mgg,Tmax_C,HI,PI,Well,Formation
BHB-2017-2,138.684,1.97,0.34,3.29,427.0,167.0,0.09,Orchard Ranch 24-5,Niobrara
BHB-2017-5,178.30800000000002,2.52,0.31,7.63,423.0,303.0,0.04,Federal 1-14,Niobrara
BHB-2017-7,355.09200000000004,1.04,0.2,1.28,431.0,123.0,0.14,Gebo Unit 42,Niobrara
BHB-2017-11,341.37600000000003,1.26,0.18,1.53,427.0,121.0,0.11,Govt. 1,Niobrara
BHB-2017-12,300.228,1.08,0.2,0.92,429.0,87.0,0.18,Govt. 1,Niobrara
BHB-2017-13,176.78400000000002,1.16,0.34,1.58,431.0,136.0,0.18,Christensen-Fed 1-6,Niobrara
BHB-2017-14,158.496,1.02,0.28,1.43,432.0,140.0,0.16,Christensen-Fed 1-6,Niobrara
BHB-2017-23,1135.38,1.01,0.19,0.6,431.0,59.0,0.24,Kinahan-Govt. 27-7,Niobrara
BHB-2017-24,1104.9,0.97,0.14,0.65,433.0,67.0,0.18,Kinahan-Govt. 27-7,Niobrara
BHB-2017-33,356.61600000000004,1.06,0.11,0.66,429.0,62.0,0.14,Govt. Caldwell 1,Niobrara
BHB-2017-36,646.176,1.17,0.42,1.27,431.0,109.0,0.25,Little Grass Ck. Unit 1,Niobrara
BHB-2017-41,256.03200000000004,0.91,0.19,0.59,429.0,65.0,0.24,Rosebud Govt. 1,Niobrara
BHB-2017-44,231.64800000000002,2.0,0.33,5.01,424.0,251.0,0.06,State 1,Niobrara
BHB-2017-45,208.788,1.3,0.18,1.75,430.0,135.0,0.09,State 1,Niobrara
BHB-2017-51,140.208,1.38,0.27,2.11,429.0,153.0,0.11,1 Govt. Mann,Niobrara
BHB-2017-52,96.012,1.33,0.28,1.9,431.0,143.0,0.13,1 Govt. Mann,Niobrara
BHB-2017-56,615.696,1.02,0.09,1.16,432.0,114.0,0.07,Skelton 4,Niobrara
BHB-2017-57,524.256,0.91,0.07,0.7,433.0,77.0,0.09,Skelton 4,Niobrara
BHB-2017-61,419.1,1.0,0.13,0.24,428.0,24.0,0.35,Rawhide Unit 2,Niobrara/chalk
BHB-2017-62,388.62,0.92,0.23,0.41,428.0,45.0,0.36,Rawhide Unit 2,Niobrara
BHB-2017-63,114.30000000000001,2.27,0.44,5.1,426.0,225.0,0.08,"O'Mahoney ""A"" 1",Niobrara
BHB-2017-64,83.82000000000001,1.3,0.31,1.01,428.0,78.0,0.23,"O'Mahoney ""A"" 1",Niobrara
BHB-2017-66,117.348,1.68,0.24,3.57,426.0,213.0,0.06,1 Corley Govt.,Niobrara
BHB-2017-69,397.764,1.04,0.12,0.66,432.0,63.0,0.15,LLB Unit 45,Niobrara
BHB-2017-70,434.34000000000003,0.92,0.1,0.38,430.0,41.0,0.21,LLB Unit 45,Niobrara
BHB-2017-73,449.58000000000004,0.92,0.19,0.94,426.0,102.0,0.17,Govt. 1,Niobrara
BHB-2017-74,478.536,1.76,0.27,3.06,425.0,174.0,0.08,Govt. 1,Niobrara
BHB-2017-75,409.956,0.68,0.13,0.37,425.0,54.0,0.26,Govt. 1,Niobrara
BHB-2011-1,307.848,1.09,0.3,1.26,428.0,116.0,0.19,LA Sheep 35-1,Niobrara
BHB-2011-5,420.624,0.83,0.28,0.88,431.0,106.0,0.24,USA C-1,Niobrara
BHB-2011-12,481.584,1.0,0.16,0.68,431.0,68.0,0.19,Unit 6,Niobrara
BHB-2011-13,594.36,1.09,0.45,0.96,430.0,88.0,0.32,Unit 6,Niobrara
BHB-2011-16,505.968,1.28,0.22,1.06,431.0,83.0,0.17,Govt.-Lockhart 1,Niobrara
BHB-2011-17,608.076,0.95,0.21,0.8,432.0,84.0,0.21,Govt.-Lockhart 1,Niobrara
BHB-2011-21,167.64000000000001,1.86,0.52,2.2,428.0,118.0,0.19,1-14 Chambers-Fed.,Niobrara
BHB-2011-22,234.696,2.06,0.65,4.36,424.0,212.0,0.13,1-14 Chambers-Fed.,Niobrara
BHB-2011-25,341.37600000000003,1.78,0.43,2.55,427.0,143.0,0.14,Unit 2,Niobrara
BHB-2011-29,256.03200000000004,1.41,0.26,2.04,428.0,145.0,0.11,USA 1-B,Niobrara
BHB-2011-33,411.48,1.15,0.24,0.3,435.0,26.0,0.44,1 Govt.,Niobrara
BHB-2011-35,190.5,0.61,0.15,0.54,432.0,89.0,0.22,Federal LK 1,Niobrara
BHB-2011-41,684.2760000000001,1.17,0.27,1.3,427.0,111.0,0.17,Unit 73-27,Niobrara
BHB-2011-42,830.58,1.15,0.23,1.17,431.0,102.0,0.16,Unit 73-27,Niobrara
BHB-2011-45,774.192,1.21,0.21,1.74,430.0,144.0,0.11,Jolly Unit 42-19,Niobrara
BHB-2011-48,451.10400000000004,0.93,0.25,0.74,431.0,80.0,0.25,3 Ltd.,Niobrara
BHB-2011-51,336.80400000000003,1.08,0.27,1.17,430.0,108.0,0.19,1-1 Pat O'Hara,Niobrara
BHB-2011-54,502.92,1.51,0.27,1.18,428.0,78.0,0.19,1 Henderson,Niobrara
