Sample_ID,API,Longitude,Latitude,Coord_Source,Sample_Depth,Depth_Range,Formation,Member,State,County,Notes
S1,23037214850000,31.5635,-91.14069,MSOGB,10173.525,10173.4-10173.65,Tuscaloosa Group,Tuscaloosa marine shale,Mississippi,Franklin,Coordinates verified January 2018.
S2,23037214850000,31.5635,-91.14069,MSOGB,10192.925,10192.8-10193.05,Tuscaloosa Group,Tuscaloosa marine shale,Mississippi,Franklin,Coordinates verified January 2018.
S3,23005202440000,31.0212655,-90.7085869,MSOGB,1211,1211,Tuscaloosa Group,Tuscaloosa marine shale,Mississippi,Amite,"Coordinates were converted from MSOGB section, township, and range to central meridian longitude and latitude using Earth Point (http://www.earthpoint.us/TownshipsSearchByDescription.aspx) on 1/23/18."
S4,23005202440000,31.0212655,-90.7085869,MSOGB,12112.5,12112.5,Tuscaloosa Group,Tuscaloosa marine shale,Mississippi,Amite,"Coordinates were converted from MSOGB section, township, and range to central meridian longitude and latitude using Earth Point (http://www.earthpoint.us/TownshipsSearchByDescription.aspx) on 1/23/18."
S5,23005202440000,31.0212655,-90.7085869,MSOGB,12116.9,12116.9,Tuscaloosa Group,Tuscaloosa marine shale,Mississippi,Amite,"Coordinates were converted from MSOGB section, township, and range to central meridian longitude and latitude using Earth Point (http://www.earthpoint.us/TownshipsSearchByDescription.aspx) on 1/23/18."
S6,23005202440000,31.0212655,-90.7085869,MSOGB,12118.45,12118.45,Tuscaloosa Group,Tuscaloosa marine shale,Mississippi,Amite,"Coordinates were converted from MSOGB section, township, and range to central meridian longitude and latitude using Earth Point (http://www.earthpoint.us/TownshipsSearchByDescription.aspx) on 1/23/18."
S7,23005202440000,31.0212655,-90.7085869,MSOGB,12140,12140,Tuscaloosa Group,Tuscaloosa marine shale,Mississippi,Amite,"Coordinates were converted from MSOGB section, township, and range to central meridian longitude and latitude using Earth Point (http://www.earthpoint.us/TownshipsSearchByDescription.aspx) on 1/23/18."
S8,23113000860000,31.2114183,-90.3366322,MSOGB,10659.5,10659-10660,Tuscaloosa Group,Tuscaloosa marine shale,Mississippi,Pike,"Coordinates were converted from MSOGB section, township, and range to central meridian longitude and latitude using Earth Point (http://www.earthpoint.us/TownshipsSearchByDescription.aspx) on 1/23/18."
S9,23113000860000,31.2114183,-90.3366322,MSOGB,10668.5,10668-10669,Tuscaloosa Group,Tuscaloosa marine shale,Mississippi,Pike,"Coordinates were converted from MSOGB section, township, and range to central meridian longitude and latitude using Earth Point (http://www.earthpoint.us/TownshipsSearchByDescription.aspx) on 1/23/18."
S10,23113000860000,31.2114183,-90.3366322,MSOGB,10660.5,10660-10661,Tuscaloosa Group,Tuscaloosa marine shale,Mississippi,Pike,"Coordinates were converted from MSOGB section, township, and range to central meridian longitude and latitude using Earth Point (http://www.earthpoint.us/TownshipsSearchByDescription.aspx) on 1/23/18."
