sample,D,knee_Pt_psia,Pt_1%_psia,Pt_2%_psia,Pt_5%_psia,Pt_10%_psia
S1,2.698986157217135,16300.0,2630.0,2910.0,4360.0,5920.0
S2,2.7703008707063566,16300.0,3940.0,4360.0,5340.0,8020.0
S3,2.558037836900212,10900.0,1060.0,1170.0,1430.0,1940.0
S4,2.645722839629797,16300.0,1940.0,2150.0,2910.0,4830.0
S5,2.5114993904462737,9820.0,779.0,862.0,1060.0,1290.0
S6,3.0086119106162834,16300.0,6550.0,7250.0,8020.0,9820.0
S7,2.922866853880623,13300.0,5340.0,5910.0,8020.0,10900.0
S8,2.578792065598292,24500.0,4370.0,4830.0,5920.0,8880.0
S9,2.657627726799751,10900.0,954.0,1060.0,1430.0,1940.0
S10,2.5073153138479163,20000.0,1940.0,2150.0,2630.0,3560.0
S11,2.8655593290406194,27100.0,8870.0,8870.0,10900.0,13300.0
S12,2.8232774029673275,27100.0,6550.0,7240.0,8020.0,10900.0
S13,2.6043759352128295,13300.0,1060.0,1170.0,1580.0,2150.0
S14,2.505907478639675,13300.0,1170.0,1290.0,1750.0,2910.0
S15,2.652334224985208,12000.0,1430.0,1580.0,1940.0,2380.0
S16,3.046105001221682,18000.0,5350.0,5920.0,6550.0,8870.0
S17,3.7424885199841644,16300.0,8870.0,9820.0,12000.0,13300.0
S18,2.756069733639653,16300.0,3220.0,3560.0,4830.0,7250.0
S19,2.911593927592305,16300.0,4830.0,5350.0,6550.0,8870.0
S20,2.832114279297209,16300.0,3570.0,3950.0,5350.0,8020.0
S21,2.811853602163146,16300.0,3570.0,3950.0,4830.0,5910.0
S22,2.837547435892934,22100.0,5350.0,5920.0,7240.0,9820.0
S23,2.7665943633161736,16300.0,3220.0,3560.0,4830.0,7240.0
S24,3.0132070890594136,13300.0,3950.0,3950.0,5350.0,7240.0
S25,2.9418499055226413,16300.0,4360.0,5350.0,7250.0,10900.0
S26,2.566847264259389,27100.0,6550.0,6550.0,8020.0,9820.0
S27,2.6908201490020978,20000.0,4830.0,5350.0,6550.0,8020.0
S28,3.1299453423046564,33100.0,8870.0,8870.0,9820.0,12000.0
S29,2.5932645485116805,12000.0,779.0,862.0,954.0,1290.0
S30,2.6222012200768985,27100.0,4830.0,5350.0,7250.0,9820.0
S31,2.9180516757719035,27100.0,6550.0,7250.0,8020.0,9820.0
