# delta,gap,coarse,fine
0.000000000000000000e+00,0.000000000000000000e+00,2.329811442383929176e-02,1.144537610991077509e-01
2.000000000000000042e-03,3.557637712447103695e-03,9.251858538542970657e-18,8.845885100419792479e-02
4.000000000000000083e-03,7.119432541783154988e-03,1.619075244245020058e-17,8.803297689515282576e-02
6.000000000000000125e-03,1.068537364282118318e-02,6.938893903907228378e-18,8.761132988308178993e-02
8.000000000000000167e-03,1.425545010419337899e-02,4.625929269271485328e-18,8.719397367304970725e-02
1.000000000000000021e-02,1.782965094852428933e-02,4.625929269271485328e-18,8.678097233229196961e-02
1.200000000000000025e-02,2.140796513263421019e-02,2.312964634635742664e-18,8.637239026729574831e-02
1.400000000000000029e-02,2.499038154770438780e-02,2.312964634635742664e-18,8.596829219949909950e-02
1.600000000000000033e-02,2.857688901936583648e-02,0.000000000000000000e+00,8.556874313957893441e-02
1.800000000000000211e-02,3.216747630808836078e-02,2.312964634635742664e-18,8.517380836030315205e-02
2.000000000000000042e-02,3.576213210910594853e-02,1.387778780781445676e-17,8.478355336791530694e-02
2.199999999999999872e-02,3.936084505280224022e-02,9.251858538542970657e-18,8.439804387203517222e-02
2.400000000000000050e-02,4.296360370480911683e-02,1.156482317317871448e-17,8.401734575405425676e-02
2.600000000000000228e-02,4.657039656621364543e-02,6.938893903907228378e-18,8.364152503400444638e-02
2.800000000000000058e-02,5.018121207375703108e-02,6.938893903907228378e-18,8.327064783589280261e-02
2.999999999999999889e-02,5.379603860001225257e-02,1.619075244245020058e-17,8.290478035148844682e-02
3.200000000000000067e-02,5.741486445357857349e-02,6.938893903907228378e-18,8.254398880255173210e-02
3.400000000000000244e-02,6.103767787934266664e-02,9.251858538542970657e-18,8.218833940151318296e-02
3.600000000000000422e-02,6.466446705850614762e-02,4.625929269271485328e-18,8.183789831058913000e-02
3.799999999999999906e-02,6.829522010901278861e-02,4.625929269271485328e-18,8.149273159935729871e-02
4.000000000000000083e-02,7.192992508557161102e-02,6.938893903907228378e-18,8.115290520078785597e-02
4.200000000000000261e-02,7.556856997995708980e-02,1.387778780781445676e-17,8.081848486575800294e-02
4.399999999999999745e-02,7.921114272118234823e-02,1.387778780781445676e-17,8.048953611606471381e-02
4.599999999999999922e-02,8.285763117568389902e-02,9.251858538542970657e-18,8.016612419596545747e-02
4.800000000000000100e-02,8.650802314756500522e-02,2.312964634635742664e-18,7.984831402228337316e-02
5.000000000000000278e-02,9.016230637879907306e-02,6.938893903907228378e-18,7.953617013310779194e-02
5.200000000000000455e-02,9.382046854941972214e-02,6.938893903907228378e-18,7.922975663514666977e-02
5.399999999999999939e-02,9.748249727779256801e-02,1.850371707708594131e-17,7.892913714977316253e-02
5.600000000000000117e-02,1.011483801207138100e-01,1.156482317317871448e-17,7.863437475783265074e-02
5.800000000000000294e-02,1.048181045737903716e-01,0.000000000000000000e+00,7.834553194327086023e-02
5.999999999999999778e-02,1.084916580714638812e-01,9.251858538542970657e-18,7.806267053565872638e-02
6.199999999999999956e-02,1.121690279874361096e-01,4.625929269271485328e-18,7.778585165169207838e-02
6.400000000000000133e-02,1.158502016347524588e-01,1.156482317317871448e-17,7.751513563575171406e-02
6.600000000000000311e-02,1.195351662660533165e-01,6.938893903907228378e-18,7.725058199961996885e-02
6.800000000000000488e-02,1.232239090737756726e-01,2.312964634635742664e-18,7.699224936145175613e-02
7.000000000000000666e-02,1.269164171904737515e-01,1.619075244245020058e-17,7.674019538410803420e-02
7.200000000000000844e-02,1.306126776889389163e-01,4.625929269271485328e-18,7.649447671296633056e-02
7.399999999999999634e-02,1.343126775824430297e-01,9.251858538542970657e-18,7.625514891332801914e-02
7.599999999999999811e-02,1.380164038250848435e-01,4.625929269271485328e-18,7.602226640754988773e-02
7.799999999999999989e-02,1.417238433118521712e-01,0.000000000000000000e+00,7.579588241203066845e-02
8.000000000000000167e-02,1.454349828789673893e-01,4.625929269271485328e-18,7.557604887419548667e-02
8.200000000000000344e-02,1.491498093040597439e-01,6.938893903907228378e-18,7.536281640961739470e-02
8.400000000000000522e-02,1.528683093064771015e-01,4.625929269271485328e-18,7.515623423942816017e-02
8.600000000000000699e-02,1.565904695474333863e-01,1.156482317317871448e-17,7.495635012816885545e-02
8.799999999999999489e-02,1.603162766303007913e-01,9.251858538542970657e-18,7.476321032223945395e-02
8.999999999999999667e-02,1.640457171008202764e-01,9.251858538542970657e-18,7.457685948910733331e-02
9.199999999999999845e-02,1.677787774473920024e-01,0.000000000000000000e+00,7.439734065743591751e-02
9.400000000000000022e-02,1.715154441012529674e-01,9.251858538542970657e-18,7.422469515830107389e-02
9.600000000000000200e-02,1.752557034367701050e-01,6.938893903907228378e-18,7.405896256766045238e-02
9.800000000000000377e-02,1.789995417716045978e-01,0.000000000000000000e+00,7.390018065024105132e-02
1.000000000000000056e-01,1.827469453670964583e-01,1.387778780781445676e-17,7.374838530501476308e-02
1.020000000000000073e-01,1.864979004283835451e-01,4.625929269271485328e-18,7.360361051242560182e-02
1.040000000000000091e-01,1.902523931047346295e-01,1.619075244245020058e-17,7.346588828353110834e-02
1.059999999999999970e-01,1.940104094896852871e-01,6.938893903907228378e-18,7.333524861122169003e-02
1.079999999999999988e-01,1.977719356214020507e-01,6.938893903907228378e-18,7.321171942367342422e-02
1.100000000000000006e-01,2.015369574829559696e-01,2.312964634635742664e-18,7.309532654018935371e-02
1.120000000000000023e-01,2.053054610023963278e-01,2.312964634635742664e-18,7.298609362957156343e-02
1.140000000000000041e-01,2.090774320531973984e-01,4.625929269271485328e-18,7.288404217117530615e-02
1.160000000000000059e-01,2.128528564543836765e-01,0.000000000000000000e+00,7.278919141876832866e-02
1.180000000000000077e-01,2.166317199708798213e-01,9.251858538542970657e-18,7.270155836733345478e-02
1.199999999999999956e-01,2.204140083137042794e-01,1.387778780781445676e-17,7.262115772292344895e-02
1.219999999999999973e-01,2.241997071402312969e-01,1.850371707708594131e-17,7.254800187568412329e-02
1.239999999999999991e-01,2.279888020544724725e-01,4.625929269271485328e-18,7.248210087614237462e-02
1.260000000000000009e-01,2.317812786073458753e-01,4.625929269271485328e-18,7.242346241484592939e-02
1.280000000000000027e-01,2.355771222968527923e-01,1.156482317317871448e-17,7.237209180543711928e-02
1.300000000000000044e-01,2.393763185684640860e-01,2.312964634635742664e-18,7.232799197122354029e-02
1.320000000000000062e-01,2.431788528152818429e-01,4.625929269271485328e-18,7.229116343529953803e-02
1.340000000000000080e-01,2.469847103783635589e-01,0.000000000000000000e+00,7.226160431426240094e-02
1.360000000000000098e-01,2.507938765469441833e-01,9.251858538542970657e-18,7.223931031555044791e-02
1.380000000000000115e-01,2.546063365587052374e-01,0.000000000000000000e+00,7.222427473841848411e-02
1.400000000000000133e-01,2.584220756000767949e-01,6.938893903907228378e-18,7.221648847855806352e-02
1.420000000000000151e-01,2.622410788064533094e-01,0.000000000000000000e+00,7.221594003634475289e-02
1.440000000000000169e-01,2.660633312625195757e-01,2.312964634635742895e-17,7.222261552869853329e-02
1.459999999999999909e-01,2.698888180024576755e-01,1.156482317317871448e-17,7.223649870451515076e-02
1.479999999999999927e-01,2.737175240102383000e-01,4.625929269271485328e-18,7.225757096362096787e-02
1.499999999999999944e-01,2.775494342199218423e-01,0.000000000000000000e+00,7.228581137919437571e-02
1.519999999999999962e-01,2.813845335158324801e-01,0.000000000000000000e+00,7.232119672357463502e-02
1.539999999999999980e-01,2.852228067329756200e-01,1.156482317317871448e-17,7.236370149738140245e-02
1.559999999999999998e-01,2.890642386571773415e-01,6.938893903907228378e-18,7.241329796184096945e-02
1.580000000000000016e-01,2.929088140254556549e-01,6.938893903907228378e-18,7.246995617422342939e-02
1.600000000000000033e-01,2.967565175261581700e-01,2.312964634635742664e-18,7.253364402626283347e-02
1.620000000000000051e-01,3.006073337994168426e-01,4.625929269271485328e-18,7.260432728545056225e-02
1.640000000000000069e-01,3.044612474372794253e-01,9.251858538542970657e-18,7.268196963905451669e-02
1.660000000000000087e-01,3.083182429840203298e-01,4.625929269271485328e-18,7.276653274073288657e-02
1.680000000000000104e-01,3.121783049364701412e-01,0.000000000000000000e+00,7.285797625959222756e-02
1.700000000000000122e-01,3.160414177442074646e-01,1.156482317317871448e-17,7.295625793153455441e-02
1.720000000000000140e-01,3.199075658098973207e-01,1.387778780781445676e-17,7.306133361273967064e-02
1.740000000000000158e-01,3.237767334895433891e-01,6.938893903907228378e-18,7.317315733511359221e-02
1.759999999999999898e-01,3.276489050927562374e-01,4.625929269271485328e-18,7.329168136354423380e-02
1.779999999999999916e-01,3.315240648830251047e-01,1.387778780781445676e-17,7.341685625479062172e-02
1.799999999999999933e-01,3.354021970780758366e-01,6.938893903907228378e-18,7.354863091783593598e-02
1.819999999999999951e-01,3.392832858500121063e-01,9.251858538542970657e-18,7.368695267553816708e-02
1.839999999999999969e-01,3.431673153257515096e-01,4.625929269271485328e-18,7.383176732740152903e-02
1.859999999999999987e-01,3.470542695871365879e-01,4.625929269271485328e-18,7.398301921330095732e-02
1.880000000000000004e-01,3.509441326713726994e-01,0.000000000000000000e+00,7.414065127799307486e-02
1.900000000000000022e-01,3.548368885711647991e-01,9.251858538542970657e-18,7.430460513624512209e-02
1.920000000000000040e-01,3.587325212352006076e-01,6.938893903907228378e-18,7.447482113841856488e-02
1.940000000000000058e-01,3.626310145681266306e-01,2.312964634635742664e-18,7.465123843634852152e-02
1.960000000000000075e-01,3.665323524311174808e-01,1.387778780781445676e-17,7.483379504936558957e-02
1.980000000000000093e-01,3.704365186420863765e-01,2.312964634635742664e-18,7.502242793030507173e-02
2.000000000000000111e-01,3.743434969757846176e-01,4.625929269271485328e-18,7.521707303136063172e-02
2.020000000000000129e-01,3.782532711643531442e-01,2.312964634635742664e-18,7.541766536964437939e-02
2.040000000000000147e-01,3.821658248974824090e-01,1.387778780781445676e-17,7.562413909231535669e-02
2.060000000000000164e-01,3.860811418225527092e-01,4.625929269271485328e-18,7.583642754115282880e-02
2.080000000000000182e-01,3.899992055452372597e-01,1.619075244245020058e-17,7.605446331645170088e-02
2.099999999999999922e-01,3.939199996294835415e-01,2.312964634635742664e-18,7.627817834012665110e-02
2.119999999999999940e-01,3.978435075979680491e-01,0.000000000000000000e+00,7.650750391791703853e-02
2.139999999999999958e-01,4.017697129323547500e-01,0.000000000000000000e+00,7.674237080059630178e-02
2.159999999999999976e-01,4.056985990734895964e-01,1.619075244245020058e-17,7.698270924408845417e-02
2.179999999999999993e-01,4.096301494219112271e-01,9.251858538542970657e-18,7.722844906841117019e-02
2.200000000000000011e-01,4.135643473377772494e-01,0.000000000000000000e+00,7.747951971536312654e-02
2.220000000000000029e-01,4.175011761414957334e-01,9.251858538542970657e-18,7.773585030489044145e-02
2.240000000000000047e-01,4.214406191137864965e-01,2.312964634635742664e-18,7.799736969006243470e-02
2.260000000000000064e-01,4.253826594961633845e-01,2.081668171172168513e-17,7.826400651060541613e-02
2.280000000000000082e-01,4.293272804909546991e-01,6.938893903907228378e-18,7.853568924494144787e-02
2.300000000000000100e-01,4.332744652618956138e-01,6.938893903907228378e-18,7.881234626069229254e-02
2.320000000000000118e-01,4.372241969341406076e-01,1.619075244245020058e-17,7.909390586360742770e-02
2.340000000000000135e-01,4.411764585947448580e-01,1.156482317317871448e-17,7.938029634489222885e-02
2.360000000000000153e-01,4.451312332928498705e-01,1.387778780781445676e-17,7.967144602690720556e-02
2.380000000000000171e-01,4.490885040399694716e-01,4.625929269271485328e-18,7.996728330722265021e-02
2.399999999999999911e-01,4.530482538103548507e-01,2.312964634635742664e-18,8.026773670101335079e-02
2.419999999999999929e-01,4.570104655412574601e-01,6.938893903907228378e-18,8.057273488179164667e-02
2.439999999999999947e-01,4.609751221330773419e-01,4.625929269271485328e-18,8.088220672046836368e-02
2.459999999999999964e-01,4.649422064498542895e-01,0.000000000000000000e+00,8.119608132274949708e-02
2.479999999999999982e-01,4.689117013194703532e-01,1.387778780781445676e-17,8.151428806487617806e-02
2.500000000000000000e-01,4.728835895338860951e-01,1.619075244245020058e-17,8.183675662771101866e-02
2.520000000000000018e-01,4.768578538494629981e-01,9.251858538542970657e-18,8.216341702919482959e-02
2.540000000000000036e-01,4.808344769873755808e-01,1.387778780781445676e-17,8.249419965518621500e-02
2.560000000000000053e-01,4.848134416336247199e-01,2.312964634635742664e-18,8.282903528870497190e-02
2.580000000000000071e-01,4.887947304396043080e-01,4.625929269271485328e-18,8.316785513760557857e-02
2.600000000000000089e-01,4.927783260222255990e-01,9.251858538542970657e-18,8.351059086070901361e-02
2.620000000000000107e-01,4.967642109642387283e-01,2.312964634635742664e-18,8.385717459241599780e-02
2.640000000000000124e-01,5.007523678145631152e-01,2.312964634635742664e-18,8.420753896584187714e-02
2.660000000000000142e-01,5.047427790885254950e-01,1.387778780781445676e-17,8.456161713449712736e-02
2.680000000000000160e-01,5.087354272681752221e-01,6.938893903907228378e-18,8.491934279255629325e-02
2.700000000000000178e-01,5.127302948025835860e-01,9.251858538542970657e-18,8.528065019374671263e-02
2.720000000000000195e-01,5.167273641080214475e-01,1.387778780781445676e-17,8.564547416889765896e-02
2.740000000000000213e-01,5.207266175684894804e-01,0.000000000000000000e+00,8.601375014218602677e-02
2.760000000000000231e-01,5.247280375357030735e-01,0.000000000000000000e+00,8.638541414611913827e-02
2.780000000000000249e-01,5.287316063295888213e-01,1.387778780781445676e-17,8.676040283529576347e-02
2.800000000000000266e-01,5.327373062385394320e-01,4.625929269271485328e-18,8.713865349898412827e-02
2.820000000000000284e-01,5.367451195196224489e-01,1.387778780781445676e-17,8.752010407255877977e-02
2.840000000000000302e-01,5.407550283989426276e-01,1.156482317317871448e-17,8.790469314783523613e-02
2.860000000000000320e-01,5.447670150719305937e-01,0.000000000000000000e+00,8.829235998234831462e-02
2.880000000000000338e-01,5.487810617035728811e-01,9.251858538542970657e-18,8.868304450760670921e-02
2.899999999999999800e-01,5.527971504287263471e-01,1.850371707708594131e-17,8.907668733637545688e-02
2.919999999999999818e-01,5.568152633524290351e-01,2.081668171172168513e-17,8.947322976901465885e-02
2.939999999999999836e-01,5.608353825501772860e-01,1.156482317317871448e-17,8.987261379892380608e-02
2.959999999999999853e-01,5.648574900681255784e-01,4.625929269271485328e-18,9.027478211712529343e-02
2.979999999999999871e-01,5.688815679235679212e-01,6.938893903907228378e-18,9.067967811602913042e-02
2.999999999999999889e-01,5.729075981049973620e-01,4.625929269271485328e-18,9.108724589241426473e-02
3.019999999999999907e-01,5.769355625726069192e-01,2.312964634635742664e-18,9.149743024966654203e-02
3.039999999999999925e-01,5.809654432583828410e-01,0.000000000000000000e+00,9.191017669930610923e-02
3.059999999999999942e-01,5.849972220664749756e-01,0.000000000000000000e+00,9.232543146184346572e-02
3.079999999999999960e-01,5.890308808735671420e-01,2.312964634635742664e-18,9.274314146699948191e-02
3.099999999999999978e-01,5.930664015290272317e-01,2.312964634635742664e-18,9.316325435331711258e-02
3.119999999999999996e-01,5.971037658552171834e-01,0.000000000000000000e+00,9.358571846720509235e-02
3.140000000000000013e-01,6.011429556478562475e-01,9.251858538542970657e-18,9.401048286144184085e-02
