# delta,gap,coarse,fine
0.000000000000000000e+00,1.364325509608436349e+00,4.625929269271485328e-18,3.051592018993854460e-01
2.000000000000000042e-03,1.364325509608438125e+00,9.251858538542970657e-18,3.051592018993854460e-01
4.000000000000000083e-03,1.364325509608429243e+00,2.312964634635742664e-18,3.051592018993856126e-01
6.000000000000000125e-03,1.364325509608423914e+00,1.156482317317871448e-17,3.051592018993851130e-01
8.000000000000000167e-03,1.364325509608439901e+00,0.000000000000000000e+00,3.051592018993853350e-01
1.000000000000000021e-02,1.364325509608441678e+00,2.312964634635742664e-18,3.051592018993853905e-01
1.200000000000000025e-02,1.364325509608450560e+00,1.850371707708594131e-17,3.051592018993852240e-01
1.400000000000000029e-02,1.364325509608452336e+00,1.156482317317871448e-17,3.051592018993853350e-01
1.600000000000000033e-02,1.364325509608439901e+00,6.938893903907228378e-18,3.051592018993852240e-01
1.800000000000000211e-02,1.364325509608423914e+00,0.000000000000000000e+00,3.051592018993853350e-01
2.000000000000000042e-02,1.364325509608477205e+00,1.387778780781445676e-17,3.051592018993847799e-01
2.199999999999999872e-02,1.364325509608441678e+00,2.081668171172168513e-17,3.051592018993853350e-01
2.400000000000000050e-02,1.364325509608450560e+00,6.938893903907228378e-18,3.051592018993851130e-01
2.600000000000000228e-02,1.364325509608438125e+00,4.625929269271485328e-18,3.051592018993852240e-01
2.800000000000000058e-02,1.364325509608439901e+00,6.938893903907228378e-18,3.051592018993855016e-01
2.999999999999999889e-02,1.364325509608445230e+00,2.312964634635742664e-18,3.051592018993853905e-01
3.200000000000000067e-02,1.364325509608431020e+00,2.312964634635742664e-18,3.051592018993856681e-01
3.400000000000000244e-02,1.364325509608425691e+00,6.938893903907228378e-18,3.051592018993847799e-01
3.600000000000000422e-02,1.364325509608436349e+00,9.251858538542970657e-18,3.051592018993852795e-01
3.799999999999999906e-02,1.364325509608432796e+00,6.938893903907228378e-18,3.051592018993853905e-01
4.000000000000000083e-02,1.364325509608425691e+00,4.625929269271485328e-18,3.051592018993852795e-01
4.200000000000000261e-02,1.364325509608468323e+00,0.000000000000000000e+00,3.051592018993852240e-01
4.399999999999999745e-02,1.364325509608429243e+00,6.938893903907228378e-18,3.051592018993848909e-01
4.599999999999999922e-02,1.364325509608439901e+00,4.625929269271485328e-18,3.051592018993853905e-01
4.800000000000000100e-02,1.364325509608429243e+00,0.000000000000000000e+00,3.051592018993852240e-01
5.000000000000000278e-02,1.364325509608432796e+00,1.156482317317871448e-17,3.051592018993852240e-01
5.200000000000000455e-02,1.364325509608450560e+00,6.938893903907228378e-18,3.051592018993853905e-01
5.399999999999999939e-02,1.364325509608420361e+00,2.312964634635742664e-18,3.051592018993855016e-01
5.600000000000000117e-02,1.364325509608423914e+00,4.625929269271485328e-18,3.051592018993853350e-01
5.800000000000000294e-02,1.364325509608445230e+00,9.251858538542970657e-18,3.051592018993856681e-01
5.999999999999999778e-02,1.364325509608452336e+00,6.938893903907228378e-18,3.051592018993851130e-01
6.199999999999999956e-02,1.364325509608418585e+00,1.387778780781445676e-17,3.051592018993853905e-01
6.400000000000000133e-02,1.364325509608448783e+00,9.251858538542970657e-18,3.051592018993853905e-01
6.600000000000000311e-02,1.364325509608431020e+00,1.156482317317871448e-17,3.051592018993855016e-01
6.800000000000000488e-02,1.364325509608432796e+00,0.000000000000000000e+00,3.051592018993853905e-01
7.000000000000000666e-02,1.364325509608422138e+00,6.938893903907228378e-18,3.051592018993849464e-01
7.200000000000000844e-02,1.364325509608434572e+00,4.625929269271485328e-18,3.051592018993851130e-01
7.399999999999999634e-02,1.364325509608409703e+00,2.312964634635742664e-18,3.051592018993845579e-01
7.599999999999999811e-02,1.364325509608452336e+00,1.156482317317871448e-17,3.051592018993855571e-01
7.799999999999999989e-02,1.364325509608447007e+00,2.312964634635742664e-18,3.051592018993855016e-01
8.000000000000000167e-02,1.364325509608436349e+00,6.938893903907228378e-18,3.051592018993851130e-01
8.200000000000000344e-02,1.364325509608429243e+00,6.938893903907228378e-18,3.051592018993849464e-01
