# delta,gap,coarse,fine
0.000000000000000000e+00,0.000000000000000000e+00,6.738325041757575740e-02,1.062840351162857855e-01
2.000000000000000042e-03,2.664535259100375697e-15,3.620558845439998952e-01,8.654088311309665604e-02
4.000000000000000083e-03,1.776356839400250465e-15,2.864963320567249783e-01,8.484487530132274469e-02
6.000000000000000125e-03,2.664535259100375697e-15,4.790929769166207830e-01,8.395841300448690647e-02
8.000000000000000167e-03,1.776356839400250465e-15,3.253135540291434147e-01,1.294306434623933300e-01
1.000000000000000021e-02,0.000000000000000000e+00,3.208799664102030547e-01,1.452530172723441038e-01
1.200000000000000025e-02,2.664535259100375697e-15,7.675414423785581475e-02,1.755668869025503454e-01
1.400000000000000029e-02,4.440892098500626162e-15,4.206384902511334789e-01,1.242901007084018516e-01
1.600000000000000033e-02,6.217248937900876626e-15,1.758132364268633063e-01,1.034020226051609592e-01
1.800000000000000211e-02,0.000000000000000000e+00,3.941155438522574161e-02,8.560150189729351378e-02
2.000000000000000042e-02,1.776356839400250465e-15,3.863166587462461554e-01,9.569015630062135958e-02
2.199999999999999872e-02,2.664535259100375697e-15,1.269570101958353014e-01,4.635925678298664226e-02
2.400000000000000050e-02,6.217248937900876626e-15,2.684180809476313656e-01,1.581970956955069396e-01
2.600000000000000228e-02,0.000000000000000000e+00,1.271339159975942712e-01,1.047837315662131508e-01
2.800000000000000058e-02,8.881784197001252323e-16,2.779394699152200610e-01,1.550648596889989961e-01
2.999999999999999889e-02,0.000000000000000000e+00,2.562214392774246272e-02,1.357281167421035550e-01
3.200000000000000067e-02,2.664535259100375697e-15,3.226276297971427121e-01,8.283827588878411863e-02
3.400000000000000244e-02,8.881784197001252323e-16,2.642143277214226149e-01,1.269297976391579597e-01
3.600000000000000422e-02,3.552713678800500929e-15,2.049239232417473244e-01,1.530313587115448848e-01
3.799999999999999906e-02,1.776356839400250465e-15,2.201926067602893167e-01,1.376681401574917640e-01
4.000000000000000083e-02,8.881784197001252323e-16,5.843429323477813964e-02,7.637566939676450339e-02
4.200000000000000261e-02,8.881784197001252323e-16,2.122046914984621335e-01,1.308699209581568046e-01
