# delta,gap,coarse,fine
0.000000000000000000e+00,1.357281915681589624e-01,1.056547182032361969e-15,4.038680910203175378e-02
2.000000000000000042e-03,1.359737614400153838e-01,6.383185233366835826e-16,4.039984688534366958e-02
4.000000000000000083e-03,1.362193342904172155e-01,1.065539072042176807e-15,4.041279737202373157e-02
6.000000000000000125e-03,1.364649108850217729e-01,6.205367606749740556e-16,4.042566080808317891e-02
8.000000000000000167e-03,1.367104919890573811e-01,4.781274405937134889e-16,4.043843743775960009e-02
1.000000000000000021e-02,1.369560783673184901e-01,5.605692632290929477e-16,4.045112750353212216e-02
1.200000000000000025e-02,1.372016707841869909e-01,1.026637495752746963e-15,4.046373124613288075e-02
1.400000000000000029e-02,1.374472700036064587e-01,1.037345686271935827e-15,4.047624890456355540e-02
1.600000000000000033e-02,1.376928767891207883e-01,5.275597539998824227e-16,4.048868071610643021e-02
1.800000000000000211e-02,1.379384919038582069e-01,8.167657071918256115e-16,4.050102691633888224e-02
2.000000000000000042e-02,1.381841161105250571e-01,1.214834240589022802e-15,4.051328773914768255e-02
2.199999999999999872e-02,1.384297501714470968e-01,1.335090684484268025e-15,4.052546341674025110e-02
2.400000000000000050e-02,1.386753948485361931e-01,8.000509942854196893e-16,4.053755417965984598e-02
2.600000000000000228e-02,1.389210509033258489e-01,7.324570239406976747e-16,4.054956025679730403e-02
2.800000000000000058e-02,1.391667190969485546e-01,6.390386072209681446e-16,4.056148187540474515e-02
2.999999999999999889e-02,1.394124001901491106e-01,6.582408970747823367e-16,4.057331926110822190e-02
3.200000000000000067e-02,1.396580949432970620e-01,3.714044126736646464e-16,4.058507263792079933e-02
3.400000000000000244e-02,1.399038041163933599e-01,7.787673856615240711e-16,4.059674222825498946e-02
3.600000000000000422e-02,1.401495284690543741e-01,6.743844450769428435e-16,4.060832825293553272e-02
3.799999999999999906e-02,1.403952687605327654e-01,4.041731527876181364e-16,4.061983093121209615e-02
4.000000000000000083e-02,1.406410257497152649e-01,3.894715724990396692e-16,4.063125048077135398e-02
4.200000000000000261e-02,1.408868001951373294e-01,5.655832218208055751e-16,4.064258711775019239e-02
4.399999999999999745e-02,1.411325928549782560e-01,5.151680325584664325e-16,4.065384105674681864e-02
4.599999999999999922e-02,1.413784044870562973e-01,8.379415308731831200e-16,4.066501251083391028e-02
4.800000000000000100e-02,1.416242358488513098e-01,9.316390978885921454e-16,4.067610169157095945e-02
5.000000000000000278e-02,1.418700876974892111e-01,1.211155788257334189e-15,4.068710880901526411e-02
5.200000000000000455e-02,1.421159607897886090e-01,6.610717870636246152e-16,4.069803407173443188e-02
5.399999999999999939e-02,1.423618558821861946e-01,7.224386888174882341e-16,4.070887768681879376e-02
5.600000000000000117e-02,1.426077737308273363e-01,7.971963873740542904e-16,4.071963985989252022e-02
5.800000000000000294e-02,1.428537150915238918e-01,1.318265592596923027e-15,4.073032079512531323e-02
5.999999999999999778e-02,1.430996807197484344e-01,1.058123404468083815e-15,4.074092069524485465e-02
6.199999999999999956e-02,1.433456713706733332e-01,6.789990805735842717e-16,4.075143976154722847e-02
6.400000000000000133e-02,1.435916877991418872e-01,8.460239192558836538e-16,4.076187819390917483e-02
6.600000000000000311e-02,1.438377307597029642e-01,7.016003018864931575e-16,4.077223619079978212e-02
6.800000000000000488e-02,1.440838010065896846e-01,7.133444666397332351e-16,4.078251394929052059e-02
7.000000000000000666e-02,1.443298992937323000e-01,1.175235397365325058e-15,4.079271166506798912e-02
7.200000000000000844e-02,1.445760263747639662e-01,5.507063586517046711e-16,4.080282953244398353e-02
7.399999999999999634e-02,1.448221830030229640e-01,1.295781103012057624e-15,4.081286774436701514e-02
7.599999999999999811e-02,1.450683699315629127e-01,6.433389934941782275e-16,4.082282649243387102e-02
7.799999999999999989e-02,1.453145879131398921e-01,5.265778310557778751e-16,4.083270596689946713e-02
8.000000000000000167e-02,1.455608377002306497e-01,6.315417303630571459e-16,4.084250635668856821e-02
8.200000000000000344e-02,1.458071200450405946e-01,6.965383271145830519e-16,4.085222784940589769e-02
8.400000000000000522e-02,1.460534356994838134e-01,5.478758392397768164e-16,4.086187063134777420e-02
8.600000000000000699e-02,1.462997854152185973e-01,7.649243262045470407e-16,4.087143488751195791e-02
8.799999999999999489e-02,1.465461699436181320e-01,1.013187089006381504e-15,4.088092080160827396e-02
8.999999999999999667e-02,1.467925900358033608e-01,7.569602047971068885e-16,4.089032855606993672e-02
9.199999999999999845e-02,1.470390464426314381e-01,7.089680591595070788e-16,4.089965833206284790e-02
9.400000000000000022e-02,1.472855399146921762e-01,8.054097482262240204e-16,4.090891030949679597e-02
9.600000000000000200e-02,1.475320712023400205e-01,6.256647510772107932e-16,4.091808466703555913e-02
9.800000000000000377e-02,1.477786410556642949e-01,5.234044221188896388e-16,4.092718158210644636e-02
1.000000000000000056e-01,1.480252502245131829e-01,1.001041430636142888e-15,4.093620123091193386e-02
1.020000000000000073e-01,1.482718994584835137e-01,1.340541076802053430e-15,4.094514378843812363e-02
1.040000000000000091e-01,1.485185895069416340e-01,2.003697200190634065e-15,4.095400942846553344e-02
1.059999999999999970e-01,1.487653211190194114e-01,8.904578912403049613e-16,4.096279832357952594e-02
1.079999999999999988e-01,1.490120950435955827e-01,8.729617375004977437e-16,4.097151064517923907e-02
1.100000000000000006e-01,1.492589120293352778e-01,9.981498719124535200e-16,4.098014656348775153e-02
1.120000000000000023e-01,1.495057728246820261e-01,3.994315152884477665e-16,4.098870624756231762e-02
1.140000000000000041e-01,1.497526781778431015e-01,6.341691206863215788e-16,4.099718986530326292e-02
1.160000000000000059e-01,1.499996288368108388e-01,7.105114061289636174e-16,4.100559758346392775e-02
1.180000000000000077e-01,1.502466255493613012e-01,8.123331308392846544e-16,4.101392956766084646e-02
1.199999999999999956e-01,1.504936690630449547e-01,7.677285346555508087e-16,4.102218598238201869e-02
1.219999999999999973e-01,1.507407601252279683e-01,6.321662583429795822e-16,4.103036699099708862e-02
1.239999999999999991e-01,1.509878994830455845e-01,9.944770841135996704e-16,4.103847275576700399e-02
1.260000000000000009e-01,1.512350878834309853e-01,7.801772190626696506e-16,4.104650343785257172e-02
1.280000000000000027e-01,1.514823260731299470e-01,4.764216221170617348e-16,4.105445919732398502e-02
1.300000000000000044e-01,1.517296147986799681e-01,7.261827332630298518e-16,4.106234019317035744e-02
1.320000000000000062e-01,1.519769548064151543e-01,5.291377234410579809e-16,4.107014658330799400e-02
1.340000000000000080e-01,1.522243468424919755e-01,1.055893219657522445e-15,4.107787852459046651e-02
1.360000000000000098e-01,1.524717916528799400e-01,6.988434743409764269e-16,4.108553617281705816e-02
1.380000000000000115e-01,1.527192899833451634e-01,4.053674163036874965e-16,4.109311968274132615e-02
1.400000000000000133e-01,1.529668425794770137e-01,7.597385787432194004e-16,4.110062920808078835e-02
1.420000000000000151e-01,1.532144501866952169e-01,4.061902029328266425e-16,4.110806490152536102e-02
1.440000000000000169e-01,1.534621135502320932e-01,1.129847295705380984e-15,4.111542691474582428e-02
1.459999999999999909e-01,1.537098334151303369e-01,4.017212041635537505e-16,4.112271539840286344e-02
1.479999999999999927e-01,1.539576105262963068e-01,6.823235790124389938e-16,4.112993050215602020e-02
1.499999999999999944e-01,1.542054456284343011e-01,7.440746631474416412e-16,4.113707237467126993e-02
1.519999999999999962e-01,1.544533394660980719e-01,1.236848679827721271e-15,4.114414116363016016e-02
1.539999999999999980e-01,1.547012927836650675e-01,1.107022298875719353e-15,4.115113701573906019e-02
1.559999999999999998e-01,1.549493063253604141e-01,9.134247131490724845e-16,4.115806007673604439e-02
1.580000000000000016e-01,1.551973808352595796e-01,9.998911598937715479e-16,4.116491049139997527e-02
1.600000000000000033e-01,1.554455170572479616e-01,1.065912084176323920e-15,4.117168840355915627e-02
1.620000000000000051e-01,1.556937157350972711e-01,1.072652242974981608e-15,4.117839395609904779e-02
1.640000000000000069e-01,1.559419776124042478e-01,7.965310959335452409e-16,4.118502729097067716e-02
1.660000000000000087e-01,1.561903034326141970e-01,4.793951312783979561e-16,4.119158854919868079e-02
1.680000000000000104e-01,1.564386939390418618e-01,7.398533685756814287e-16,4.119807787088924228e-02
1.700000000000000122e-01,1.566871498748407809e-01,7.493937653584026304e-16,4.120449539523879379e-02
1.720000000000000140e-01,1.569356719830383717e-01,9.187019401687035892e-16,4.121084126054085084e-02
1.740000000000000158e-01,1.571842610065115053e-01,1.050752232593501275e-15,4.121711560419510922e-02
1.759999999999999898e-01,1.574329176880064907e-01,7.240446103459231841e-16,4.122331856271450878e-02
1.779999999999999916e-01,1.576816427701213108e-01,6.947406849724930113e-16,4.122945027173346988e-02
1.799999999999999933e-01,1.579304369953362652e-01,1.234979833978502666e-15,4.123551086601517229e-02
1.819999999999999951e-01,1.581793011059988707e-01,1.590046939863322384e-15,4.124150047945973618e-02
1.839999999999999969e-01,1.584282358443260819e-01,1.053337244799623391e-15,4.124741924511204916e-02
1.859999999999999987e-01,1.586772419523989619e-01,8.327992732597410677e-16,4.125326729516868435e-02
1.880000000000000004e-01,1.589263201721919927e-01,7.645935333688646347e-16,4.125904476098592871e-02
1.900000000000000022e-01,1.591754712455379916e-01,5.154905668229131091e-16,4.126475177308735337e-02
1.920000000000000040e-01,1.594246959141756292e-01,1.253837460832123163e-15,4.127038846117084270e-02
1.940000000000000058e-01,1.596739949196988029e-01,8.341077009352325464e-16,4.127595495411660875e-02
1.960000000000000075e-01,1.599233690035957167e-01,7.220377510658613314e-16,4.128145137999383874e-02
1.980000000000000093e-01,1.601728189072399999e-01,6.952567662653872955e-16,4.128687786606857757e-02
2.000000000000000111e-01,1.604223453719058057e-01,9.939460738650100291e-16,4.129223453881101374e-02
2.020000000000000129e-01,1.606719491387287313e-01,4.701945535262033390e-16,4.129752152390214759e-02
2.040000000000000147e-01,1.609216309487657703e-01,5.524999509175156521e-16,4.130273894624137548e-02
2.060000000000000164e-01,1.611713915429446864e-01,1.533737963005089812e-15,4.130788692995363692e-02
2.080000000000000182e-01,1.614212316621039811e-01,7.989392106025892167e-16,4.131296559839616606e-02
2.099999999999999922e-01,1.616711520469569230e-01,5.335007372128056785e-16,4.131797507416606896e-02
2.119999999999999940e-01,1.619211534381470585e-01,7.782792299861095772e-16,4.132291547910673518e-02
2.139999999999999958e-01,1.621712365761887042e-01,5.926227369586493845e-16,4.132778693431479050e-02
2.159999999999999976e-01,1.624214022015086911e-01,9.398994161297752857e-16,4.133258956014757013e-02
2.179999999999999993e-01,1.626716510544503613e-01,6.820984535369265618e-16,4.133732347622954412e-02
2.200000000000000011e-01,1.629219838752331562e-01,6.377815044481243562e-16,4.134198880145881216e-02
2.220000000000000029e-01,1.631724014040112358e-01,6.140421620216813094e-16,4.134658565401453517e-02
2.240000000000000047e-01,1.634229043808250736e-01,8.360969578118592708e-16,4.135111415136324270e-02
2.260000000000000064e-01,1.636734935456449769e-01,1.245895785797785250e-15,4.135557441026545267e-02
2.280000000000000082e-01,1.639241696383257896e-01,6.778119638980073698e-16,4.135996654678236045e-02
2.300000000000000100e-01,1.641749333986575188e-01,8.372055121815783364e-16,4.136429067628261125e-02
2.320000000000000118e-01,1.644257855663400214e-01,7.934756098647825643e-16,4.136854691344876711e-02
2.340000000000000135e-01,1.646767268809719020e-01,7.832592013808136258e-16,4.137273537228310788e-02
2.360000000000000153e-01,1.649277580820882605e-01,9.864860694100841942e-16,4.137685616611560396e-02
